ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
41,Ryan Greene (C),Boston University,40,13,25,38,0.95,18,6
42,Mason Marcellus (C),Quinnipiac University,38,10,28,38,1.00,28,6
43,Lukas Sillinger (W/C),Arizona State University,35,8,30,38,1.09,12,8
44,Ryland Mosley (LW/RW),University of Wisconsin,37,18,19,37,1.00,21,-2
45,Bennett Schimek (F),Arizona State University,35,15,22,37,1.06,4,5
46,James Hagens (C/LW),Boston College,37,11,26,37,1.00,24,21
47,Cole Eiserman (LW),Boston University,39,25,11,36,0.92,27,7
48,Owen Michaels (F),Western Michigan University,42,18,18,36,0.86,6,27
49,Dylan Hryckowian (RW),Northeastern University,36,17,19,36,1.00,26,4
50,Travis Treloar (C),Quinnipiac University,38,16,20,36,0.95,4,3
51,Grant Slukynsky (C),Western Michigan University,42,10,26,36,0.86,2,19
52,Tyler Fukakusa (C),RIT (Rochester Inst. of Tech.),35,9,27,36,1.03,18,-11
53,Sam Harris (LW),University of Denver,43,23,12,35,0.81,42,14
54,Harrison Scott (C/LW),University of Maine,38,18,17,35,0.92,26,13
55,Jack Musa (F),UMass,40,18,17,35,0.88,4,18
56,Andon Cerbone (F),Quinnipiac University,38,15,20,35,0.92,16,4
57,Stiven Sardaryan (RW/C),Michigan Tech,35,11,24,35,1.00,51,3
58,Eric Pohlkamp (D),University of Denver,44,11,24,35,0.80,22,31
59,Ellis Rickwood (C),Clarkson University,39,10,25,35,0.90,22,16
60,Sam Stange (RW),University of Nebraska-Omaha,36,16,18,34,0.94,20,14
61,Brett Chorske (C/RW),Colgate University,36,15,19,34,0.94,23,-4
62,Justin Janicke (LW/C),University of Notre Dame,38,15,19,34,0.89,29,-3
63,Michael Hage (C),University of Michigan,33,13,21,34,1.03,23,-9
64,Shane Ott (F),Niagara University,35,9,25,34,0.97,10,6
65,Riley Thompson (F),Ohio State University,40,17,16,33,0.83,32,12
66,Ryan Conmy (RW),University of New Hampshire,34,15,18,33,0.97,6,-1
67,J.J. Wiebusch (F),Penn State University,40,14,19,33,0.83,14,13
68,Davis Burnside (F),Ohio State University,40,14,19,33,0.83,18,8
69,Liam Valente (LW/C),Western Michigan University,42,14,19,33,0.79,10,8
70,Oliver Moore (C),University of Minnesota,38,12,21,33,0.87,6,13
71,Ryan O'Hara (LW),Bowling Green State University,36,11,22,33,0.92,16,5
72,Dans Locmelis (C),UMass,40,8,25,33,0.83,8,16
73,Noah Beck (D),Arizona State University,37,5,28,33,0.89,28,12
74,Matthew Wilde (LW),RIT (Rochester Inst. of Tech.),27,18,14,32,1.19,24,-7
75,Sacha Boisvert (C),University of North Dakota,37,18,14,32,0.86,20,-4
76,Ryan Tattle (F),University of Connecticut,39,18,14,32,0.82,22,10
77,Matthew DiMarsico (F),Penn State University,39,17,15,32,0.82,30,12
78,Mick Thompson (LW),Harvard University,33,14,18,32,0.97,2,-5
79,Josh Groll (C/LW),Minnesota State University (Mankato),38,14,18,32,0.84,31,31
80,Sam Rinzel (D),University of Minnesota,40,10,22,32,0.80,12,20
81,Gavin Morrissey (F),University of Wisconsin,37,9,23,32,0.86,14,4
82,Ryan Walsh (C/RW),Cornell University,36,17,14,31,0.86,21,14
83,Karsen Dorwart (LW/C),Michigan State University,35,13,18,31,0.89,12,20
84,John Jaworski (F),Sacred Heart University,39,13,18,31,0.79,12,8
85,Danny Dzhaniyev (F),Penn State University,40,12,19,31,0.78,4,-3
86,Devin Phillips (F),College of the Holy Cross,34,11,20,31,0.91,6,-1
87,Matt DeBoer (W),College of the Holy Cross,40,11,20,31,0.78,46,3
88,Lucas Mercuri (C/RW),UMass,40,10,21,31,0.78,24,14
89,Glebs Prohorenkovs (F),Niagara University,37,9,22,31,0.84,16,15
90,Aiden Hansen-Bukata (D),Ohio State University,38,2,29,31,0.82,20,11
91,Cooper Gay (LW/RW),University of St. Thomas,35,19,11,30,0.86,14,6
92,Taylor Makar (LW/C),University of Maine,38,18,12,30,0.79,47,24
93,Carter Rapalje (F),Long Island University,34,17,13,30,0.88,2,-2
94,Reese Laubach (C),Penn State University,35,15,15,30,0.86,59,9
95,Andre Gasseau (C/LW),Boston College,36,15,15,30,0.83,49,23
96,Dominic James (C/LW),University of Minnesota-Duluth,35,14,16,30,0.86,20,5
97,Teddy Stiga (LW),Boston College,36,14,16,30,0.83,34,12
98,Zachary Nehring (RW),Western Michigan University,42,13,17,30,0.71,29,18
99,Kyle Smolen (F),Arizona State University,35,12,18,30,0.86,22,12
100,Aaron Schwartz (F),Quinnipiac University,38,12,18,30,0.79,2,-1
101,Shane Lachance (LW),Boston University,40,12,18,30,0.75,28,0
102,C.J. Foley (D),Dartmouth College,33,11,19,30,0.91,10,16
103,Ryan Richardson (LW),Clarkson University,38,11,19,30,0.79,16,15
104,Nick Bochen (D),Bentley University,40,9,21,30,0.75,31,15
105,Boston Buckberger (D),University of Denver,41,9,21,30,0.73,22,30
106,Matteo Giampa (RW),Canisius College,37,8,22,30,0.81,10,-10
107,Owen McLaughlin (C),University of North Dakota,38,5,25,30,0.79,6,3
108,Nikita Nikora (C/W),Dartmouth College,33,4,26,30,0.91,4,-8
109,Simon Mack (D),Penn State University,40,3,27,30,0.75,6,23
110,Iiro Hakkarainen (LW/RW),Western Michigan University,42,13,16,29,0.69,21,21
111,Ryan St. Louis (LW),Brown University,23,11,18,29,1.26,2,0
112,Josh Nadeau (RW/LW),University of Maine,37,10,19,29,0.78,14,12
113,Kenny Connors (C),UMass,40,10,19,29,0.73,6,4
114,Trey Taylor (D),Clarkson University,39,9,20,29,0.74,12,2
115,Clay Cosentino (F),Air Force Academy,40,9,20,29,0.73,23,-11
116,Caden Villegas (F),Union College,36,7,22,29,0.81,16,6
117,Colby MacArthur (RW),Union College,36,7,22,29,0.81,18,11
118,Samuel Sjölund (D),Western Michigan University,42,4,25,29,0.69,18,19
119,Mack Oliphant (D),College of the Holy Cross,36,3,26,29,0.81,4,3
120,Brandon Buhr (F),Union College,36,19,9,28,0.78,25,1
121,Robert Cronin (F),University of New Hampshire,35,17,11,28,0.80,20,-5
122,Casey Severo (C),Harvard University,33,16,12,28,0.85,4,10
123,Austin Burnevik (RW/LW),St. Cloud State University,35,13,15,28,0.80,8,-15
124,Ben Muthersbaugh (LW),Union College,36,13,15,28,0.78,31,-3
125,Reid Pabich (C),Sacred Heart University,39,13,15,28,0.72,18,13
126,David Gagnon (LW),Lindenwood University,32,11,17,28,0.88,23,1
127,Nate Hanley (C),Union College,35,10,18,28,0.80,4,-3
128,Samu Salminen (C/LW),University of Denver,44,10,18,28,0.64,24,21
129,Max Plante (C),University of Minnesota-Duluth,23,9,19,28,1.22,16,5
130,Tyler Kopff (C/LW),Brown University,32,9,19,28,0.88,12,1
131,Cy LeClerc (F),University of New Hampshire,33,8,20,28,0.85,12,-10
132,Damien Carfagna (D),Ohio State University,38,7,21,28,0.74,6,16
133,Frank Djurasevic (D),University of Maine,38,7,21,28,0.74,14,18
134,Jake Livanavage (D),University of North Dakota,38,4,24,28,0.74,12,0
135,Jack Ricketts (C),Quinnipiac University,38,20,7,27,0.71,47,22
136,Sean Chisholm (C/LW),Dartmouth College,33,15,12,27,0.82,12,4
137,Jack Stockfish (C),College of the Holy Cross,36,15,12,27,0.75,30,0
138,Dalton Bancroft (RW/LW),Cornell University,36,15,12,27,0.75,48,11
139,Mikey Adamson (D),Sacred Heart University,37,12,15,27,0.73,14,11
140,Blake Biondi (C/RW),University of Notre Dame,38,12,15,27,0.71,14,-12
141,Nik Armstrong-Kingcade (F),Bentley University,38,12,15,27,0.71,16,7
142,Jack Harvey (F),Boston University,40,11,16,27,0.68,2,12
143,Joel Määttä (C),University of Vermont,35,9,18,27,0.77,16,5
144,Charlie Stramel (C/RW),Michigan State University,37,9,18,27,0.73,26,13
145,John Prokop (D),Union College,36,8,19,27,0.75,20,12
146,Max Koskipirtti (C/W),Michigan Tech,36,7,20,27,0.75,0,-2
147,Owen Beckner (C),Colorado College,37,7,20,27,0.73,4,8
148,Evan Murr (D),Minnesota State University (Mankato),39,7,20,27,0.69,8,18
149,Brody Lamb (RW),University of Minnesota,39,17,9,26,0.67,12,1
150,Tyler Wallace (C),Niagara University,37,14,12,26,0.70,12,5
151,Max Montes (F),Ohio State University,40,14,12,26,0.65,16,3
152,Danny Nelson (C/LW),University of Notre Dame,36,13,13,26,0.72,35,-4
153,Adam Eisele (F),Minnesota State University (Mankato),37,13,13,26,0.70,49,23
154,Brendan Gorman (C),Princeton University,30,12,14,26,0.87,12,-7
155,Max Scott (F),Brown University,32,12,14,26,0.81,21,-6
156,Jayson Shaugabay (C),University of Minnesota-Duluth,36,12,14,26,0.72,4,-3
157,Alex DiPaolo (LW),Colgate University,32,11,15,26,0.81,12,-9
158,Barron Woodring (C),Army (U.S. Military Academy),38,11,15,26,0.68,12,-9
159,Chris Hedden (D),Air Force Academy,39,11,15,26,0.67,52,-16
160,Noah Laba (C),Colorado College,29,10,16,26,0.90,25,10
161,Ty Gallagher (D),Colorado College,37,9,17,26,0.70,12,7
162,Charlie Russell (F),University of Maine,35,7,19,26,0.74,24,11
163,Cole Burtch (LW),Ferris State University,35,7,19,26,0.74,34,1
164,Isaac Gordon (C),Michigan Tech,36,7,19,26,0.72,8,-4
165,Matt Basgall (D),Michigan State University,37,6,20,26,0.70,8,9
166,Max Burkholder (D),Colorado College,37,6,20,26,0.70,12,-2
167,Joona Väisänen (D),Western Michigan University,42,4,22,26,0.62,12,24
168,Aaron Pionk (D),University of Minnesota-Duluth,36,3,23,26,0.72,12,1
169,Caiden Gault (F),Ferris State University,36,15,10,25,0.69,10,0
170,Brady Risk (RW/LW),University of Nebraska-Omaha,36,13,12,25,0.69,30,6
171,Daniel Russell (C),Michigan State University,37,13,12,25,0.68,27,17
172,Tyler Borgula (RW),Quinnipiac University,38,12,13,25,0.66,20,10
173,Brian Nicholas (F),Brown University,28,11,14,25,0.89,10,-4
174,Ryan Johnson (C),University of Alaska-Anchorage,33,11,14,25,0.76,6,-13
175,Matt Kursonis (C/LW),College of the Holy Cross,27,10,15,25,0.93,14,1
176,Harrison Israels (C),University of Nebraska-Omaha,34,10,15,25,0.74,14,12
177,Jacob Ivey (F),Army (U.S. Military Academy),38,10,15,25,0.66,6,4
178,Tyson Gross (RW),St. Cloud State University,36,9,16,25,0.69,37,-5
179,Michael Abgrall (C),College of the Holy Cross,40,8,17,25,0.63,56,2
180,Jack Hughes (C),Boston University,40,7,18,25,0.63,22,9
181,Stevie Castagna (F),Bentley University,40,5,20,25,0.63,19,7
182,Walter Zacher (C),Robert Morris University,35,15,9,24,0.69,21,3
183,Joshua Barnes (C),American International College,38,14,10,24,0.63,6,-14
184,Christopher Pelosi (C/LW),Quinnipiac University,38,13,11,24,0.63,10,12
185,Cooper Flinton (LW/RW),Dartmouth College,32,11,13,24,0.75,8,5
186,Kirklan Irey (F),Bemidji State University,38,11,13,24,0.63,14,-4
187,Joey Larson (RW/LW),Michigan State University,37,10,14,24,0.65,22,7
188,Sullivan Mack (C/LW),Cornell University,32,9,15,24,0.75,19,13
189,Nolan Renwick (RW/LW),University of Maine,38,9,15,24,0.63,22,25
190,Ty Jackson (C),Arizona State University,35,8,16,24,0.69,18,2
191,Will Gilson (D),RPI (Rensselaer Polytech. Inst.),35,8,16,24,0.69,26,6
192,Tim Rego (D),Cornell University,36,8,16,24,0.67,18,15
193,Logan Will (F),Providence College,37,8,16,24,0.65,4,10
194,Francesco Dell'Elce (D),UMass,40,7,17,24,0.60,12,18
195,Max Nagel (F),Colgate University,36,6,18,24,0.67,12,-4
196,Luigi Benincasa (F),Minnesota State University (Mankato),39,6,18,24,0.62,8,9
197,Matt Copponi (C),Boston University,40,6,18,24,0.60,14,15
198,Michael Craig (D),Robert Morris University,35,5,19,24,0.69,6,-3
199,Tommy Bergsland (D),Colgate University,36,4,20,24,0.67,10,9
200,Abram Wiebe (D),University of North Dakota,38,4,20,24,0.63,24,-2
201,Tom Willander (D),Boston University,39,2,22,24,0.62,8,19
202,Josh Nixon (RW),Union College,36,14,9,23,0.64,20,8
203,Matt Hubbarde (C),University of Alaska-Fairbanks,30,13,10,23,0.77,25,5
204,Colin Kessler (F),University of Vermont,34,12,11,23,0.68,39,-4
205,Elias Jansson (F),Michigan Tech,36,12,11,23,0.64,4,0
206,Brodie Ziemer (RW/LW),University of Minnesota,38,12,11,23,0.61,21,6
207,Hudson Malinoski (C),Providence College,35,11,12,23,0.66,26,-7
208,Kyle Haskins (C),Canisius College,37,11,12,23,0.62,24,-12
209,Tanner Klimpke (F),Robert Morris University,26,10,13,23,0.88,6,12
210,Hunter Bischoff (F),Augustana University,35,10,13,23,0.66,14,3
211,Eric Martin (F),Bemidji State University,37,10,13,23,0.62,8,-6
212,Connor Milburn (F),Lake Superior State University,28,9,14,23,0.82,14,-10
213,Liam Devlin (F),University of New Hampshire,35,9,14,23,0.66,40,-6
214,Dimitry Kebreau (F),University of Alaska-Anchorage,31,8,15,23,0.74,15,-5
215,Tristan Sarsland (D),Clarkson University,39,8,15,23,0.59,16,14
216,Matteo Costantini (C/LW),Western Michigan University,40,8,15,23,0.58,20,10
217,Christian Catalano (RW),RIT (Rochester Inst. of Tech.),33,7,16,23,0.70,73,-10
218,Brett Meerman (F),Augustana University,35,7,16,23,0.66,2,0
219,Reilly Funk (C),Bemidji State University,36,7,16,23,0.64,21,1
220,Joe Miller (C),Harvard University,28,5,18,23,0.82,8,5
221,Brody Waters (LW),Bowling Green State University,36,16,6,22,0.61,20,5
222,Jackson Jutting (F),Bemidji State University,38,14,8,22,0.58,4,-12
223,Dylan James (LW),University of North Dakota,38,14,8,22,0.58,20,-4
224,Anthony Galante (F),Stonehill College,31,13,9,22,0.71,37,-4
225,Cullen Potter (C/LW),Arizona State University,35,13,9,22,0.63,6,-1
226,Cameron Berg (C/LW),University of North Dakota,26,12,10,22,0.85,16,-2
227,Zach Urdahl (LW/RW),University of Nebraska-Omaha,33,12,10,22,0.67,6,4
228,Max Dorrington (RW/LW),Sacred Heart University,38,12,10,22,0.58,47,4
229,Evan Werner (F),University of Michigan,33,11,11,22,0.67,21,-12
230,Matthew Gleason (C),University of St. Thomas,35,11,11,22,0.63,43,10
231,Nik Hong (F),Army (U.S. Military Academy),36,11,11,22,0.61,10,-9
232,Tanner Adams (RW/C),Providence College,37,11,11,22,0.59,8,0
233,Hayden Stavroff (F),Dartmouth College,31,10,12,22,0.71,43,3
234,Timo Bakos (F),Lake Superior State University,34,10,12,22,0.65,6,-9
235,Ben Doran (F),Bowling Green State University,36,10,12,22,0.61,43,9
236,Ondrej Psenicka (RW),Cornell University,30,9,13,22,0.73,10,9
237,Max Strand (F),University of Vermont,33,8,14,22,0.67,8,1
238,Joseph Dunlap (RW/C),Ohio State University,39,8,14,22,0.56,22,3
239,Michael Felsing (F),Robert Morris University,34,7,15,22,0.65,2,-12
240,Cameron Garvey (C),Robert Morris University,34,7,15,22,0.65,6,12
241,Barrett Hall (C),St. Cloud State University,34,7,15,22,0.65,6,-10
242,Nils Forselius (F),Army (U.S. Military Academy),35,7,15,22,0.63,18,5
243,Chase Pietila (D),Michigan Tech,36,7,15,22,0.61,52,1
244,Tyler Hotson (F),RPI (Rensselaer Polytech. Inst.),35,6,16,22,0.63,47,3
245,Vincent Borgesi (D),Northeastern University,32,5,17,22,0.69,16,1
246,Jimmy Clark (LW/C),University of Minnesota,39,5,17,22,0.56,0,15
247,Chase Foley (D),University of St. Thomas,37,3,19,22,0.59,18,13
248,Austin Schwartz (F),Air Force Academy,40,12,9,21,0.53,6,-3
249,Logan Morrell (RW/LW),Michigan Tech,32,11,10,21,0.66,29,5
250,John Fusco (D),Dartmouth College,32,11,10,21,0.66,39,15
251,James Reeder (RW),University of Denver,44,11,10,21,0.48,2,17
252,Mickey Burns (LW),Mercyhurst University,32,10,11,21,0.66,23,-6
253,Austin Brimmer (RW),Long Island University,32,9,12,21,0.66,15,9
254,Simon Jellus (C/LW),University of Vermont,35,9,12,21,0.60,14,-2
255,Broten Sabo (D),University of Alaska-Fairbanks,32,8,13,21,0.66,31,-4
256,Payton Matsui (F),Augustana University,34,8,13,21,0.62,2,17
257,Steven Agriogianis (RW),Mercyhurst University,34,8,13,21,0.62,8,-22
258,Verner Miettinen (C),St. Cloud State University,36,8,13,21,0.58,10,-5
259,Zaccharya Wisdom (RW),Colorado College,36,8,13,21,0.58,12,3
260,Benjamin Ivey (F),Army (U.S. Military Academy),37,8,13,21,0.57,10,5
261,Tabor Heaslip (F),University of Connecticut,39,8,13,21,0.54,22,3
262,Dustin Geregach (D),Mercyhurst University,35,7,14,21,0.60,10,-15
263,Bret Link (RW/LW),Colorado College,37,7,14,21,0.57,24,5
264,Kaleb Ergang (RW),Ferris State University,35,6,15,21,0.60,6,3
265,Félix Caron (RW),RPI (Rensselaer Polytech. Inst.),35,6,15,21,0.60,62,-10
266,Axel Kumlin (D),University of Notre Dame,38,6,15,21,0.55,12,-5
267,Ryan O'Neill (F),University of St. Thomas,38,6,15,21,0.55,20,-9
268,Hunter Sansbury (D),Sacred Heart University,39,6,15,21,0.54,30,12
269,Ryan Lautenbach (RW/LW),UMass,40,6,15,21,0.53,19,5
270,Hank Cleaves (F),Dartmouth College,32,5,16,21,0.66,10,5
271,Seamus Powell (D),Merrimack College,35,5,16,21,0.60,2,-8
272,Ethan Edwards (D),University of Michigan,36,5,16,21,0.58,40,-2
273,Marcus Joughin (F),Sacred Heart University,39,3,18,21,0.54,14,-2
274,Paul Fischer (D),University of Notre Dame,36,2,19,21,0.58,16,-19
275,Luke Mobley (F),Augustana University,34,13,7,20,0.59,14,6
276,Jakob Lee (C),RPI (Rensselaer Polytech. Inst.),35,13,7,20,0.57,26,6
277,Dane Dowiak (C/LW),Penn State University,40,12,8,20,0.50,20,4
278,Ronan O'Donnell (RW),Yale University,29,11,9,20,0.69,31,-10
279,Dario Beljo (C),American International College,30,11,9,20,0.67,10,-2
280,Garrett Schifsky (C),University of Michigan,36,11,9,20,0.56,14,0
281,Dovar Tinling (C),RPI (Rensselaer Polytech. Inst.),32,10,10,20,0.63,18,-1
282,Graham Gamache (F),Providence College,37,10,10,20,0.54,10,4
283,John Lundy (F),American International College,37,10,10,20,0.54,10,-12
284,Owen Fowler (LW),University of Maine,38,10,10,20,0.53,16,5
285,Brian Carrabes (F),Minnesota State University (Mankato),39,10,10,20,0.51,8,12
286,Nick Ring (F),University of New Hampshire,35,9,11,20,0.57,4,-14
287,Jagger Tapper (F),RPI (Rensselaer Polytech. Inst.),29,8,12,20,0.69,8,9
288,Cam Mitchell (LW),University of Nebraska-Omaha,33,8,12,20,0.61,10,7
289,Michael Neumeier (D),Colgate University,35,8,12,20,0.57,9,10
290,Owen Cole (C),UMass-Lowell,36,8,12,20,0.56,6,1
291,Ryan Chesley (D),University of Minnesota,40,8,12,20,0.50,48,17
292,Zam Plante (C),University of Minnesota-Duluth,33,7,13,20,0.61,0,1
293,Colby Ambrosio (C/RW),Miami University (Ohio),34,7,13,20,0.59,45,-32
294,Jacob Guévin (D),University of Nebraska-Omaha,36,7,13,20,0.56,10,4
295,John Mustard (LW),Providence College,37,7,13,20,0.54,14,1
296,Ben Schoen (C),Penn State University,37,7,13,20,0.54,27,-9
297,Kyle Gaffney (F),University of Alaska-Fairbanks,32,6,14,20,0.63,6,-6
298,Rieger Lorenz (LW/C),University of Denver,44,6,14,20,0.45,18,14
299,John Waldron (F),Miami University (Ohio),28,4,16,20,0.71,8,-19
300,Eamon Powell (D),Boston College,32,4,16,20,0.63,12,20
301,Brandon Holt (D),University of Maine,34,4,16,20,0.59,12,9
302,Lucas Ölvestad (D),UMass,38,4,16,20,0.53,22,8
303,Mike Koster (D),University of Minnesota,40,4,16,20,0.50,14,9
304,Sasha Teleguine (F),Lake Superior State University,32,14,5,19,0.59,34,-4
305,Josh Zary (F),Long Island University,29,12,7,19,0.66,14,-1
306,Anthony Menghini (F),University of Minnesota-Duluth,35,12,7,19,0.54,15,6
307,Timothy Heinke (RW),College of the Holy Cross,39,12,7,19,0.49,24,1
308,Gregory Lapointe (F),St. Lawrence University,34,11,8,19,0.56,18,-15
309,Jayden Perron (RW),University of North Dakota,31,10,9,19,0.61,7,-2
310,Grayden Slipec (F),Northern Michigan University,32,10,9,19,0.59,14,-15
311,Gavin Best (F),Ferris State University,36,10,9,19,0.53,4,-3
312,Kyle Kukkonen (C/RW),University of Wisconsin,37,10,9,19,0.51,22,-1
313,Klavs Veinbergs (C/LW),Colorado College,36,9,10,19,0.53,32,-8
314,Jake Braccini (RW),University of St. Thomas,37,9,10,19,0.51,16,3
315,Jake Percival (F),University of Connecticut,39,9,10,19,0.49,14,5
316,Tyler Ghirardosi (F),Sacred Heart University,32,8,11,19,0.59,12,4
317,Max Helgeson (F),University of Alaska-Anchorage,34,8,11,19,0.56,16,-7
318,Ryan Bottrill (F),Clarkson University,39,8,11,19,0.49,26,5
319,Jack Seymour (RW),College of the Holy Cross,34,7,12,19,0.56,34,7
320,Brent Keefer (F),Army (U.S. Military Academy),36,7,12,19,0.53,29,-5
321,Jere Väisänen (F),Bemidji State University,38,7,12,19,0.50,16,-7
322,Brennan Ali (C/LW),University of Notre Dame,38,7,12,19,0.50,18,-1
323,Matthew Guerra (F),Sacred Heart University,39,7,12,19,0.49,37,8
324,John Beaton (C),RPI (Rensselaer Polytech. Inst.),34,6,13,19,0.56,0,-10
325,Dominic Elliott (D),Robert Morris University,35,6,13,19,0.54,18,-6
326,Mirko Buttazzoni (F),UMass-Lowell,32,5,14,19,0.59,16,-3
327,Aaron Huglen (W/C),University of Minnesota,38,5,14,19,0.50,10,4
328,Jakub Altrichter (C),Northern Michigan University,32,3,16,19,0.59,4,-7
329,Maxim Strbak (D),Michigan State University,33,3,16,19,0.58,16,6
330,Kamil Bednarik (C),Boston University,40,2,17,19,0.48,28,1
331,Luke Haymes (C/LW),Dartmouth College,22,12,6,18,0.82,14,-1
332,Timofei Spitserov (RW),University of Vermont,33,12,6,18,0.55,4,4
333,William Whitelaw (C),University of Michigan,35,11,7,18,0.51,30,7
334,Noah Hackett (F),Niagara University,36,11,7,18,0.50,10,-1
335,Thomas Freel (C),University of Maine,38,11,7,18,0.47,20,9
336,Drew Montgomery (F),Colorado College,34,10,8,18,0.53,18,9
337,Scout Truman (LW),UMass-Lowell,36,10,8,18,0.50,52,-3
338,Devin Kaplan (RW),Boston University,38,10,8,18,0.47,65,-8
339,Talon Sigurdson (F),Clarkson University,39,10,8,18,0.46,21,11
340,Tyler Schleppe (F),Ferris State University,29,9,9,18,0.62,8,-2
341,A.J. Hodges (LW),Bentley University,30,9,9,18,0.60,8,7
342,Chris Delaney (C),UMass-Lowell,35,9,9,18,0.51,16,-12
343,Ben Raymond (C/LW),Colgate University,36,9,9,18,0.50,21,-2
344,Carter Wilkie (RW),University of North Dakota,38,9,9,18,0.47,42,0
345,Brendan Gibbons (C),Air Force Academy,39,9,9,18,0.46,15,-14
346,Ryan Mansfield (LW),Bentley University,31,8,10,18,0.58,4,7
347,Timofei Khokhlachev (LW),American International College,32,8,10,18,0.56,50,5
348,Massimo-Sarantos Lombardi (C),University of Vermont,35,8,10,18,0.51,8,-15
349,Will Elger (F),Providence College,36,8,10,18,0.50,4,5
350,Ethan Gardula (LW),University of Connecticut,37,8,10,18,0.49,19,-2
351,Will Dineen (LW/RW),Yale University,30,6,12,18,0.60,24,-1
352,Henri Schreifels (F),Stonehill College,33,6,12,18,0.55,25,-3
353,Brett Bamber (D),American International College,35,6,12,18,0.51,14,-19
354,Travis Shoudy (D),Ferris State University,36,6,12,18,0.50,8,1
355,Charlie Major (F),Cornell University,28,5,13,18,0.64,6,7
356,Brett Pfoh (F),Bowling Green State University,32,5,13,18,0.56,16,6
357,Trent Wilson (F),Robert Morris University,35,5,13,18,0.51,18,-4
358,Cristophe Tellier (LW/C),Northeastern University,36,5,13,18,0.50,36,-12
359,Adam Flammang (RW),Bemidji State University,38,5,13,18,0.47,27,-7
360,Nolan Cunningham (D),Air Force Academy,40,5,13,18,0.45,26,-15
361,Chris Pappas (C),Long Island University,21,4,14,18,0.86,8,3
362,J.R. Perdion (F),Long Island University,31,4,14,18,0.58,10,8
363,John Herrington (C),Lake Superior State University,36,4,14,18,0.50,18,-8
364,Erik Påhlsson (C/W),University of Minnesota,30,3,15,18,0.60,6,7
365,Nate Schweitzer (D),Lake Superior State University,34,3,15,18,0.53,42,-9
366,Elliott McDermott (D),RPI (Rensselaer Polytech. Inst.),35,3,15,18,0.51,4,0
367,Isa Parekh (D),Bemidji State University,35,3,15,18,0.51,18,-5
368,Rylan Brown (D),Michigan Tech,36,3,15,18,0.50,14,-2
