ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Jack Devine (RW),University of Denver,44,13,44,57,1.30,32,16
2,Aidan Thompson (C/LW),University of Denver,44,21,34,55,1.25,26,16
3,Liam McLinskey (RW/LW),College of the Holy Cross,40,24,30,54,1.35,18,5
4,Aiden Fink (RW),Penn State University,40,23,30,53,1.33,12,15
5,Isaac Howard (LW),Michigan State University,37,26,26,52,1.41,10,19
6,Ayrton Martino (LW),Clarkson University,39,25,26,51,1.31,8,11
7,Jimmy Snuggerud (RW),University of Minnesota,40,24,27,51,1.28,29,13
8,Cole O'Hara (RW),UMass,40,22,29,51,1.28,14,21
9,Quinn Hutson (RW),Boston University,38,23,27,50,1.32,33,17
10,Ryan Leonard (C),Boston College,37,30,19,49,1.32,46,30
11,Gabe Perreault (RW),Boston College,37,16,32,48,1.30,25,28
12,Cole Hutson (D),Boston University,39,14,34,48,1.23,64,5
13,Zeev Buium (D),University of Denver,41,13,35,48,1.17,44,17
14,Joey Muldowney (RW),University of Connecticut,39,29,18,47,1.21,12,27
15,Alex Bump (LW),Western Michigan University,42,23,24,47,1.12,14,11
16,Liam Malmquist (F),University of St. Thomas,38,20,25,45,1.18,8,18
17,Carter King (C/LW),University of Denver,44,21,22,43,0.98,16,17
18,Jake Richard (RW/LW),University of Connecticut,34,15,28,43,1.26,16,26
19,Ethan Leyh (F),Bentley University,37,17,25,42,1.14,29,11
20,Mac Gadowsky (D),Army (U.S. Military Academy),38,16,26,42,1.11,6,5
21,Charlie Cerrato (C),Penn State University,38,15,27,42,1.11,58,16
22,Lucas Wahlin (RW/LW),University of St. Thomas,38,17,24,41,1.08,50,15
23,Jack Williams (RW/LW),Northeastern University,37,16,25,41,1.11,25,6
24,Jeremy Wilmer (LW),Quinnipiac University,38,15,26,41,1.08,4,-6
25,Hudson Schandor (C),University of Connecticut,37,10,31,41,1.11,12,21
26,Quinn Finley (LW),University of Wisconsin,37,20,20,40,1.08,31,-2
27,Cameron Lund (C/W),Northeastern University,37,18,22,40,1.08,14,1
28,Gunnarwolfe Fontaine (LW/C),Ohio State University,40,17,23,40,1.00,6,6
29,Rhett Pitlick (LW/RW),Minnesota State University (Mankato),39,13,27,40,1.03,14,32
30,Ryan Kirwan (LW/RW),Arizona State University,37,26,13,39,1.05,6,6
31,Jason Ahearn (F),Niagara University,36,19,20,39,1.08,23,6
32,Connor Kurth (F),University of Minnesota,40,18,21,39,0.98,10,31
33,Matthew Wood (LW/C),University of Minnesota,39,17,22,39,1.00,16,19
34,Cole Knuble (C/RW),University of Notre Dame,34,12,27,39,1.15,12,6
35,Trevor Hoskin (RW/C),Niagara University,36,12,27,39,1.08,12,7
36,Aydar Suniev (LW/RW),UMass,35,20,18,38,1.09,41,12
37,Artem Shlaine (C),Arizona State University,31,17,21,38,1.23,16,10
38,Tim Washe (C/LW),Western Michigan University,42,16,22,38,0.90,18,22
39,T.J. Hughes (F),University of Michigan,36,15,23,38,1.06,12,5
40,Félix Trudeau (LW),Sacred Heart University,39,15,23,38,0.97,64,1
