ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Will Smith (C/RW),Boston College,41,25,46,71,1.73,14,25
2,Cutter Gauthier (LW/C),Boston College,41,38,27,65,1.59,18,23
3,Macklin Celebrini (C/LW),Boston University,38,32,32,64,1.68,18,25
4,Ryan Leonard (C),Boston College,41,31,29,60,1.46,38,36
5,Jackson Blake (RW/C),University of North Dakota,40,22,38,60,1.50,26,13
6,Gabe Perreault (RW),Boston College,36,19,41,60,1.67,29,24
7,Jack Devine (RW),University of Denver,44,27,29,56,1.27,20,29
8,Gavin Brindley (RW/LW),University of Michigan,40,25,28,53,1.33,28,17
9,Rutger McGroarty (C/W),University of Michigan,36,16,36,52,1.44,6,17
10,Zeev Buium (D),University of Denver,42,11,39,50,1.19,20,33
11,Dylan Duke (LW/C),University of Michigan,41,26,23,49,1.20,30,8
12,Collin Graf (RW/C),Quinnipiac University,34,22,27,49,1.44,4,23
13,Lane Hutson (D),Boston University,38,15,34,49,1.29,24,14
14,T.J. Hughes (F),University of Michigan,41,19,29,48,1.17,27,11
15,Luke Grainger (RW/C),Western Michigan University,38,14,34,48,1.26,21,10
16,Lukas Sillinger (W/C),Arizona State University,38,11,37,48,1.26,10,1
17,Liam McLinskey (RW/LW),College of the Holy Cross,39,19,28,47,1.21,32,23
18,Bradly Nadeau (W/C),University of Maine,37,19,27,46,1.24,12,20
19,Jacob Quillan (C/LW),Quinnipiac University,39,17,29,46,1.18,16,16
20,Josh Nadeau (RW/LW),University of Maine,37,18,27,45,1.22,12,14
21,Seamus Casey (D),University of Michigan,40,7,38,45,1.13,14,4
22,Dylan Wendt (RW/C),Western Michigan University,38,23,21,44,1.16,10,10
23,Gabriel Seger (LW/C),Cornell University,35,14,30,44,1.26,16,30
24,Massimo Rizzo (C),University of Denver,30,10,34,44,1.47,10,24
25,Sam Colangelo (RW/C),Western Michigan University,38,24,19,43,1.13,23,19
26,Justin Hryckowian (C/LW),Northeastern University,32,13,30,43,1.34,8,24
27,Alexander Campbell (LW/C),Northeastern University,36,22,20,42,1.17,6,13
28,Oskar Jellvik (LW/C),Boston College,41,13,29,42,1.02,16,28
29,Frank Nazar (C/RW),University of Michigan,41,17,24,41,1.00,18,-7
