ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
30,Carter Wilkie (RW),RIT (Rochester Inst. of Tech.),40,16,25,41,1.03,32,20
31,Cody Laskosky (C),RIT (Rochester Inst. of Tech.),37,14,27,41,1.11,26,16
32,Tristan Broz (C/LW),University of Denver,43,16,24,40,0.93,13,20
33,Owen McLaughlin (C),University of North Dakota,39,13,26,39,1.00,8,11
34,Elijah Gonsalves (RW/C),RIT (Rochester Inst. of Tech.),36,20,18,38,1.06,30,18
35,Gianfranco Cassaro (D),RIT (Rochester Inst. of Tech.),40,18,20,38,0.95,28,21
36,Eamon Powell (D),Boston College,40,5,33,38,0.95,8,19
37,Noah Laba (C),Colorado College,36,20,17,37,1.03,27,20
38,Cameron Berg (C/LW),University of North Dakota,40,20,17,37,0.93,8,7
39,Chris Hedden (D),Air Force Academy,38,8,29,37,0.97,37,-15
40,Tim Lovell (D),Arizona State University,36,5,32,37,1.03,48,10
41,Matt Kopperud (C),Arizona State University,38,23,13,36,0.95,45,-5
42,Will Gavin (LW/C),Air Force Academy,38,19,17,36,0.95,24,-12
43,Rhett Pitlick (LW/RW),University of Minnesota,39,19,17,36,0.92,14,8
44,Luke Haymes (C/LW),Dartmouth College,31,18,18,36,1.16,12,2
45,Jared Westcott (C/LW),Lake Superior State University,38,18,18,36,0.95,51,7
46,Isaac Gordon (C),Michigan Tech,40,18,18,36,0.90,4,8
47,Quinn Hutson (RW),Boston University,40,18,18,36,0.90,35,13
48,Jack Williams (RW/LW),Northeastern University,34,17,19,36,1.06,8,0
49,Alex Bump (LW),Western Michigan University,38,14,22,36,0.95,27,7
50,Mason Marcellus (C),Quinnipiac University,39,14,22,36,0.92,18,34
51,Bryce Brodzinski (RW),University of Minnesota,39,14,22,36,0.92,18,21
52,Ryan Greene (C),Boston University,40,12,24,36,0.90,6,0
53,Stephen Halliday (C),Ohio State University,38,10,26,36,0.95,30,-2
54,Isaac Howard (LW),Michigan State University,36,8,28,36,1.00,10,3
55,Shai Buium (D),University of Denver,43,7,29,36,0.84,14,33
56,Jeremy Wilmer (LW),Boston University,38,6,30,36,0.95,19,16
57,Veeti Miettinen (RW),St. Cloud State University,37,20,15,35,0.95,0,4
58,Jack Ricketts (C),College of the Holy Cross,39,19,16,35,0.90,78,18
59,Matthew Wilde (LW),RIT (Rochester Inst. of Tech.),40,19,16,35,0.88,16,13
60,Matteo Giampa (RW),Canisius College,36,18,17,35,0.97,8,6
61,Connor Milburn (F),Lake Superior State University,34,16,19,35,1.03,30,14
62,Sam Lipkin (LW/C),Quinnipiac University,39,15,20,35,0.90,37,15
63,Artyom Levshunov (D),Michigan State University,38,9,26,35,0.92,44,27
64,John Prokop (D),Union College,36,8,27,35,0.97,43,-8
65,Sam Morton (C/LW),Minnesota State University (Mankato),37,24,10,34,0.92,10,8
66,Ben Steeves (LW),University of Minnesota-Duluth,37,24,10,34,0.92,30,-10
67,Jimmy Snuggerud (RW),University of Minnesota,39,21,13,34,0.87,42,3
68,Riese Gaber (RW/LW),University of North Dakota,40,18,16,34,0.85,34,11
69,Garrett Schifsky (C),University of Michigan,41,16,18,34,0.83,16,17
70,Aiden Fink (RW),Penn State University,34,15,19,34,1.00,27,-3
71,Carter King (C/LW),University of Denver,37,15,19,34,0.92,2,8
72,Karsen Dorwart (LW/C),Michigan State University,38,15,19,34,0.89,28,8
73,Isaiah Fox (F),Long Island University,37,14,20,34,0.92,66,6
74,Cruz Lucius (RW),University of Wisconsin,36,13,21,34,0.94,10,0
75,Dylan Hryckowian (RW),Northeastern University,34,7,27,34,1.00,22,9
76,Miko Matikka (RW/LW),University of Denver,43,20,13,33,0.77,41,15
77,Ryland Mosley (LW/RW),Michigan Tech,40,18,15,33,0.83,10,2
78,Brady Risk (RW/LW),University of Alaska-Fairbanks,33,13,20,33,1.00,16,5
79,Oliver Moore (C),University of Minnesota,39,9,24,33,0.85,8,16
80,Dylan Anhorn (D),St. Cloud State University,38,6,27,33,0.87,34,14
81,Josh Zary (F),Long Island University,35,20,12,32,0.91,21,6
82,Joey Larson (RW/LW),Michigan State University,38,16,16,32,0.84,8,6
83,Kyler Kupka (F),St. Cloud State University,38,14,18,32,0.84,18,8
84,McKade Webster (LW),University of Denver,43,14,18,32,0.74,54,31
85,Andre Ghantous (RW/LW),Northern Michigan University,34,9,23,32,0.94,48,-3
86,David Silye (C/RW),University of Wisconsin,40,9,23,32,0.80,10,-4
87,Matt Copponi (C),Merrimack College,30,7,25,32,1.07,48,4
88,Landon Slaggert (LW/C),University of Notre Dame,36,20,11,31,0.86,10,8
89,Jaxon Nelson (C/RW),University of Minnesota,39,19,12,31,0.79,6,14
90,Joey Baez (F),Army (U.S. Military Academy),32,15,16,31,0.97,14,-10
91,Ryan Conmy (RW),University of New Hampshire,34,14,17,31,0.91,14,9
92,Dalton Bancroft (RW/LW),Cornell University,34,12,19,31,0.91,25,14
93,Chris Pappas (C),Long Island University,34,11,20,31,0.91,10,0
94,Carter Randklev (F),Niagara University,37,11,20,31,0.84,39,5
95,Matteo Costantini (C/LW),Western Michigan University,38,11,20,31,0.82,18,20
96,Dustin Manz (C/RW),American International College,39,7,24,31,0.79,28,1
97,Aiden Hansen-Bukata (D),RIT (Rochester Inst. of Tech.),37,5,26,31,0.84,28,23
98,Sean Behrens (D),University of Denver,44,4,27,31,0.70,53,25
99,Rieger Lorenz (LW/C),University of Denver,44,16,14,30,0.68,10,21
100,Ben Almquist (F),University of Alaska-Anchorage,34,14,16,30,0.88,14,10
101,Lleyton Roed (LW),Bemidji State University,38,14,16,30,0.79,16,4
102,Tyler Wallace (C),Niagara University,39,13,17,30,0.77,17,2
103,Caden Villegas (F),Union College,37,12,18,30,0.81,4,-12
104,Lucas Wahlin (RW/LW),University of St. Thomas,37,12,18,30,0.81,48,4
105,Ross Mitton (RW/LW),Colgate University,34,11,19,30,0.88,14,-4
106,Cameron Lund (C/W),Northeastern University,35,11,19,30,0.86,22,-7
107,Aidan Thompson (C/LW),University of Denver,44,11,19,30,0.68,35,16
108,Luke Tuch (LW),Boston University,39,10,20,30,0.77,10,17
109,Lynden Breen (C/LW),University of Maine,37,9,21,30,0.81,20,17
110,Noah Kane (C),Long Island University,33,8,22,30,0.91,48,-2
111,Owen Gallatin (D),University of Minnesota-Duluth,37,7,23,30,0.81,24,-17
112,Scott Morrow (D),UMass,37,6,24,30,0.81,25,3
113,Cade Mason (D),Long Island University,34,2,28,30,0.88,8,-3
114,Ethan Leyh (F),Bentley University,35,13,16,29,0.83,34,11
115,Daniel Panetta (C),Colgate University,36,13,16,29,0.81,6,2
116,Logan Pietila (RW/C),Michigan Tech,40,13,16,29,0.73,4,-2
117,Jack Musa (F),UMass,37,12,17,29,0.78,6,9
118,Andre Gasseau (C/LW),Boston College,40,12,17,29,0.73,27,17
119,Adam Robbins (F),Princeton University,30,11,18,29,0.97,8,-3
120,Danny Dzhaniyev (F),Penn State University,33,9,20,29,0.88,6,12
121,Nicolas Müller (C/RW),Michigan State University,38,7,22,29,0.76,22,10
122,Luke Rowe (D),Air Force Academy,35,6,23,29,0.83,70,-10
123,Jake Livanavage (D),University of North Dakota,40,5,24,29,0.73,6,5
124,Matthew Wood (LW/C),University of Connecticut,35,16,12,28,0.80,43,-1
125,Gleb Veremyev (C/LW),Colorado College,37,15,13,28,0.76,55,13
126,Lucas Sowder (LW),Minnesota State University (Mankato),33,13,15,28,0.85,16,1
127,Simon Tassy (F),University of Wisconsin,40,12,16,28,0.70,47,12
128,Mathieu Gosselin (RW/LW),Clarkson University,31,11,17,28,0.90,35,3
129,Tanner Ludtke (C),University of Nebraska-Omaha,40,11,17,28,0.70,28,11
130,Kyle Penney (C),Cornell University,35,10,18,28,0.80,18,30
131,Cy LeClerc (F),University of New Hampshire,36,10,18,28,0.78,17,7
132,Clay Cosentino (F),Air Force Academy,38,10,18,28,0.74,6,-9
133,Adam Ingram (C),St. Cloud State University,38,10,18,28,0.74,18,9
134,Tyler Fukakusa (C),RIT (Rochester Inst. of Tech.),39,9,19,28,0.72,18,19
135,Anton Rubtsov (F),University of Alaska-Fairbanks,30,8,20,28,0.93,14,6
136,Garrett Dahm (F),Mercyhurst University,35,7,21,28,0.80,23,2
137,Kyle Looft (D),Bemidji State University,32,6,22,28,0.88,14,17
138,Vincent Borgesi (D),Northeastern University,34,5,23,28,0.82,10,7
139,Ben Dexheimer (D),University of Wisconsin,40,5,23,28,0.70,16,2
140,Zach Bookman (D),Merrimack College,33,4,24,28,0.85,30,-13
141,Sam Rinzel (D),University of Minnesota,39,2,26,28,0.72,20,23
142,Boris Skalos (F),Mercyhurst University,35,15,12,27,0.77,10,2
143,Harrison Scott (C/LW),University of Maine,37,15,12,27,0.73,18,6
144,Max Helgeson (F),University of Alaska-Anchorage,33,14,13,27,0.82,31,7
145,Tyler Ghirardosi (F),College of the Holy Cross,39,14,13,27,0.69,23,13
146,Joe Miller (C),Harvard University,32,13,14,27,0.84,8,-5
147,Shane Lachance (LW),Boston University,40,13,14,27,0.68,12,15
148,Jacques Bouquot (C/LW),Penn State University,34,12,15,27,0.79,22,-7
149,Brody Lamb (RW),University of Minnesota,39,12,15,27,0.69,6,-1
150,Austin Heidemann (F),RPI (Rensselaer Polytech. Inst.),37,11,16,27,0.73,8,-12
151,Mathieu De St. Phalle (RW/LW),University of Wisconsin,38,11,16,27,0.71,8,4
152,Liam Malmquist (F),University of St. Thomas,36,10,17,27,0.75,10,-7
153,Red Savage (C),Michigan State University,38,10,17,27,0.71,12,9
154,Ayrton Martino (LW),Clarkson University,31,9,18,27,0.87,8,-5
155,Josh Nixon (RW),Union College,36,9,18,27,0.75,33,-6
156,Gunnarwolfe Fontaine (LW/C),Northeastern University,36,8,19,27,0.75,6,-2
157,Brett Chorske (C/RW),Colgate University,35,7,20,27,0.77,6,9
158,Simon Labelle (LW),Colgate University,36,7,20,27,0.75,17,-5
159,Stevie Castagna (F),Bentley University,35,6,21,27,0.77,37,4
160,Boston Buckberger (D),University of Denver,44,5,22,27,0.61,27,32
161,Griffin Ludtke (D),University of Nebraska-Omaha,40,4,23,27,0.68,27,1
162,Harrison Israels (C),University of Alaska-Fairbanks,33,20,6,26,0.79,14,10
163,Tanner Klimpke (F),Robert Morris University,37,15,11,26,0.70,14,-7
164,Gavin O'Connell (RW),Michigan State University,38,15,11,26,0.68,12,8
165,Ryan McGuire (C/RW),Colgate University,34,14,12,26,0.76,31,5
166,T.J. Walsh (LW),Sacred Heart University,36,13,13,26,0.72,6,-12
167,Ryan Kirwan (LW/RW),Penn State University,36,13,13,26,0.72,10,7
168,Scooter Brickey (D),Ohio State University,37,13,13,26,0.70,32,-10
169,Jack Randl (LW),University of Nebraska-Omaha,39,13,13,26,0.67,10,5
170,Antonio Venuto (RW),Ferris State University,36,12,14,26,0.72,44,0
171,Andon Cerbone (F),Quinnipiac University,39,12,14,26,0.67,23,20
172,Ty Mueller (C),University of Nebraska-Omaha,40,11,15,26,0.65,33,9
173,Jason Ahearn (F),Niagara University,34,10,16,26,0.76,26,-6
174,John Jaworski (F),Sacred Heart University,35,10,16,26,0.74,14,-8
175,Ryan Ufko (D),UMass,37,10,16,26,0.70,14,4
176,Davis Burnside (F),Ohio State University,38,9,17,26,0.68,24,-6
177,Eric Martin (F),Bemidji State University,38,8,18,26,0.68,6,-5
178,Ryan O'Neill (F),University of St. Thomas,35,7,19,26,0.74,12,-1
179,Matthew DiMarsico (F),Penn State University,35,7,19,26,0.74,18,-12
180,Chad Hillebrand (LW/C),Western Michigan University,38,7,19,26,0.68,44,21
181,Cristophe Tellier (LW/C),Quinnipiac University,39,7,19,26,0.67,12,11
182,Evan Murr (D),Minnesota State University (Mankato),37,6,20,26,0.70,14,8
183,Tommy Bergsland (D),Colgate University,36,5,21,26,0.72,16,-1
184,Nate Hanley (C),Union College,37,4,22,26,0.70,10,-7
185,Jayden Lee (D),Quinnipiac University,39,3,23,26,0.67,8,20
186,Cooper Flinton (LW/RW),Dartmouth College,30,15,10,25,0.83,25,1
187,Jared Wright (RW),University of Denver,44,15,10,25,0.57,8,5
188,Zach Urdahl (LW/RW),University of Nebraska-Omaha,34,13,12,25,0.74,4,3
189,Dawson Tritt (F),Lake Superior State University,38,13,12,25,0.66,14,-1
190,Daniel Russell (C),Michigan State University,38,13,12,25,0.66,38,5
191,Felikss Gavars (F),St. Lawrence University,39,13,12,25,0.64,14,-9
192,Aydar Suniev (LW/RW),UMass,36,12,13,25,0.69,25,1
193,Jack Malone (RW/C),Boston College,41,12,13,25,0.61,12,7
194,Matthew Barbolini (C/LW),Miami University (Ohio),31,11,14,25,0.81,40,-4
195,Jonathan Castagna (C),Cornell University,35,11,14,25,0.71,25,20
196,Kevin Lombardi (RW/LW),Sacred Heart University,36,11,14,25,0.69,19,-10
197,Anthony Romano (C/RW),Clarkson University,27,10,15,25,0.93,4,-3
198,Sutter Muzzatti (F),RPI (Rensselaer Polytech. Inst.),33,10,15,25,0.76,79,-15
199,Jack Stockfish (C),College of the Holy Cross,32,9,16,25,0.78,10,2
200,Lucas Mercuri (C/RW),UMass,37,9,16,25,0.68,29,1
201,Ryan Naumovski (F),Augustana University,34,8,17,25,0.74,0,0
202,Matthew Guerra (F),College of the Holy Cross,38,8,17,25,0.66,51,-4
203,Max Itagaki (F),Army (U.S. Military Academy),34,6,19,25,0.74,31,-13
204,Tom Willander (D),Boston University,38,4,21,25,0.66,12,28
205,Garrett Pyke (D),University of North Dakota,39,3,22,25,0.64,14,11
206,Ryan St. Louis (LW),Brown University,30,13,11,24,0.80,4,-8
207,Brent Keefer (F),Army (U.S. Military Academy),34,13,11,24,0.71,30,-14
208,Travis Treloar (C),Quinnipiac University,30,12,12,24,0.80,14,8
209,Eric Pohlkamp (D),Bemidji State University,32,11,13,24,0.75,18,4
210,Brandon Buhr (F),Union College,35,11,13,24,0.69,4,-12
211,Patrick Moynihan (RW),University of Notre Dame,36,10,14,24,0.67,12,7
212,Ryan Lautenbach (RW/LW),UMass,37,10,14,24,0.65,29,2
213,Zachary Okabe (RW),St. Cloud State University,38,10,14,24,0.63,21,-4
214,Riley Thompson (F),University of Alaska-Anchorage,34,9,15,24,0.71,32,13
215,Nick Poisson (F),Providence College,35,9,15,24,0.69,16,8
216,Donavan Houle (C/RW),University of Maine,36,9,15,24,0.67,33,10
217,Timo Bakos (F),Lake Superior State University,38,9,15,24,0.63,6,-3
218,Nash Nienhuis (D),Michigan State University,38,9,15,24,0.63,22,20
219,Charles-Alexis Legault (D),Quinnipiac University,39,9,15,24,0.62,53,36
220,Charlie Schoen (RW),Arizona State University,33,8,16,24,0.73,31,5
221,Ville Immonen (C),Union College,36,8,16,24,0.67,18,-6
222,Harrison Roy (F),Lake Superior State University,38,8,16,24,0.63,8,-17
223,Brendan Gorman (C),Princeton University,29,7,17,24,0.83,19,5
224,David Jacobs (RW),Princeton University,30,7,17,24,0.80,18,-3
225,Christian Fitzgerald (F),University of Wisconsin,37,7,17,24,0.65,16,8
226,Nick Bochen (D),Bentley University,35,6,18,24,0.69,20,15
227,Carter Jones (F),Bemidji State University,37,6,18,24,0.65,12,-1
228,Julius Janhonen (C),American International College,40,5,19,24,0.60,27,-2
229,Davis Pennington (D),Quinnipiac University,39,3,21,24,0.62,14,23
230,Alex Jefferies (LW),Merrimack College,22,13,10,23,1.05,19,1
231,Alex DiPaolo (LW),Colgate University,26,12,11,23,0.88,16,1
232,Ian Murphy (RW/C),Princeton University,25,11,12,23,0.92,10,1
233,P.J. Fletcher (C/RW),Miami University (Ohio),36,11,12,23,0.64,18,-12
234,Artem Shlaine (C),Northern Michigan University,27,10,13,23,0.85,23,-5
235,Liam Robertson (C),Union College,34,10,13,23,0.68,20,-6
236,Ethan Phillips (C/RW),Western Michigan University,29,9,14,23,0.79,12,14
237,Danny Nelson (C/LW),University of Notre Dame,30,9,14,23,0.77,32,5
238,Max Kouznetsov (LW/C),Canisius College,36,8,15,23,0.64,39,-1
239,Adam Eisele (F),Minnesota State University (Mankato),37,8,15,23,0.62,16,3
240,Luigi Benincasa (F),Ferris State University,33,7,16,23,0.70,6,1
241,Ryan Richardson (LW),Clarkson University,35,7,16,23,0.66,12,7
242,Steven Agriogianis (RW),Mercyhurst University,35,6,17,23,0.66,8,-16
243,Dallas Tulik (F),Robert Morris University,37,6,17,23,0.62,24,-12
244,Nick Seitz (F),Princeton University,30,5,18,23,0.77,14,-3
245,Ben Robertson (D),Cornell University,35,5,18,23,0.66,2,19
246,Matthew Gleason (C),University of St. Thomas,37,5,18,23,0.62,26,2
247,Devin Kaplan (RW),Boston University,37,5,18,23,0.62,34,9
248,Mac Gadowsky (D),Army (U.S. Military Academy),28,4,19,23,0.82,8,-1
249,Verner Miettinen (C),St. Cloud State University,38,4,19,23,0.61,8,-3
250,John Lundy (F),American International College,26,14,8,22,0.85,25,9
251,Chaz Smedsrud (LW),Union College,37,14,8,22,0.59,6,-8
252,Tyler Hotson (F),RPI (Rensselaer Polytech. Inst.),37,13,9,22,0.59,32,-3
253,Ryan Walsh (C/RW),Cornell University,35,12,10,22,0.63,21,5
254,Jeremy Davidson (RW),Michigan State University,38,12,10,22,0.58,28,9
255,Alfred Lindberg (C),American International College,20,11,11,22,1.10,6,7
256,Chase Bradley (LW/C),University of Connecticut,31,11,11,22,0.71,53,4
257,Jackson Jutting (F),Bemidji State University,27,10,12,22,0.81,2,12
258,Morgan Winters (F),University of New Hampshire,33,10,12,22,0.67,19,3
259,Brian Kramer (D),American International College,35,10,12,22,0.63,35,10
260,Reese Laubach (C),Penn State University,35,10,12,22,0.63,48,4
261,Brian Carrabes (F),Minnesota State University (Mankato),36,10,12,22,0.61,6,6
262,Ryan Healey (D),Harvard University,29,9,13,22,0.76,12,-26
263,John Waldron (F),Miami University (Ohio),36,9,13,22,0.61,6,-15
264,Caige Sterzer (F),Lindenwood University,28,8,14,22,0.79,35,-6
265,Randy Hernández (RW),Canisius College,37,8,14,22,0.59,4,-12
266,Kenny Connors (C),UMass,37,7,15,22,0.59,14,-2
267,Jordan Biro (C),American International College,39,7,15,22,0.56,4,1
268,Michael Sacco (F),Army (U.S. Military Academy),34,6,16,22,0.65,54,-22
269,Thomas Freel (C),University of Maine,37,6,16,22,0.59,8,4
270,Brandon Chabrier (D),University of Maine,37,6,16,22,0.59,22,8
271,Walter Zacher (C),Robert Morris University,33,5,17,22,0.67,22,-6
272,Colton Huard (D),University of New Hampshire,36,5,17,22,0.61,16,1
273,Cooper Moore (D),Quinnipiac University,39,3,19,22,0.56,26,26
274,Chase Pietila (D),Michigan Tech,40,3,19,22,0.55,60,1
275,Sam Harris (LW),University of Denver,42,14,7,21,0.50,27,13
276,Mack Byers (LW),University of St. Thomas,31,13,8,21,0.68,4,9
277,Ty Daneault (RW),Merrimack College,34,13,8,21,0.62,33,-5
278,Aaron Huglen (W/C),University of Minnesota,37,13,8,21,0.57,21,-6
279,Cooper Gay (LW/RW),University of St. Thomas,29,12,9,21,0.72,28,3
280,Owen Lindmark (C/RW),University of Wisconsin,28,11,10,21,0.75,6,17
281,Kaden Bohlsen (C),Minnesota State University (Mankato),37,11,10,21,0.57,52,6
282,Jens Richards (F),University of Vermont,32,10,11,21,0.66,10,3
283,Jack Richard (F),Niagara University,34,10,11,21,0.62,33,-5
284,Ondrej Psenicka (RW),Cornell University,35,9,12,21,0.60,30,13
285,Jackson Reineke (RW/LW),Robert Morris University,37,9,12,21,0.57,43,-5
286,Zak Galambos (D),Western Michigan University,38,9,12,21,0.55,39,16
287,Glebs Prohorenkovs (F),Niagara University,39,9,12,21,0.54,21,-10
288,Marcus Joughin (F),Sacred Heart University,34,8,13,21,0.62,16,-8
289,Parker Brown (F),Air Force Academy,37,8,13,21,0.57,27,-12
290,Nicholas Moldenhauer (C/RW),University of Michigan,41,8,13,21,0.51,2,-2
291,Scout Truman (LW),UMass-Lowell,35,7,14,21,0.60,18,2
292,Connor Kurth (F),University of Minnesota,37,7,14,21,0.57,14,-5
293,Tanner Adams (RW/C),Providence College,35,6,15,21,0.60,6,1
294,Connor McMenamin (LW),University of Minnesota-Duluth,35,6,15,21,0.60,12,-9
295,Ryan Brushett (C),RPI (Rensselaer Polytech. Inst.),37,6,15,21,0.57,14,-10
296,Tanner Andrew (C),RIT (Rochester Inst. of Tech.),38,6,15,21,0.55,10,6
297,Zach Tupker (C),Quinnipiac University,39,6,15,21,0.54,24,20
298,Hudson Schandor (C),University of Connecticut,34,5,16,21,0.62,31,9
299,John Driscoll (D),Army (U.S. Military Academy),35,5,16,21,0.60,16,-18
300,Max Koskipirtti (C/W),Michigan Tech,33,4,17,21,0.64,10,4
301,Quinn Olson (LW/C),University of Minnesota-Duluth,37,4,17,21,0.57,10,-13
302,Nick Anderson (D),Colgate University,36,2,19,21,0.58,35,2
303,Mathew Shatsky (D),College of the Holy Cross,37,2,19,21,0.57,28,13
304,Theo Wallberg (D),Ohio State University,38,2,19,21,0.55,16,-10
305,Liam Devlin (F),University of New Hampshire,28,13,7,20,0.71,37,6
306,Chase Yoder (C/W),Providence College,35,11,9,20,0.57,26,-3
307,Rylee St. Onge (LW),Robert Morris University,38,11,9,20,0.53,45,-18
308,Zaccharya Wisdom (RW),Colorado College,33,10,10,20,0.61,22,7
309,Jack Works (F),Michigan Tech,35,10,10,20,0.57,17,2
310,Drew Bavaro (D),University of Notre Dame,35,10,10,20,0.57,38,-4
311,Luke Loheit (RW),University of Minnesota-Duluth,36,10,10,20,0.56,53,-8
312,Alexander Malinowski (LW/RW),American International College,27,9,11,20,0.74,23,5
313,Cole Knuble (C/RW),University of Notre Dame,36,9,11,20,0.56,12,4
314,John Herrington (C),Lake Superior State University,37,9,11,20,0.54,12,-5
315,Lars Christian Rødne (LW),Niagara University,35,8,12,20,0.57,4,-10
316,Dylan Peterson (C/RW),Boston University,35,8,12,20,0.57,73,10
317,Brock Bremer (LW),University of Nebraska-Omaha,40,8,12,20,0.50,46,1
318,Josh Groll (C/LW),Minnesota State University (Mankato),34,7,13,20,0.59,15,1
319,Tyson Gross (RW),St. Cloud State University,34,7,13,20,0.59,16,2
320,Matt Miller (RW),University of Nebraska-Omaha,37,7,13,20,0.54,19,-16
321,Drake Burgin (D),St. Lawrence University,39,7,13,20,0.51,16,-7
322,Tomas Mazura (C),St. Lawrence University,34,6,14,20,0.59,12,-5
323,Brett Rylance (C/W),American International College,38,6,14,20,0.53,31,-5
324,C.J. Foley (D),Dartmouth College,32,5,15,20,0.63,10,5
325,Payton Matsui (F),University of Alaska-Fairbanks,34,5,15,20,0.59,6,3
326,Benji Eckerle (F),Arizona State University,35,5,15,20,0.57,12,8
327,Shane Ott (F),Niagara University,38,5,15,20,0.53,25,3
328,Mikey Adamson (D),Sacred Heart University,34,4,16,20,0.59,12,-8
329,Travis Shoudy (D),Ferris State University,36,4,16,20,0.56,14,-8
330,Carter Berger (D),Western Michigan University,36,4,16,20,0.56,14,14
331,Brian Chambers (RW),Arizona State University,38,4,16,20,0.53,35,4
332,Mason Waite (D),St. Lawrence University,39,4,16,20,0.51,14,-16
333,Nikita Nikora (C/W),Dartmouth College,25,3,17,20,0.80,2,-2
334,Josh Zinger (D),Northern Michigan University,34,3,17,20,0.59,20,-11
335,Ryan Beck (C),Colorado College,34,3,17,20,0.59,26,4
336,Ryan Siedem (D),University of Notre Dame,36,3,17,20,0.56,12,16
337,Aaron Pionk (D),University of Minnesota-Duluth,37,3,17,20,0.54,22,-9
338,Luke Mittelstadt (D),University of Minnesota,38,2,18,20,0.53,14,11
339,Carson Bantle (LW/RW),University of Wisconsin,39,14,5,19,0.49,45,7
340,Hunter Johannes (LW),University of North Dakota,31,12,7,19,0.61,29,10
341,Luke Mobley (F),Augustana University,34,12,7,19,0.56,23,-5
342,Christophe Fillion (F),Quinnipiac University,39,12,7,19,0.49,29,11
343,Jack Cronin (RW),Princeton University,26,11,8,19,0.73,8,-11
344,Ricky Lyle (LW),Army (U.S. Military Academy),34,10,9,19,0.56,33,-22
345,Austin Schwartz (F),Air Force Academy,38,10,9,19,0.50,10,6
346,Benjamin Tupker (LW),Union College,34,9,10,19,0.56,24,5
347,Ethan Manderville (C),Colgate University,36,9,10,19,0.53,10,2
348,Jackson Kunz (LW),University of North Dakota,37,9,10,19,0.51,4,6
349,Adam Flammang (RW),Bemidji State University,38,9,10,19,0.50,24,18
350,Dylan James (LW),University of North Dakota,40,9,10,19,0.48,12,11
351,Kai Daniells (F),Princeton University,30,8,11,19,0.63,14,-11
352,Blake Biondi (C/RW),University of Minnesota-Duluth,34,8,11,19,0.56,29,-20
353,Mark Hillier (F),Merrimack College,35,7,12,19,0.54,2,-7
354,Mason Salquist (F),St. Cloud State University,35,7,12,19,0.54,27,5
355,Luc Wilson (F),Minnesota State University (Mankato),36,7,12,19,0.53,14,-2
356,Justin Paul (LW),St. Lawrence University,37,7,12,19,0.51,10,-14
357,Jack Hughes (C),Boston University,38,7,12,19,0.50,12,10
358,Will Margel (W/C),Mercyhurst University,31,6,13,19,0.61,10,-7
359,Kristóf Papp (C),Northern Michigan University,34,6,13,19,0.56,6,-3
360,Reed Lebster (RW),Michigan State University,35,6,13,19,0.54,12,11
361,Evan Werner (F),Colorado College,37,6,13,19,0.51,10,-1
362,Cade Neilson (C),University of Alaska-Fairbanks,31,5,14,19,0.61,22,8
363,Ben Brar (LW),Merrimack College,35,5,14,19,0.54,20,-18
364,Hunter Strand (C),University of Notre Dame,36,4,15,19,0.53,2,1
