ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
906,Adam Pitters (F),Bowling Green State University,34,1,5,6,0.18,28,5
907,Paul Meyer (D),Colgate University,36,1,5,6,0.17,12,-10
908,Sean Giles (D),Robert Morris University,37,1,5,6,0.16,28,0
909,Matt Staudacher (D),University of Minnesota,37,1,5,6,0.16,29,5
910,Julian Kislin (D),Northeastern University,23,0,6,6,0.26,14,-5
911,Ondrej Trejbal (D),St. Cloud State University,28,0,6,6,0.21,16,0
912,P.J. Fletcher (C/RW),Quinnipiac University,30,0,6,6,0.20,2,-4
913,Bauer Neudecker (F),University of Alabama-Huntsville,31,0,6,6,0.19,10,-24
914,Jake Johnson (D),RPI (Rensselaer Polytech. Inst.),32,0,6,6,0.19,26,2
915,Kalle Eriksson (D),University of New Hampshire,33,0,6,6,0.18,8,-5
916,Connor James (D),University of Alabama-Huntsville,33,0,6,6,0.18,20,-20
917,Caleb Hite (F),University of Alaska-Fairbanks,24,4,1,5,0.21,14,-4
918,Michael Lombardi (C/LW),Quinnipiac University,28,4,1,5,0.18,4,2
919,Lucas Jaycox (D),St. Cloud State University,34,4,1,5,0.15,10,-4
920,Brendan Soucie (F),Army (U.S. Military Academy),10,3,2,5,0.50,0,-9
921,Simon Gravel (C/RW),Canisius College,10,3,2,5,0.50,2,-3
922,Patrick Giles (C/RW),Boston College,10,3,2,5,0.50,4,6
923,Alex Truscott (F),Niagara University,20,3,2,5,0.25,8,1
924,Carver Watson (D),Mercyhurst University,22,3,2,5,0.23,2,-11
925,Ryan Kruper (F),RIT (Rochester Inst. of Tech.),26,3,2,5,0.19,12,4
926,Ryan Cook (D),Niagara University,26,3,2,5,0.19,48,4
927,Joe O'Connor (D),Quinnipiac University,27,3,2,5,0.19,20,-3
928,Tyler Campbell (C),Dartmouth College,29,3,2,5,0.17,2,-12
929,Andrew Gaus (RW),Colorado College,29,3,2,5,0.17,18,-1
930,Brenden MacLaren (F),Ferris State University,29,3,2,5,0.17,31,-3
931,Josh Boyer (C),University of Nebraska-Omaha,31,3,2,5,0.16,14,3
932,Brandon Salerno (C),University of Alabama-Huntsville,32,3,2,5,0.16,2,-17
933,Darcy Walsh (C),Robert Morris University,32,3,2,5,0.16,10,-9
934,Billy Jerry (C/RW),RPI (Rensselaer Polytech. Inst.),33,3,2,5,0.15,8,-4
935,Will MacKinnon (D),University of New Hampshire,34,3,2,5,0.15,16,-8
936,Logan Cockerill (LW/RW),Boston University,18,2,3,5,0.28,12,-5
937,Blake Wareham (D),Canisius College,19,2,3,5,0.26,2,-1
938,T.J. Walsh (LW),Northeastern University,20,2,3,5,0.25,6,-1
939,Gabe Bast (D),University of North Dakota,22,2,3,5,0.23,18,1
940,Cole Donhauser (C/W),Yale University,23,2,3,5,0.22,10,-5
941,Michael Ufberg (D),Princeton University,25,2,3,5,0.20,6,-4
942,Mason Snell (D),Penn State University,26,2,3,5,0.19,6,-10
943,Guus van Nes (LW/RW),Quinnipiac University,27,2,3,5,0.19,6,-8
944,Garrett Clegg (RW),Robert Morris University,27,2,3,5,0.19,16,-2
945,Keegan Ford (D),Michigan Tech,27,2,3,5,0.19,21,11
946,Colin Burston (LW),Brown University,31,2,3,5,0.16,29,-14
947,Ryder Donovan (C/RW),University of Wisconsin,32,2,3,5,0.16,24,-8
948,Marek Korencik (D),UMass-Lowell,33,2,3,5,0.15,8,3
949,Owen Farris (C),Union College,33,2,3,5,0.15,21,-10
950,Tyler Drevitch (C),Merrimack College,34,2,3,5,0.15,16,-10
951,Louie Roehl (D),University of Minnesota-Duluth,34,2,3,5,0.15,24,8
952,Michael Kesselring (D),Northeastern University,34,2,3,5,0.15,35,-2
953,Butrus Ghafari (D),Michigan State University,36,2,3,5,0.14,24,-1
954,Jackson Keane (C),University of North Dakota,19,1,4,5,0.26,0,-3
955,Jake Gaudet (C),UMass,19,1,4,5,0.26,14,2
956,Henry Marshall (F),Colgate University,20,1,4,5,0.25,0,5
957,Kristian Blumenschein (D),Colorado College,21,1,4,5,0.24,10,-11
958,Jordan Peacock (F),RIT (Rochester Inst. of Tech.),21,1,4,5,0.24,29,1
959,Andrew Petrucci (C),RIT (Rochester Inst. of Tech.),22,1,4,5,0.23,10,1
960,Jacob Dalton (D),Bowling Green State University,26,1,4,5,0.19,12,1
961,Sam Renlund (F),Colorado College,26,1,4,5,0.19,32,4
962,Matthew Berkovitz (D),Army (U.S. Military Academy),27,1,4,5,0.19,6,-9
963,Philip Lagunov (C),UMass,27,1,4,5,0.19,10,9
964,Marcus Walter (D),Bentley University,28,1,4,5,0.18,14,0
965,David Melaragni (D),Canisius College,28,1,4,5,0.18,31,-9
966,Cameron Buhl (F),St. Lawrence University,29,1,4,5,0.17,12,-9
967,Jérémie Bucheler (D),Northeastern University,29,1,4,5,0.17,22,0
968,Zac Herrmann (D),Niagara University,30,1,4,5,0.17,4,0
969,Regan Seiferling (D),RIT (Rochester Inst. of Tech.),30,1,4,5,0.17,8,4
970,Miguel Fidler (LW),Ohio State University,30,1,4,5,0.17,10,-11
971,Ethan Frisch (D),University of North Dakota,31,1,4,5,0.16,17,9
972,Connor Fedorek (D),Ferris State University,31,1,4,5,0.16,20,-8
973,Liam Dennison (D),Merrimack College,31,1,4,5,0.16,23,-17
974,Jared Kucharek (D),Western Michigan University,32,1,4,5,0.16,10,5
975,Mike Vorlicky (D),University of Wisconsin,32,1,4,5,0.16,12,-1
976,Colin Schmidt (C),Union College,32,1,4,5,0.16,18,-9
977,Brendan Riley (C),Mercyhurst University,32,1,4,5,0.16,42,-15
978,Neil Shea (LW),Northeastern University,33,1,4,5,0.15,14,-7
979,Luke Orysiuk (D),Bentley University,33,1,4,5,0.15,43,-6
980,Carson Musser (D),Bowling Green State University,34,1,4,5,0.15,10,-8
981,Zac Masson (RW),University of Alaska-Anchorage,34,1,4,5,0.15,18,-12
982,Michael Davies (D),University of Denver,34,1,4,5,0.15,20,9
983,Tim Makowski (D),St. Lawrence University,34,1,4,5,0.15,22,-9
984,Simon Butala (D),University of Maine,34,1,4,5,0.15,52,6
985,Kyle Mayhew (D),University of Denver,36,1,4,5,0.14,20,15
986,Justin Wells (D),Bowling Green State University,38,1,4,5,0.13,10,-4
987,Tyler Anderson (D),Lake Superior State University,40,1,4,5,0.13,24,-6
988,Albin Nilsson (C),Providence College,22,0,5,5,0.23,8,-1
989,Zach Walker (RW),Boston College,28,0,5,5,0.18,25,4
990,Levi Kleiboer (D),University of Maine,29,0,5,5,0.17,10,1
991,Erik Urbank (RW),Dartmouth College,30,0,5,5,0.17,8,-2
992,Joseph Campolieto (D),Union College,31,0,5,5,0.16,39,-14
993,Yevgen Fadyeyev (F),Ohio State University,32,0,5,5,0.16,21,-5
994,Kyle Hallbauer (D),RPI (Rensselaer Polytech. Inst.),33,0,5,5,0.15,6,-1
995,Lucas Finner (LW),Ferris State University,5,4,0,4,0.80,23,-1
996,Jonny Hill (D),Niagara University,18,4,0,4,0.22,6,2
997,Jack Donato (F),Harvard University,31,4,0,4,0.13,14,-4
998,Logan Jenuwine (F),Arizona State University,10,3,1,4,0.40,8,-2
999,Joey Cipollone (C),University of Vermont,13,3,1,4,0.31,4,-7
1000,Danny DiGrande (C),RPI (Rensselaer Polytech. Inst.),18,3,1,4,0.22,10,-1
1001,Jack DeBoer (C),Boston University,20,3,1,4,0.20,8,1
1002,Dylan Mills (C),Niagara University,27,3,1,4,0.15,56,-7
1003,Will Hammer (F),St. Cloud State University,32,3,1,4,0.13,4,3
1004,Christopher Berger (LW),Brown University,9,2,2,4,0.44,6,-3
1005,Colton Trumbla (LW),RIT (Rochester Inst. of Tech.),12,2,2,4,0.33,4,5
1006,Andrew Dumaresque (C),College of the Holy Cross,14,2,2,4,0.29,6,-2
1007,Emil Öhrvall (LW),University of Michigan,15,2,2,4,0.27,2,1
1008,Kevin Obssuth (LW),Canisius College,18,2,2,4,0.22,14,-3
1009,Brett Jewell (RW),Yale University,20,2,2,4,0.20,38,1
1010,Christian Mohs (F),Miami University (Ohio),21,2,2,4,0.19,4,-4
1011,Reid Yochim (D),Princeton University,22,2,2,4,0.18,18,-5
1012,Nathan Plessis (F),Brown University,22,2,2,4,0.18,40,-8
1013,Jake Nielsen (F),St. Lawrence University,23,2,2,4,0.17,4,-3
1014,Gvido Jansons (D),Arizona State University,23,2,2,4,0.17,16,3
1015,Filip Fornåå Svensson (C/RW),University of Alaska-Fairbanks,24,2,2,4,0.17,4,-2
1016,Grant Frederic (D),Miami University (Ohio),27,2,2,4,0.15,6,-4
1017,Austin O'Rourke (F),UMass-Lowell,27,2,2,4,0.15,18,4
1018,Noah Prokop (C),University of Nebraska-Omaha,27,2,2,4,0.15,35,-5
1019,Marcus Mitchell (RW),University of Alaska-Anchorage,30,2,2,4,0.13,39,-4
1020,Hugo Esselin (C),Merrimack College,31,2,2,4,0.13,8,-4
1021,Markuss Komuls (D),University of Alaska-Fairbanks,35,2,2,4,0.11,10,7
1022,Bryan Basilico (LW),Lake Superior State University,39,2,2,4,0.10,18,-3
1023,Patrick Kramer (C),Merrimack College,9,1,3,4,0.44,18,-3
1024,Connor Marshall (F),Brown University,11,1,3,4,0.36,0,3
1025,Will Schlagenhauf (F),Bentley University,16,1,3,4,0.25,0,4
1026,Ben Allen (LW),University of Alabama-Huntsville,16,1,3,4,0.25,4,-2
1027,Wyatt Aamodt (D),Minnesota State University (Mankato),18,1,3,4,0.22,12,12
1028,Jack Doremus (C/W),University of Denver,19,1,3,4,0.21,6,3
1029,Rory Herrman (F),RPI (Rensselaer Polytech. Inst.),21,1,3,4,0.19,6,0
1030,Mason Klee (D),RPI (Rensselaer Polytech. Inst.),21,1,3,4,0.19,6,1
1031,Carter Ekberg (D),Air Force Academy,21,1,3,4,0.19,14,-4
1032,Ryan Sandelin (RW/C),Minnesota State University (Mankato),22,1,3,4,0.18,4,4
1033,Desi Burgart (F),Quinnipiac University,22,1,3,4,0.18,19,-2
1034,Dallas Comeau (W/C),University of Vermont,23,1,3,4,0.17,22,-7
1035,Jamie Armstrong (LW/RW),Boston University,23,1,3,4,0.17,25,0
1036,Ben Lown (C),Miami University (Ohio),26,1,3,4,0.15,2,-10
1037,Patrick O'Leary (D),College of the Holy Cross,26,1,3,4,0.15,6,2
1038,Jayden Lee (D),Quinnipiac University,27,1,3,4,0.15,0,3
1039,Clark Kuster (D),St. Cloud State University,27,1,3,4,0.15,25,4
1040,Sebastian Dirven (D),Cornell University,28,1,3,4,0.14,18,10
1041,Matthew Steeves (F),University of Notre Dame,29,1,3,4,0.14,6,0
1042,Samuli Niinisaari (D),Brown University,29,1,3,4,0.14,10,-10
1043,Derek Hamelin (D),Canisius College,29,1,3,4,0.14,12,-4
1044,Marcus Joseph (D),Sacred Heart University,31,1,3,4,0.13,16,3
1045,Lucas Bahn (D),University of Alabama-Huntsville,31,1,3,4,0.13,18,-15
1046,Grayson Constable (F),College of the Holy Cross,33,1,3,4,0.12,10,-4
1047,Craig Needham (C),Providence College,34,1,3,4,0.12,2,-10
1048,Riley Hughes (RW),Northeastern University,34,1,3,4,0.12,25,-8
1049,Sam McCormick (RW),Ohio State University,36,1,3,4,0.11,6,-11
1050,Rylan Yaremko (D/RW),Northern Michigan University,36,1,3,4,0.11,26,0
1051,Nolan Schaeffer (D),Robert Morris University,36,1,3,4,0.11,37,8
1052,Brendan Harris (C/LW),Bemidji State University,11,0,4,4,0.36,15,1
1053,Zach Yon (LW),University of North Dakota,16,0,4,4,0.25,0,2
1054,Philip Alftberg (D),St. Lawrence University,18,0,4,4,0.22,12,-10
1055,Joey Marooney (RW),University of Minnesota,20,0,4,4,0.20,8,0
1056,Travis Kothenbeutel (F),University of Nebraska-Omaha,21,0,4,4,0.19,4,0
1057,Matt Foley (D),Yale University,21,0,4,4,0.19,4,-4
1058,Jamie Collins (F),Clarkson University,24,0,4,4,0.17,4,2
1059,Brock Paul (D),Dartmouth College,24,0,4,4,0.17,20,0
1060,Jacob Kauppila (LW),Bentley University,25,0,4,4,0.16,31,-1
1061,Andrew Sinard (D),Miami University (Ohio),27,0,4,4,0.15,14,-1
1062,Ryan Wheeler (D/F),University of Connecticut,28,0,4,4,0.14,6,10
1063,Drayson Pears (D),University of Alaska-Anchorage,28,0,4,4,0.14,6,-15
1064,Scott Corbett (C),Miami University (Ohio),29,0,4,4,0.14,16,-16
1065,Dom Garcia (F),Arizona State University,29,0,4,4,0.14,18,2
1066,Kyle Looft (D),Bemidji State University,33,0,4,4,0.12,4,13
1067,Patrick Cozzi (RW),Colorado College,34,0,4,4,0.12,6,-7
1068,Anthony Stark (D),Colgate University,34,0,4,4,0.12,8,-5
1069,Alex Vlasic (D),Boston University,34,0,4,4,0.12,10,-5
1070,Michael Karow (D),Boston College,34,0,4,4,0.12,12,10
1071,Max Coyle (D),University of Alabama-Huntsville,34,0,4,4,0.12,42,-22
1072,Griffin Luce (D),University of Michigan,35,0,4,4,0.11,25,4
1073,Adam Goodsir (F),Michigan State University,36,0,4,4,0.11,16,-2
1074,Sam Morton (C/LW),Union College,13,2,1,3,0.23,2,-7
1075,Chris Van Os-Shaw (LW),Minnesota State University (Mankato),15,2,1,3,0.20,21,7
1076,Ryan Mahshie (F),RPI (Rensselaer Polytech. Inst.),16,2,1,3,0.19,4,-4
1077,Erkka Vänskä (F),College of the Holy Cross,17,2,1,3,0.18,2,1
1078,Jamie Engelbert (C),Providence College,19,2,1,3,0.16,29,-1
1079,Alex Stevens (D),Penn State University,20,2,1,3,0.15,12,-2
1080,Logan Coomes (LW),University of Alaska-Fairbanks,23,2,1,3,0.13,8,-2
1081,Callum Cusinato (C/LW),St. Lawrence University,23,2,1,3,0.13,12,-5
1082,Carter Johnson (C),Miami University (Ohio),23,2,1,3,0.13,19,-5
1083,Corey Renwick (F),University of Alaska-Anchorage,24,2,1,3,0.13,4,-7
1084,Griff Jeszka (F),Merrimack College,25,2,1,3,0.12,6,-9
1085,Ethan Roswell (D),Bentley University,26,2,1,3,0.12,4,3
1086,John Schuldt (D),University of Nebraska-Omaha,26,2,1,3,0.12,33,1
1087,Harrison Markell (D),Dartmouth College,27,2,1,3,0.11,2,-10
1088,Matt Jennings (C),Ohio State University,29,2,1,3,0.10,0,-3
1089,Matt Riggleman (F),Bentley University,29,2,1,3,0.10,14,-10
1090,Cade Townend (D),Mercyhurst University,31,2,1,3,0.10,8,-27
1091,Spenser Young (D),Providence College,32,2,1,3,0.09,26,-6
1092,Charlie Raith (D),University of Notre Dame,36,2,1,3,0.08,19,5
1093,Cam Burke (C),University of Notre Dame,36,2,1,3,0.08,23,-3
1094,Michael Gildon (C/LW),Ohio State University,8,1,2,3,0.38,2,-3
1095,Kevin Hock (F),University of Maine,11,1,2,3,0.27,2,2
1096,Evan Tschumi (C/W),Colgate University,13,1,2,3,0.23,12,3
1097,Blake Wells (F),UMass-Lowell,14,1,2,3,0.21,12,2
1098,Oskar Andrén (RW),Ferris State University,16,1,2,3,0.19,21,-8
1099,Cameron Hebert (RW),Robert Morris University,18,1,2,3,0.17,4,-5
1100,Ryan Nolan (F),Merrimack College,18,1,2,3,0.17,6,-4
1101,Andrew Kruse (D),Air Force Academy,18,1,2,3,0.17,10,6
1102,Zach Tupker (C),Cornell University,20,1,2,3,0.15,2,7
1103,Hayden Rowan (LW),Yale University,20,1,2,3,0.15,8,-6
1104,Jeremy Davidson (RW),UMass,22,1,2,3,0.14,6,-1
1105,Corey Moriarty (D),University of Vermont,22,1,2,3,0.14,10,-4
1106,Frédéric Grégoire (F),Harvard University,22,1,2,3,0.14,16,-6
1107,Simon Boyko (RW),University of Vermont,23,1,2,3,0.13,2,-3
1108,Kevin Lombardi (RW/LW),Sacred Heart University,24,1,2,3,0.13,4,-7
1109,Brenden Datema (D),Michigan Tech,24,1,2,3,0.13,18,1
1110,Alec Capstick (D),Miami University (Ohio),26,1,2,3,0.12,2,-16
1111,Troy Van Tetering (LW),University of Alaska-Fairbanks,27,1,2,3,0.11,4,-3
1112,Chase Gamelin (F),Lake Superior State University,29,1,2,3,0.10,4,-5
1113,Charlie Barrow (D),College of the Holy Cross,30,1,2,3,0.10,10,-10
1114,Gianfranco Cassaro (D),UMass,30,1,2,3,0.10,12,0
1115,Cameron Spicer (D),University of Maine,30,1,2,3,0.10,16,5
1116,Brock Caufield (RW),University of Wisconsin,31,1,2,3,0.10,0,-3
1117,Chad Sasaki (D),Colorado College,31,1,2,3,0.10,6,-11
1118,David Baskerville (C),Canisius College,31,1,2,3,0.10,8,-6
1119,Chandler Lindstrand (D),Yale University,32,1,2,3,0.09,16,-5
1120,Carter Long (D),University of Vermont,33,1,2,3,0.09,27,-10
1121,Jack Quinlivan (F),University of Maine,34,1,2,3,0.09,16,0
1122,Taylor Brierley (D),Union College,35,1,2,3,0.09,8,-11
1123,Chris Lipe (D),Michigan Tech,36,1,2,3,0.08,12,3
1124,Pierce Crawford (F),University of Notre Dame,37,1,2,3,0.08,16,-5
1125,Nick Bowman (F),RPI (Rensselaer Polytech. Inst.),10,0,3,3,0.30,0,-1
1126,Shane Bear (D),RPI (Rensselaer Polytech. Inst.),15,0,3,3,0.20,2,-4
1127,Garrett Pyke (D),University of Alaska-Fairbanks,15,0,3,3,0.20,8,2
1128,Brandon Tabakin (D),Yale University,17,0,3,3,0.18,0,-5
1129,Marshal Plunkett (D),Army (U.S. Military Academy),17,0,3,3,0.18,0,-2
1130,Jason Brancheau (F),Ferris State University,18,0,3,3,0.17,2,-8
1131,Ross Craig (D),Colgate University,21,0,3,3,0.14,14,5
1132,Scott Persson (D),Niagara University,22,0,3,3,0.14,6,-6
1133,Hunter Toale (D),Bentley University,22,0,3,3,0.14,20,2
1134,C.J. Regula (D),Ohio State University,23,0,3,3,0.13,0,-2
1135,Cody Haiskanen (D),Cornell University,23,0,3,3,0.13,4,3
1136,Peyton Reeves (LW),UMass,23,0,3,3,0.13,6,0
1137,Nolan Sawchuk (D),UMass-Lowell,23,0,3,3,0.13,8,-1
1138,Scooter Brickey (D),Western Michigan University,24,0,3,3,0.13,8,-3
1139,Ashton Stockie (C),Mercyhurst University,25,0,3,3,0.12,4,-16
1140,Jacob Modry (D),Merrimack College,26,0,3,3,0.12,6,-15
1141,Ben Mirageas (D),Providence College,26,0,3,3,0.12,14,5
1142,Michael Laidley (LW),St. Lawrence University,28,0,3,3,0.11,16,-7
1143,Jordan Wishman (D),Niagara University,29,0,3,3,0.10,20,1
1144,Jesse Jacques (F),University of Minnesota-Duluth,29,0,3,3,0.10,21,-5
1145,Lucas Herrmann (F),University of New Hampshire,30,0,3,3,0.10,8,-2
1146,Dorian Dawson (D),Brown University,30,0,3,3,0.10,8,-6
1147,Carmine Buono (D),University of Alaska-Anchorage,30,0,3,3,0.10,15,-6
1148,Colin Doyle (C),University of Alaska-Fairbanks,30,0,3,3,0.10,23,-7
1149,Jarod Hilderman (D),University of Minnesota-Duluth,32,0,3,3,0.09,14,4
1150,Adam Karashik (D),University of Connecticut,33,0,3,3,0.09,18,-7
1151,Alex Brink (C),Boston University,34,0,3,3,0.09,29,-10
1152,Christian Krygier (D),Michigan State University,35,0,3,3,0.09,48,0
1153,Ben Brinkman (D),University of Minnesota,36,0,3,3,0.08,8,-3
1154,Layton Ahac (D),Ohio State University,36,0,3,3,0.08,25,10
1155,Marcel Godbout (C/RW),Sacred Heart University,5,2,0,2,0.40,0,2
1156,Liam Motley (F),Cornell University,5,2,0,2,0.40,0,2
1157,Benjamin Tupker (LW),Cornell University,8,2,0,2,0.25,2,2
1158,Ted McGeen (LW),St. Lawrence University,10,2,0,2,0.20,2,-2
1159,Ryan Blankemeier (C),Dartmouth College,13,2,0,2,0.15,0,0
1160,Cullen Munson (C),University of Minnesota,16,2,0,2,0.13,2,-1
1161,Frank Boie (D),College of the Holy Cross,19,2,0,2,0.11,4,7
1162,Reed Robinson (F),Niagara University,24,2,0,2,0.08,2,-2
1163,Patrick Smyth (F),Army (U.S. Military Academy),28,2,0,2,0.07,6,-10
1164,J.D. Pogue (LW),Canisius College,36,2,0,2,0.06,37,-8
1165,Jere Astrén (D),Clarkson University,7,1,1,2,0.29,16,0
1166,Sean Rappleyea (D),University of Alabama-Huntsville,9,1,1,2,0.22,0,-2
1167,Drake Glover (C),University of Alaska-Anchorage,10,1,1,2,0.20,0,-1
1168,Samuel Solenský (C/RW),Bemidji State University,10,1,1,2,0.20,2,1
1169,Brandon Puricelli (RW),University of Minnesota-Duluth,12,1,1,2,0.17,4,0
1170,Riley McCutcheon (F),University of Vermont,12,1,1,2,0.17,6,1
1171,Jakub Lacka (LW),RPI (Rensselaer Polytech. Inst.),12,1,1,2,0.17,12,-1
1172,Joe Winkelmann (C),Bentley University,13,1,1,2,0.15,2,0
1173,Bennett Norlin (F),Air Force Academy,14,1,1,2,0.14,2,-5
1174,Max Sauvé (F),Penn State University,14,1,1,2,0.14,4,-2
1175,Tucker DeYoung (F),Army (U.S. Military Academy),16,1,1,2,0.13,2,-7
1176,Kevin Dineen (F),Army (U.S. Military Academy),16,1,1,2,0.13,6,-1
1177,Adrian Danchenko (F),University of Alabama-Huntsville,16,1,1,2,0.13,8,-4
1178,Will Scherer (D),Canisius College,16,1,1,2,0.13,20,-8
1179,Bobby Young (C),College of the Holy Cross,18,1,1,2,0.11,8,-3
1180,Joe Cipollone (C),University of New Hampshire,19,1,1,2,0.11,6,1
1181,Alec Mahalak (D),Miami University (Ohio),21,1,1,2,0.10,6,-12
1182,Collin Peters (F),Ohio State University,22,1,1,2,0.09,16,-6
1183,Mick Messner (LW),University of Wisconsin,23,1,1,2,0.09,12,-5
1184,Brody Valette (D),RIT (Rochester Inst. of Tech.),23,1,1,2,0.09,31,4
1185,Justin Fregona (RW),University of New Hampshire,24,1,1,2,0.08,6,-1
1186,Joe Sacco (RW),University of New Hampshire,27,1,1,2,0.07,4,-3
1187,Matt Thomson (LW),Northeastern University,29,1,1,2,0.07,4,-4
1188,Pierce Pluemer (LW),Air Force Academy,30,1,1,2,0.07,10,-2
1189,Logan Britt (D),Quinnipiac University,30,1,1,2,0.07,10,-2
1190,T.J. Friedmann (W/C),Quinnipiac University,32,1,1,2,0.06,2,-12
1191,Michael Ryan (D),Union College,32,1,1,2,0.06,12,-12
1192,Austin Kamer (RW),Michigan State University,34,1,1,2,0.06,2,-3
1193,Dominic Lutz (W),Ferris State University,34,1,1,2,0.06,34,-6
1194,Steenn Pasichnuk (RW),Arizona State University,35,1,1,2,0.06,29,-10
1195,Quinn Wichers (D),Mercyhurst University,36,1,1,2,0.06,20,-21
1196,Arvid Henrikson (D),Lake Superior State University,37,1,1,2,0.05,48,2
1197,Merritt Oszytko (F),RIT (Rochester Inst. of Tech.),4,0,2,2,0.50,0,2
1198,Erik Middendorf (LW),Colorado College,6,0,2,2,0.33,4,1
1199,Quinton Ong (RW),Yale University,8,0,2,2,0.25,2,-3
1200,Logan Milliken (D),College of the Holy Cross,8,0,2,2,0.25,4,1
1201,Jordan Muzzillo (D),University of Alaska-Fairbanks,8,0,2,2,0.25,4,3
1202,Christian Simeone (F),Merrimack College,9,0,2,2,0.22,0,0
1203,Bradley Stonnell (D),Robert Morris University,10,0,2,2,0.20,8,1
1204,Jake Witkowski (F),Boston University,11,0,2,2,0.18,2,1
1205,Kyler Kupka (F),St. Cloud State University,12,0,2,2,0.17,0,0
1206,Derek Contessa (RW),Sacred Heart University,12,0,2,2,0.17,2,2
1207,Lucas Breault (C),Union College,12,0,2,2,0.17,6,-7
1208,Jason Pineo (C),Niagara University,12,0,2,2,0.17,8,1
1209,Dan Petrick (D),Sacred Heart University,14,0,2,2,0.14,4,1
1210,Joe Cassetti (C/LW),Merrimack College,14,0,2,2,0.14,14,-6
1211,Thomas Rocco (F),St. Cloud State University,15,0,2,2,0.13,2,-1
1212,McKay Flanagan (D),Colorado College,16,0,2,2,0.13,2,-2
1213,Dalton Weigel (D),Air Force Academy,16,0,2,2,0.13,6,-6
1214,Adam Robbins (F),Princeton University,18,0,2,2,0.11,2,-9
1215,Tyler Love (D),Robert Morris University,18,0,2,2,0.11,17,-5
1216,Jordan Timmons (F),University of Connecticut,19,0,2,2,0.11,4,-4
1217,Kendrick Frost (LW),Army (U.S. Military Academy),19,0,2,2,0.11,4,0
1218,Erich Fear (D),University of Denver,20,0,2,2,0.10,4,1
1219,Jake Crespi (D),Michigan Tech,20,0,2,2,0.10,14,-2
1220,Brendan Schneider (C),Mercyhurst University,21,0,2,2,0.10,8,-9
1221,Drew Lennon (D),University of Alabama-Huntsville,22,0,2,2,0.09,10,-6
1222,Alec Semandel (D),Lake Superior State University,22,0,2,2,0.09,12,1
1223,Michael Bevilacqua (D),Mercyhurst University,23,0,2,2,0.09,4,-13
1224,Max Finner (D),Ferris State University,23,0,2,2,0.09,25,-3
1225,Jeffrey Stewart (LW),Colgate University,24,0,2,2,0.08,0,-2
1226,Troy Robillard (D),University of Alaska-Anchorage,24,0,2,2,0.08,18,-8
1227,Tanner Vescio (D),Northern Michigan University,25,0,2,2,0.08,6,-1
1228,Nick Seitz (F),Princeton University,25,0,2,2,0.08,6,-7
1229,C.J. McGee (D),Quinnipiac University,25,0,2,2,0.08,8,4
1230,Matthew O'Donnell (D),University of Vermont,25,0,2,2,0.08,8,-13
1231,Casey Jerry (F),Canisius College,25,0,2,2,0.08,33,-8
1232,Brian Hawkinson (RW),Miami University (Ohio),26,0,2,2,0.08,10,-5
1233,Tyler Jubenvill (D),Bemidji State University,27,0,2,2,0.07,6,-1
1234,Peyton Francis (C),University of Alabama-Huntsville,29,0,2,2,0.07,2,-14
1235,Dominick Mersch (C),University of Wisconsin,30,0,2,2,0.07,10,-7
1236,Owen Grant (D),University of Vermont,30,0,2,2,0.07,30,-13
1237,Liam Watson-Brawn (D),Colgate University,32,0,2,2,0.06,37,-5
1238,Bailey Newton (D),University of Alabama-Huntsville,33,0,2,2,0.06,32,-14
1239,Matt Anderson (D),University of Minnesota-Duluth,34,0,2,2,0.06,14,-7
1240,Michael Underwood (D),Clarkson University,34,0,2,2,0.06,28,10
1241,Nolan Nicholas (D),University of Alaska-Anchorage,36,0,2,2,0.06,12,-9
1242,Chaz Switzer (D),Miami University (Ohio),4,1,0,1,0.25,4,-1
1243,Nick Leitner (D),Bemidji State University,5,1,0,1,0.20,2,3
1244,Jan Stefka (F),American International College,7,1,0,1,0.14,2,-2
1245,Hunter Johannes (LW),American International College,7,1,0,1,0.14,2,2
1246,Max Ellis (RW),University of Notre Dame,8,1,0,1,0.13,4,-1
1247,Josh Rieger (D),University of North Dakota,9,1,0,1,0.11,6,0
1248,Solag Bakich (F),University of Notre Dame,10,1,0,1,0.10,2,2
1249,Nicolas Mucci (F),Niagara University,11,1,0,1,0.09,8,1
1250,Niko Esposito-Selivanov (C),Lake Superior State University,13,1,0,1,0.08,6,-1
1251,Sami Pharaon (D),Princeton University,14,1,0,1,0.07,2,-5
1252,Michael Young (D),Yale University,15,1,0,1,0.07,2,1
1253,Casey Johnson (D),University of North Dakota,16,1,0,1,0.06,2,0
1254,Darby Gula (D),Bemidji State University,17,1,0,1,0.06,2,4
1255,Brenden Rons (D),Ferris State University,20,1,0,1,0.05,4,-13
1256,Dante Spagnuolo (C),Mercyhurst University,20,1,0,1,0.05,6,-15
1257,Kamil Sadlocha (C),Ohio State University,21,1,0,1,0.05,4,-3
1258,Matthew Kellenberger (D),Princeton University,22,1,0,1,0.05,14,-7
1259,John Laurito (F),Army (U.S. Military Academy),23,1,0,1,0.04,12,-2
1260,Brady Smith (D),Colorado College,24,1,0,1,0.04,4,-10
1261,Clayton Han (D),Dartmouth College,24,1,0,1,0.04,4,-5
1262,Teddy Wooding (F),Yale University,25,1,0,1,0.04,4,-10
1263,Cory Thomas (D),University of Vermont,27,1,0,1,0.04,8,-11
