ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
646,Garrett Van Wyhe (C),University of Michigan,36,3,7,10,0.28,35,3
647,Gavin Hain (C/LW),University of North Dakota,28,2,8,10,0.36,13,3
648,Todd Goehring (F),Sacred Heart University,30,2,8,10,0.33,19,5
649,Ethan Phillips (C/RW),Boston University,31,2,8,10,0.32,8,-2
650,Carter Berger (D),University of Connecticut,31,2,8,10,0.32,14,4
651,Taylor Lantz (C),University of Alaska-Anchorage,31,2,8,10,0.32,26,-3
652,Jake Stevens (D),St. Lawrence University,33,2,8,10,0.30,22,-21
653,Jared Nash (C),University of Alaska-Anchorage,33,2,8,10,0.30,38,-8
654,Kris Myllari (D),Penn State University,34,2,8,10,0.29,10,0
655,Veli-Matti Tiuraniemi (D),University of Maine,34,2,8,10,0.29,10,-6
656,Luke McInnis (D),Boston College,34,2,8,10,0.29,41,12
657,Tony Stillwell (D),Brown University,23,1,9,10,0.43,8,-5
658,Brendan Demler (D),Dartmouth College,31,1,9,10,0.32,17,1
659,Thomas Farrell (D),Army (U.S. Military Academy),32,1,9,10,0.31,8,3
660,J.D. Greenway (F/D),University of Maine,34,1,9,10,0.29,61,5
661,Andrew Peski (D),University of North Dakota,35,1,9,10,0.29,12,17
662,Nick Austin (D),Colgate University,22,0,10,10,0.45,22,4
663,Nick Wolff (D),University of Minnesota-Duluth,33,0,10,10,0.30,42,18
664,Jake Joffe (RW),RIT (Rochester Inst. of Tech.),24,7,2,9,0.38,6,7
665,Zachary Okabe (RW),St. Cloud State University,30,7,2,9,0.30,10,-6
666,Jason Polin (RW),Western Michigan University,31,7,2,9,0.29,8,6
667,Colin Saccoman (D),Lake Superior State University,17,6,3,9,0.53,23,-4
668,Cal Kiefiuk (F),UMass,30,6,3,9,0.30,10,4
669,John Snodgrass (C),Colgate University,35,6,3,9,0.26,4,-5
670,Arnaud Vachon (C),Colgate University,36,6,3,9,0.25,18,-6
671,Daneel Lategan (F),University of Alabama-Huntsville,30,5,4,9,0.30,18,-5
672,Zachary Emelifeonwu (LW),Union College,35,5,4,9,0.26,61,-5
673,Trey deGraaf (F),University of Alaska-Anchorage,36,5,4,9,0.25,10,-11
674,Mark Gallant (F),Dartmouth College,26,4,5,9,0.35,6,-9
675,Cameron Crotty (D),Boston University,30,4,5,9,0.30,26,-1
676,Paul Maust (LW),Mercyhurst University,30,4,5,9,0.30,45,-13
677,Luke Krys (D),Brown University,31,4,5,9,0.29,26,-17
678,Jack Clement (D),Miami University (Ohio),33,4,5,9,0.27,20,-5
679,Vladislav Dzhioshvili (C),University of Vermont,33,4,5,9,0.27,69,-2
680,Logan Ganie (LW),Michigan Tech,34,4,5,9,0.26,8,5
681,A.J. Drobot (RW),University of Maine,34,4,5,9,0.26,14,-1
682,Troy Conzo (F),Colorado College,23,3,6,9,0.39,6,-6
