ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Cole Caufield (LW/RW),University of Wisconsin,31,30,22,52,1.68,4,9
2,Odeen Tufto (C),Quinnipiac University,29,8,39,47,1.62,22,8
3,Linus Weissbach (LW),University of Wisconsin,31,12,29,41,1.32,12,7
4,Jordan Kawaguchi (C),University of North Dakota,28,10,26,36,1.29,24,19
5,Dylan Holloway (W/C),University of Wisconsin,23,11,24,35,1.52,19,10
6,Collin Adams (LW/C),University of North Dakota,29,14,20,34,1.17,10,22
7,Bobby Trivigno (LW),UMass,29,11,23,34,1.17,12,21
8,Brandon Kruse (LW),Bowling Green State University,31,11,23,34,1.10,26,29
9,Joseph Nardi (C/LW),Northern Michigan University,29,12,21,33,1.14,0,1
10,Shane Pinto (C),University of North Dakota,28,15,17,32,1.14,4,19
11,Alex Steeves (LW/C),University of Notre Dame,29,15,17,32,1.10,8,2
12,Sampo Ranta (LW/RW),University of Minnesota,31,19,12,31,1.00,10,19
13,Ty Pelton-Byce (F),University of Wisconsin,24,12,19,31,1.29,2,7
14,Matt Boldy (LW/RW),Boston College,22,11,20,31,1.41,4,15
15,Thomas Bordeleau (C/LW),University of Michigan,24,8,22,30,1.25,12,18
16,Ashton Calder (F),Lake Superior State University,29,16,13,29,1.00,20,17
17,Jonny Evans (F),University of Connecticut,23,14,15,29,1.26,12,8
18,Ethan De Jong (RW/LW),Quinnipiac University,29,14,15,29,1.00,22,6
19,Sammy Walker (C/RW),University of Minnesota,31,13,16,29,0.94,12,14
20,Cameron Wright (RW),Bowling Green State University,31,13,16,29,0.94,32,26
21,Connor Ford (C),Bowling Green State University,31,16,12,28,0.90,10,4
22,Nick Swaney (RW),University of Minnesota-Duluth,28,13,15,28,1.00,10,5
23,Blake McLaughlin (LW/C),University of Minnesota,31,12,16,28,0.90,8,9
24,Ben Meyers (C/LW),University of Minnesota,31,12,16,28,0.90,12,15
25,Scott Reedy (C),University of Minnesota,28,11,17,28,1.00,6,20
26,Andre Ghantous (RW/LW),Northern Michigan University,25,10,18,28,1.12,16,1
27,Julian Napravnik (RW),Minnesota State University (Mankato),27,10,18,28,1.04,4,15
28,A.J. Vanderbeck (RW),Northern Michigan University,29,14,13,27,0.93,22,0
29,Pierre-Luc Veillette (C),Lake Superior State University,29,13,14,27,0.93,4,22
30,Jackson Cates (C/LW),University of Minnesota-Duluth,28,11,16,27,0.96,4,8
31,Kent Johnson (LW/C),University of Michigan,26,9,18,27,1.04,4,16
32,Oliver Chau (C),UMass,29,5,22,27,0.93,4,9
33,Zach Metsa (D),Quinnipiac University,29,5,21,26,0.90,8,7
34,Colin Bilek (RW),Army (U.S. Military Academy),22,18,7,25,1.14,20,12
35,Will Calverley (C),RIT (Rochester Inst. of Tech.),18,12,13,25,1.39,4,2
36,Trenton Bliss (LW/C),Michigan Tech,29,12,13,25,0.86,27,-2
37,Randy Hernández (RW),Robert Morris University,24,11,14,25,1.04,2,0
38,Tyce Thompson (RW/C),Providence College,25,11,14,25,1.00,16,-2
39,Jackson Pierson (C),University of New Hampshire,23,9,16,25,1.09,4,0
40,Brannon McManus (C/RW),University of Minnesota,27,9,16,25,0.93,0,11
