ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
41,Nathan Smith (C),Minnesota State University (Mankato),28,9,16,25,0.89,16,7
42,Nick Prkusic (F),Robert Morris University,24,7,18,25,1.04,12,4
43,Graham Slaggert (C/LW),University of Notre Dame,27,7,18,25,0.93,10,4
44,Will Cullen (D),Bowling Green State University,28,6,19,25,0.89,54,20
45,Carson Gicewicz (C),UMass,28,17,7,24,0.86,37,8
46,Jasper Weatherby (C/LW),University of North Dakota,29,14,10,24,0.83,8,7
47,Zach Solow (C/RW),Northeastern University,21,11,13,24,1.14,30,1
48,Veeti Miettinen (RW),St. Cloud State University,31,11,13,24,0.77,0,5
49,Matty Beniers (C),University of Michigan,24,10,14,24,1.00,0,21
50,Marc McLaughlin (C/RW),Boston College,24,10,14,24,1.00,6,16
51,Max Johnson (C),Bowling Green State University,27,10,14,24,0.89,8,14
52,Nolan Walker (C),St. Cloud State University,31,10,14,24,0.77,8,3
53,Cade Borchardt (F),Minnesota State University (Mankato),28,9,15,24,0.86,10,14
54,Zac Jones (D),UMass,29,9,15,24,0.83,8,17
55,Alex Ierullo (LW),Bemidji State University,29,7,17,24,0.83,18,4
56,Cole Koepke (LW/RW/RW),University of Minnesota-Duluth,28,15,8,23,0.82,22,3
57,Kobe Roth (F),University of Minnesota-Duluth,28,13,10,23,0.82,2,10
58,Jami Krannila (C),St. Cloud State University,31,11,12,23,0.74,18,8
59,Matt Kessel (D),UMass,29,10,13,23,0.79,16,15
60,Chayse Primeau (W/C),University of Nebraska-Omaha,26,9,14,23,0.88,4,2
61,Josh Lopina (C/RW),UMass,29,9,14,23,0.79,12,20
62,Brendan Harris (C/LW),Bemidji State University,29,9,14,23,0.79,17,0
63,Alex Barber (F),Bowling Green State University,31,9,14,23,0.74,35,10
64,Grant Hebert (C),Robert Morris University,24,8,15,23,0.96,18,6
65,Tyler Weiss (LW/C),University of Nebraska-Omaha,26,7,16,23,0.88,36,10
66,Nick Perbix (D),St. Cloud State University,31,7,16,23,0.74,16,8
67,Drew Worrad (C),Western Michigan University,25,5,18,23,0.92,8,0
68,Taylor Ward (RW),University of Nebraska-Omaha,26,13,9,22,0.85,20,2
69,Alex Limoges (LW/C),Penn State University,22,10,12,22,1.00,2,-7
70,Elijah Gonsalves (RW/C),RIT (Rochester Inst. of Tech.),20,9,13,22,1.10,22,-7
71,Roman Ahcan (LW/C),University of Wisconsin,26,9,13,22,0.85,43,7
72,Cole Guttman (C/RW),University of Denver,23,8,14,22,0.96,12,-2
73,Ronnie Attard (D),Western Michigan University,25,8,14,22,0.88,8,-3
74,Landon Slaggert (LW/C),University of Notre Dame,25,8,14,22,0.88,10,-1
75,Zachary Okabe (RW),St. Cloud State University,30,6,16,22,0.73,12,6
76,Jáchym Kondelík (C/W),University of Connecticut,23,4,18,22,0.96,6,0
77,Matt Kiersted (D),University of North Dakota,29,3,19,22,0.76,28,15
78,Ty Smilanic (C),Quinnipiac University,29,14,7,21,0.72,10,0
79,Ethen Frank (RW/C),Western Michigan University,24,13,8,21,0.88,4,-2
80,Alec Broetzman (LW),Michigan Tech,30,13,8,21,0.70,16,-1
81,Riese Gaber (RW/LW),University of North Dakota,29,11,10,21,0.72,41,8
82,Brendan Brisson (LW/RW),University of Michigan,24,10,11,21,0.88,18,10
83,Reggie Lutz (RW),Minnesota State University (Mankato),25,10,11,21,0.84,33,8
84,Paul Washe (C),Western Michigan University,25,8,13,21,0.84,18,7
85,Jake Hamacher (LW),RIT (Rochester Inst. of Tech.),20,7,14,21,1.05,4,-9
86,Jackson LaCombe (D),University of Minnesota,27,4,17,21,0.78,8,19
87,Ethan Somoza (LW),Bemidji State University,29,15,5,20,0.69,14,3
88,Carter Savoie (LW),University of Denver,24,13,7,20,0.83,23,0
89,Aidan McDonough (LW/RW),Northeastern University,21,10,10,20,0.95,4,-3
90,Travis Treloar (C),Ohio State University,25,8,12,20,0.80,4,-3
91,Koby Bender (RW/C),University of Minnesota-Duluth,28,7,13,20,0.71,21,13
92,Peter DiLiberatore (D),Quinnipiac University,29,6,14,20,0.69,36,2
93,Cam York (D),University of Michigan,24,4,16,20,0.83,4,13
94,Matt Kopperud (C),Arizona State University,25,13,6,19,0.76,8,-19
95,Grant Mismash (LW/C),University of North Dakota,20,10,9,19,0.95,35,8
96,Mike Hardman (W/C),Boston College,24,10,9,19,0.79,14,5
97,Taylor Schneider (LW),Bowling Green State University,31,10,9,19,0.61,8,9
98,Kevin Conley (LW/C),University of Nebraska-Omaha,25,9,10,19,0.76,39,-9
99,Dallas Gerads (C/LW),Minnesota State University (Mankato),28,9,10,19,0.68,31,12
100,Kevin Wall (RW),Penn State University,22,8,11,19,0.86,4,1
101,Nikita Nesterenko (C/LW),Boston College,24,8,11,19,0.79,18,12
102,Louis Boudon (C),Lake Superior State University,27,8,11,19,0.70,14,12
103,Parker Ford (C/RW),Providence College,25,7,12,19,0.76,14,1
104,Josh Passolt (LW),Western Michigan University,25,7,12,19,0.76,14,-1
105,Jordan Harris (D),Northeastern University,19,6,13,19,1.00,8,-5
106,Nick Jenny (D),Robert Morris University,24,6,13,19,0.79,4,2
107,Jack McBain (C/LW),Boston College,24,6,13,19,0.79,12,14
108,Hampus Eriksson (C/W),Lake Superior State University,29,6,13,19,0.66,16,8
109,Carson Brière (C/RW),Mercyhurst University,21,5,14,19,0.90,10,1
110,Mason Krueger (F),Army (U.S. Military Academy),21,5,14,19,0.90,18,9
111,Mark Cheremeta (LW),Ohio State University,27,5,14,19,0.70,4,-16
112,Noah Cates (LW),University of Minnesota-Duluth,28,5,14,19,0.68,25,6
113,Christopher Theodore (LW),American International College,19,4,15,19,1.00,2,6
114,Easton Brodzinski (RW/LW),St. Cloud State University,29,13,5,18,0.62,46,-1
115,Tobias Fladeby (LW/RW),American International College,16,10,8,18,1.13,0,5
116,Keaton Mastrodonato (RW/C),Canisius College,17,9,9,18,1.06,4,10
117,Angus Crookshank (LW/RW),University of New Hampshire,20,9,9,18,0.90,4,2
118,Kevin Fitzgerald (C),St. Cloud State University,31,9,9,18,0.58,22,2
119,Tim Doherty (C/LW),Penn State University,22,8,10,18,0.82,4,-3
120,Brian Halonen (LW/RW),Michigan Tech,28,8,10,18,0.64,16,6
121,Chris Dodero (C/LW),American International College,19,7,11,18,0.95,16,12
122,Kalle Eriksson (D),University of New Hampshire,23,6,12,18,0.78,2,-12
123,Cole Gallant (C),Western Michigan University,25,5,13,18,0.72,2,3
124,Dan Willett (D),RIT (Rochester Inst. of Tech.),20,4,14,18,0.90,8,-9
125,Zach Tsekos (C),Clarkson University,22,4,14,18,0.82,4,4
126,Jacob Bernard-Docker (D),University of North Dakota,27,3,15,18,0.67,20,17
127,Arvid Caderoth (C/RW),Michigan Tech,30,2,16,18,0.60,12,-3
128,Brennan Kapcheck (D),American International College,19,0,18,18,0.95,10,12
129,Walker Duehr (RW),Minnesota State University (Mankato),28,10,7,17,0.61,26,9
130,Anthony Callin (RW/D),Clarkson University,22,9,8,17,0.77,16,9
131,Garrett Wait (LW),UMass,29,9,8,17,0.59,10,19
132,Coale Norris (LW),Ferris State University,25,8,9,17,0.68,4,-12
133,Sam Hentges (C/LW),St. Cloud State University,29,8,9,17,0.59,14,-1
134,Jakov Novak (LW/C),Bentley University,15,7,10,17,1.13,36,5
135,Brock Caufield (RW),University of Wisconsin,31,7,10,17,0.55,0,-4
136,Eric Butte (F),Army (U.S. Military Academy),22,6,11,17,0.77,16,8
137,Will Riedell (D),Lake Superior State University,29,6,11,17,0.59,18,8
138,Nick Leivermann (D),University of Notre Dame,29,5,12,17,0.59,6,10
139,Alexander Campbell (LW/C),Clarkson University,22,4,13,17,0.77,2,10
140,Owen Lindmark (C/RW),University of Wisconsin,27,4,13,17,0.63,4,2
141,Colin Swoyer (D),Michigan Tech,30,3,14,17,0.57,24,9
142,Brandon Scanlin (D),University of Nebraska-Omaha,24,2,15,17,0.71,14,-5
143,Matt Barry (F),Miami University (Ohio),25,2,15,17,0.68,6,-10
144,Desi Burgart (F),Quinnipiac University,29,10,6,16,0.55,16,8
145,Justin Cole (F),American International College,18,9,7,16,0.89,0,9
146,Jay O'Brien (C),Boston University,16,8,8,16,1.00,8,5
147,Alex Newhook (C/LW),Boston College,12,7,9,16,1.33,8,-1
148,Andre Lee (LW/C),UMass-Lowell,20,7,9,16,0.80,18,7
149,Marc Johnstone (RW/LW),Sacred Heart University,16,6,10,16,1.00,12,-8
150,Braeden Tuck (F),Sacred Heart University,18,6,10,16,0.89,0,-4
151,David Farrance (D),Boston University,11,5,11,16,1.45,4,1
152,Luke Santerno (F),Bentley University,15,5,11,16,1.07,34,3
153,Mitch Machlitt (C),Army (U.S. Military Academy),22,5,11,16,0.73,2,9
154,Max Ellis (RW),University of Notre Dame,24,5,11,16,0.67,8,8
155,Elias Rosén (D),Bemidji State University,25,5,11,16,0.64,10,1
156,Michael Lombardi (C/LW),Quinnipiac University,26,5,11,16,0.62,0,11
157,James Sanchez (LW),Arizona State University,26,5,11,16,0.62,8,-3
158,Nick Bruce (F),RIT (Rochester Inst. of Tech.),18,4,12,16,0.89,14,4
159,Jake Jaremko (LW/C),Minnesota State University (Mankato),28,4,12,16,0.57,2,11
160,Owen Power (D),University of Michigan,26,3,13,16,0.62,6,18
161,Jonathan Bendorf (LW),Mercyhurst University,21,11,4,15,0.71,2,1
162,Owen Sillinger (C/LW),Bemidji State University,20,10,5,15,0.75,14,3
163,Walker Sommer (C),Niagara University,18,8,7,15,0.83,19,3
164,Justin Addamo (C/RW),Robert Morris University,21,8,7,15,0.71,53,0
165,Brandon Puricelli (RW),Lake Superior State University,28,8,7,15,0.54,37,-3
166,Matt Gosiewski (C),Bentley University,16,7,8,15,0.94,2,-3
167,Patrick Grasso (RW),University of New Hampshire,23,7,8,15,0.65,2,-7
168,Colby Ambrosio (C/RW),Boston College,24,7,8,15,0.63,6,9
169,Mitchell Martan (LW),Canisius College,16,6,9,15,0.94,21,8
170,Patrick Moynihan (RW),Providence College,17,6,9,15,0.88,8,6
171,Gunnarwolfe Fontaine (LW/C),Northeastern University,21,6,9,15,0.71,29,-7
172,Connor McMenamin (LW),Penn State University,22,6,9,15,0.68,4,8
173,Greg Printz (LW/RW),Providence College,25,6,9,15,0.60,12,-4
174,Lukas Sillinger (W/C),Bemidji State University,28,6,9,15,0.54,46,-5
175,Griffin Loughran (F),Northern Michigan University,16,5,10,15,0.94,38,8
176,Cameron Buhl (F),St. Lawrence University,17,5,10,15,0.88,19,1
177,Reid Stefanson (C/LW),UMass-Lowell,19,5,10,15,0.79,4,3
178,Dante Sheriff (RW),Mercyhurst University,19,5,10,15,0.79,31,0
179,Tim Theocharidis (D),Bowling Green State University,31,5,10,15,0.48,8,1
180,Jaxon Nelson (C/RW),University of Minnesota,31,5,10,15,0.48,34,9
181,Jack Jacome (RW/LW),Clarkson University,22,4,11,15,0.68,2,0
182,Drew Helleson (D),Boston College,22,4,11,15,0.68,8,23
183,Casey Gilling (C),Miami University (Ohio),23,4,11,15,0.65,16,-9
184,Brendon Michaelian (D),Robert Morris University,24,4,11,15,0.63,8,12
185,Spencer Meier (D),St. Cloud State University,31,4,11,15,0.48,6,9
186,Grant Jozefek (RW),Northeastern University,21,3,12,15,0.71,16,2
187,Jacob Nordqvist (D),Lake Superior State University,29,3,12,15,0.52,10,22
188,Jake Sanderson (D),University of North Dakota,22,2,13,15,0.68,4,20
189,Lukas Kälble (D),Lake Superior State University,27,2,13,15,0.56,16,19
190,Guus van Nes (LW/RW),Quinnipiac University,29,2,13,15,0.52,12,4
191,Akito Hirose (D),Minnesota State University (Mankato),28,1,14,15,0.54,14,18
192,Anthony Romano (C/RW),Clarkson University,22,9,5,14,0.64,10,-1
193,Grant Cooper (LW),Clarkson University,22,8,6,14,0.64,10,7
194,Colin Theisen (C),University of Notre Dame,27,8,6,14,0.52,49,-2
195,Bryce Brodzinski (RW),University of Minnesota,30,8,6,14,0.47,10,6
196,Ludwig Stenlund (C),Niagara University,17,7,7,14,0.82,2,-5
197,Austin Magera (C),Sacred Heart University,17,7,7,14,0.82,10,1
198,Jason Polin (RW),Western Michigan University,23,7,7,14,0.61,4,-5
199,Kobe Walker (RW),RIT (Rochester Inst. of Tech.),17,6,8,14,0.82,4,4
200,Hudson Schandor (C),University of Connecticut,22,6,8,14,0.64,10,2
201,Jake Transit (F),Ferris State University,24,6,8,14,0.58,44,-5
202,Ethan Stewart (F),Ferris State University,25,6,8,14,0.56,2,-1
203,Chris Grando (LW),Arizona State University,25,6,8,14,0.56,6,-1
204,Aaron Miller (F),Bemidji State University,27,6,8,14,0.52,10,4
205,Adam Dawe (RW/C),University of Maine,16,5,9,14,0.88,23,-6
206,Santeri Hartikainen (C/RW),Robert Morris University,21,5,9,14,0.67,6,-8
207,Dylan Jackson (RW),Northeastern University,21,5,9,14,0.67,8,1
208,Thomas Farrell (D),Army (U.S. Military Academy),22,5,9,14,0.64,10,6
209,Nick Poisson (F),Providence College,24,5,9,14,0.58,23,0
210,Todd Burgess (C/W),Minnesota State University (Mankato),25,5,9,14,0.56,6,7
211,Matthew Barbolini (C/LW),Miami University (Ohio),25,5,9,14,0.56,14,-8
212,Miroslav Mucha (RW),Lake Superior State University,29,5,9,14,0.48,4,7
213,Johnny Walker (RW),Arizona State University,16,4,10,14,0.88,21,-4
214,Kohen Olischefski (RW),University of Denver,23,4,10,14,0.61,21,-4
215,Michael Joyaux (D),Western Michigan University,25,4,10,14,0.56,8,-13
216,Jake Livingstone (D),Minnesota State University (Mankato),28,4,10,14,0.50,16,15
217,Michael Callahan (D),Providence College,25,3,11,14,0.56,12,-3
218,Mark Senden (C/LW),University of North Dakota,26,3,11,14,0.54,10,10
219,Marc Del Gaizo (D),UMass,27,3,11,14,0.52,4,21
220,Mike Van Unen (D),Northern Michigan University,29,3,11,14,0.48,47,-17
221,Eric Gotz (D),Michigan Tech,30,3,11,14,0.47,12,-11
222,Eamon Powell (D),Boston College,24,2,12,14,0.58,6,12
223,Ryan Johnson (D),University of Minnesota,27,2,12,14,0.52,12,15
224,John Zimmerman (D),Army (U.S. Military Academy),21,1,13,14,0.67,24,11
225,T.J. Lloyd (D),Bowling Green State University,31,0,14,14,0.45,26,14
226,Carter Turnbull (RW/C),University of Connecticut,23,9,4,13,0.57,10,-7
227,Matt Brown (LW/RW),UMass-Lowell,19,8,5,13,0.68,10,0
228,Matt Miller (RW),University of Nebraska-Omaha,26,8,5,13,0.50,2,-4
229,Elijiah Barriga (C),American International College,16,7,6,13,0.81,6,12
230,Jack Billings (RW),Niagara University,20,7,6,13,0.65,6,-3
231,Aarne Talvitie (C/LW),Penn State University,21,7,6,13,0.62,6,3
232,Josh McKechney (F),Colgate University,22,7,6,13,0.59,12,2
233,Alex Young (C/W),Colgate University,21,6,7,13,0.62,17,-5
234,Nick Lalonde (RW),Robert Morris University,24,6,7,13,0.54,6,4
235,Brock Bremer (LW),University of Nebraska-Omaha,25,6,7,13,0.52,10,-3
236,Quinn Preston (F),Ohio State University,27,6,7,13,0.48,12,-13
237,Mitch Lewandowski (LW),Michigan State University,27,6,7,13,0.48,28,-1
238,Jack Gorniak (LW/C),University of Wisconsin,31,6,7,13,0.42,8,-1
239,Josiah Slavin (LW/RW),Colorado College,22,5,8,13,0.59,4,-5
240,Anthony Firriolo (D),Army (U.S. Military Academy),22,5,8,13,0.59,16,9
241,Jack Randl (LW),University of Nebraska-Omaha,24,5,8,13,0.54,8,0
242,Nick Blankenburg (D),University of Michigan,26,5,8,13,0.50,14,19
243,Brendan Furry (LW/RW),Minnesota State University (Mankato),28,5,8,13,0.46,19,7
244,Jake Gaudet (C),UMass,28,5,8,13,0.46,31,13
245,Filip Forsmark (LW/RW),Merrimack College,18,4,9,13,0.72,16,-4
246,Gueorgui Feduolov (F),Mercyhurst University,21,4,9,13,0.62,16,-1
247,Tyrone Bronte (RW),University of Alabama-Huntsville,22,4,9,13,0.59,8,-7
248,Lincoln Hatten (F),Army (U.S. Military Academy),22,4,9,13,0.59,8,5
249,Ty Emberson (D),University of Wisconsin,31,4,9,13,0.42,6,14
250,Gavin Gould (C/LW),Bowling Green State University,21,3,10,13,0.62,6,7
251,Ryan Naumovski (F),Niagara University,22,3,10,13,0.59,0,0
252,Ryan O'Reilly (W/C),Arizona State University,23,3,10,13,0.57,8,-6
253,Grant Gabriele (D),Ohio State University,27,3,10,13,0.48,0,-26
254,Jason Smallidge (D),University of Nebraska-Omaha,26,2,11,13,0.50,16,6
255,Joey Maziarz (D),Mercyhurst University,20,1,12,13,0.65,8,9
256,Riese Zmolek (D),Minnesota State University (Mankato),24,1,12,13,0.54,27,12
257,Kevin Lombardi (RW/LW),Sacred Heart University,17,8,4,12,0.71,2,3
258,Austin Heidemann (F),Mercyhurst University,16,7,5,12,0.75,9,2
259,Liam Walsh (LW),Merrimack College,17,7,5,12,0.71,10,0
260,Tristan Ashbrook (C/RW),Michigan Tech,20,7,5,12,0.60,0,4
261,Ty Jackson (C),Northeastern University,21,7,5,12,0.57,16,3
262,Eric Ciccolini (RW),University of Michigan,24,7,5,12,0.50,8,11
263,Vincent De Mey (F),Northern Michigan University,26,7,5,12,0.46,16,-14
264,Willie Reim (F),Air Force Academy,14,6,6,12,0.86,10,-8
265,Alden Dupuis (F),RIT (Rochester Inst. of Tech.),19,6,6,12,0.63,2,-7
266,Charles Levesque (C),UMass-Lowell,20,6,6,12,0.60,2,11
267,Daniel Haider (F),Army (U.S. Military Academy),22,6,6,12,0.55,2,8
268,Mathieu Gosselin (RW/LW),Clarkson University,22,6,6,12,0.55,20,14
269,Marc Gatcomb (C/RW),University of Connecticut,23,6,6,12,0.52,14,0
270,Bauer Neudecker (F),University of Alabama-Huntsville,22,5,7,12,0.55,0,-4
271,Brandon Schultz (C/LW),Northern Michigan University,25,5,7,12,0.48,14,6
272,Spencer Stastney (D),University of Notre Dame,29,5,7,12,0.41,6,5
273,David Jankowski (C/RW),St. Lawrence University,15,4,8,12,0.80,0,1
274,Ryan Steele (F),Sacred Heart University,17,4,8,12,0.71,12,-1
275,Derek Daschke (D),Miami University (Ohio),25,4,8,12,0.48,6,-17
276,Sam Craggs (LW),Bowling Green State University,27,4,8,12,0.44,55,3
277,Justin Misiak (C),Michigan Tech,28,4,8,12,0.43,8,0
278,Yuki Miura (C/RW),Lake Superior State University,29,4,8,12,0.41,4,7
279,Vladislav Firstov (LW),University of Connecticut,13,3,9,12,0.92,12,3
280,Patrick Giles (C/RW),Boston College,24,3,9,12,0.50,16,8
281,Tarek Baker (LW),University of Wisconsin,27,3,9,12,0.44,24,6
282,Mike Koster (D),University of Minnesota,31,3,9,12,0.39,2,10
283,Drew Bavaro (D),Bentley University,16,2,10,12,0.75,8,4
284,Jayden Struble (D),Northeastern University,18,2,10,12,0.67,33,-2
285,Dennis Cesana (D),Michigan State University,27,2,10,12,0.44,10,-7
286,Croix Evingson (D),Niagara University,21,1,11,12,0.57,16,-6
287,Ben Mirageas (D),Providence College,25,1,11,12,0.48,20,7
288,Brock Faber (D),University of Minnesota,27,1,11,12,0.44,14,17
289,Aaron Bohlinger (D),UMass,29,1,11,12,0.41,6,4
290,Brian Kramer (D),Robert Morris University,22,0,12,12,0.55,32,1
291,Jordan Timmons (F),Robert Morris University,13,9,2,11,0.85,4,7
292,Evan Dougherty (RW),Bowling Green State University,31,8,3,11,0.35,20,3
293,Kaden Pickering (RW),St. Lawrence University,17,7,4,11,0.65,6,2
294,Ryan Cox (F),Niagara University,22,7,4,11,0.50,18,-7
295,Mitchel Deelstra (LW/C),Ferris State University,25,7,4,11,0.44,18,-12
296,Justin Michaelian (F),Ferris State University,14,6,5,11,0.79,17,-5
297,Luke Tuch (LW),Boston University,16,6,5,11,0.69,12,0
298,Chase Blackmun (D),UMass-Lowell,19,6,5,11,0.58,8,3
299,Filip Engarås (C/RW),University of New Hampshire,22,6,5,11,0.50,21,-6
300,Christophe Fillion (F),Quinnipiac University,25,6,5,11,0.44,4,7
301,Tate Singleton (C),Ohio State University,27,6,5,11,0.41,10,-13
302,Marcel Godbout (C/RW),Sacred Heart University,18,5,6,11,0.61,6,-11
303,Christian Sarlo (F),Penn State University,21,5,6,11,0.52,2,-2
304,Aidan Spellacy (F),Robert Morris University,24,5,6,11,0.46,6,-3
305,Ty Glover (LW/C),Western Michigan University,24,5,6,11,0.46,10,-12
306,Nick Granowicz (C/RW),University of Michigan,25,5,6,11,0.44,10,18
307,Alex Frye (C),Northern Michigan University,25,5,6,11,0.44,14,0
308,Logan Hutsko (RW/C),Boston College,11,4,7,11,1.00,10,11
309,Ben Copeland (C),Colorado College,22,4,7,11,0.50,18,-10
310,Judd Caulfield (RW/LW),University of North Dakota,26,4,7,11,0.42,2,11
311,Jesse Lansdell (LW),University of Notre Dame,28,4,7,11,0.39,10,-1
312,Tyler Rockwell (D),Michigan Tech,30,4,7,11,0.37,12,3
313,Carl Berglund (C/LW),UMass-Lowell,11,3,8,11,1.00,2,-1
314,Grant Meyer (RW),Canisius College,13,3,8,11,0.85,8,-1
315,Lynden Breen (C/LW),University of Maine,16,3,8,11,0.69,6,-10
316,Mike Benning (D),University of Denver,21,3,8,11,0.52,8,-1
317,John Spetz (D),University of Connecticut,22,3,8,11,0.50,10,3
318,Marshall Warren (D),Boston College,23,3,8,11,0.48,27,13
319,Josh Nodler (C/RW),Michigan State University,27,3,8,11,0.41,0,0
320,Quinn Olson (LW/C),University of Minnesota-Duluth,28,3,8,11,0.39,16,3
321,Bobby Brink (RW),University of Denver,15,2,9,11,0.73,4,-4
322,Seth Barton (D),UMass-Lowell,20,2,9,11,0.55,4,-9
323,Connor MacEachern (C),Penn State University,21,2,9,11,0.52,6,-4
324,Lucas Finner (LW),Ferris State University,21,2,9,11,0.52,24,-16
325,Antti Tuomisto (D),University of Denver,24,2,9,11,0.46,23,-2
326,David Keefer (RW),Northern Michigan University,28,2,9,11,0.39,8,-7
327,Skyler Brind'Amour (C/LW),Quinnipiac University,29,2,9,11,0.38,23,0
328,Jakub Sirota (D),University of Maine,16,1,10,11,0.69,4,0
329,Jacob Semik (D),Arizona State University,25,1,10,11,0.44,4,-12
330,Aidan Fulp (D),Western Michigan University,25,0,11,11,0.44,12,-6
331,Grant Cruikshank (C/LW),Colorado College,16,8,2,10,0.63,4,-2
332,Eduards Tralmaks (W/C),University of Maine,12,6,4,10,0.83,26,2
333,Caleb Moretz (RW/C),RIT (Rochester Inst. of Tech.),15,6,4,10,0.67,8,-8
334,Lucas Condotta (C),UMass-Lowell,20,6,4,10,0.50,14,-7
335,Riley Hughes (RW),Northeastern University,21,6,4,10,0.48,4,-8
336,Charlie Combs (LW),Michigan State University,23,6,4,10,0.43,21,-4
337,Trevor Kuntar (C/LW),Boston College,23,6,4,10,0.43,33,2
338,Martin Sundberg (RW),University of Nebraska-Omaha,24,6,4,10,0.42,37,7
339,Michael Mancinelli (C),Arizona State University,26,6,4,10,0.38,8,-16
340,Logan Cockerill (LW/RW),Boston University,12,5,5,10,0.83,6,9
341,Eric MacAdams (RW),University of New Hampshire,16,5,5,10,0.63,31,1
342,Lee Lapid (C),Canisius College,17,5,5,10,0.59,10,0
343,Brett Berard (LW),Providence College,19,5,5,10,0.53,16,-3
344,Tucker DeYoung (F),Army (U.S. Military Academy),21,5,5,10,0.48,21,2
345,Jax Murray (F),Arizona State University,22,5,5,10,0.45,0,0
346,Ross Armour (C/RW),Bemidji State University,29,5,5,10,0.34,6,4
347,Alex Jefferies (LW),Merrimack College,12,4,6,10,0.83,2,-4
348,Zak Galambos (D),American International College,16,4,6,10,0.63,16,10
349,Matthew Verboon (RW/C),Colgate University,22,4,6,10,0.45,14,-4
350,Demetrios Koumontzis (LW/D),Arizona State University,22,4,6,10,0.45,14,-8
351,Trevor Janicke (RW/C),University of Notre Dame,29,4,6,10,0.34,4,5
352,Michael Zuffante (F),Bentley University,15,3,7,10,0.67,8,-4
353,Luc Salem (D),St. Lawrence University,17,3,7,10,0.59,14,5
354,Griffin Lunn (F),Colgate University,22,3,7,10,0.45,14,1
355,Ethan Frisch (D),University of North Dakota,24,3,7,10,0.42,12,17
356,Mitchell Oliver (D),Lake Superior State University,25,3,7,10,0.40,8,2
357,Ethan Leyh (F),Quinnipiac University,25,3,7,10,0.40,10,2
358,Tanner Laderoute (RW/C),University of Minnesota-Duluth,28,3,7,10,0.36,11,2
359,Tyler Kirkup (C/LW),Bemidji State University,29,3,7,10,0.34,14,7
360,Bradley Johnson (D),Bemidji State University,29,3,7,10,0.34,20,-6
