ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Alex Limoges (LW/C),Penn State University,39,23,27,50,1.28,10,23
2,Taro Hirose (LW),Michigan State University,36,15,35,50,1.39,12,14
3,Cale Makar (D),UMass,41,16,33,49,1.20,31,32
4,Adam Fox (D),Harvard University,33,9,39,48,1.45,14,23
5,Patrick Newell (W/C),St. Cloud State University,39,21,26,47,1.21,8,35
6,Joseph Duszak (D),Mercyhurst University,37,16,31,47,1.27,42,8
7,Jacob Pritchard (LW),UMass,41,16,31,47,1.15,8,8
8,Blake Christensen (LW),American International College,41,16,31,47,1.15,22,2
9,Josh Wilkins (C/W),Providence College,40,20,26,46,1.15,10,9
10,Rem Pitlick (C/RW),University of Minnesota,38,21,24,45,1.18,30,4
11,Nico Sturm (C/LW),Clarkson University,39,14,31,45,1.15,29,23
12,Ryan Kuffner (LW),Princeton University,31,22,22,44,1.42,8,2
13,Max Johnson (C),Bowling Green State University,41,19,24,43,1.05,31,11
14,Evan Barratt (C/LW),Penn State University,32,16,27,43,1.34,55,19
15,Ludwig Stenlund (C),Niagara University,41,23,19,42,1.02,14,-11
16,Marc Michaelis (LW/C),Minnesota State University (Mankato),42,19,23,42,1.00,25,22
17,Liam Folkes (C),Penn State University,39,18,24,42,1.08,8,20
18,Mitchell Chaffee (RW),UMass,40,18,24,42,1.05,33,21
19,Odeen Tufto (C),Quinnipiac University,38,15,27,42,1.11,16,12
20,Blake Lizotte (C/LW),St. Cloud State University,37,14,28,42,1.14,28,28
21,Diego Cuglietta (C),Lake Superior State University,38,25,16,41,1.08,18,24
22,Tyler Sheehy (C),University of Minnesota,38,12,29,41,1.08,26,3
23,Brandon Kruse (LW),Bowling Green State University,41,10,31,41,1.00,30,15
24,Troy Loggins (LW),Northern Michigan University,39,23,17,40,1.03,46,9
25,Dylan McLaughlin (C),Canisius College,37,19,21,40,1.08,4,-6
26,Robby Jackson (LW/C),St. Cloud State University,37,19,21,40,1.08,18,22
27,Haralds Egle (C/RW),Clarkson University,39,19,21,40,1.03,16,12
28,Brandon Biro (C/LW),Penn State University,37,16,24,40,1.08,4,15
29,John Leonard (LW/RW),UMass,40,16,24,40,1.00,24,14
30,Noah Delmas (D),Niagara University,41,15,25,40,0.98,14,-1
31,Parker Tuomie (RW),Minnesota State University (Mankato),36,14,26,40,1.11,52,14
32,Alex Tonge (C/LW),Robert Morris University,39,19,20,39,1.00,14,-4
33,Chase Priskie (D),Quinnipiac University,36,17,22,39,1.08,23,18
34,Jack Dugan (LW/RW),Providence College,41,10,29,39,0.95,48,5
35,Colt Conrad (C),Western Michigan University,37,11,27,38,1.03,14,5
36,Nate Sucese (LW),Penn State University,39,19,18,37,0.95,24,18
37,Patrick Khodorenko (C),Michigan State University,36,18,19,37,1.03,30,6
38,Derek Barach (C),Mercyhurst University,38,15,22,37,0.97,28,1
39,Max Véronneau (RW),Princeton University,31,13,24,37,1.19,2,0
40,David Cotton (C),Boston College,39,23,13,36,0.92,20,-8
41,Mason Jobst (C/LW),Ohio State University,36,17,19,36,1.00,20,8
42,Joel Farabee (LW/RW),Boston University,37,17,19,36,0.97,57,4
43,Liam Finlay (RW/C),University of Denver,41,16,20,36,0.88,20,16
44,Joe Snively (LW),Yale University,33,15,21,36,1.09,17,5
45,Luke Santerno (F),Bentley University,37,11,25,36,0.97,26,9
46,Abbott Girduckis (RW/C),RIT (Rochester Inst. of Tech.),38,11,25,36,0.95,4,-2
47,Mitchell Fossier (LW),University of Maine,36,8,28,36,1.00,14,12
48,Jérémy Davies (D),Northeastern University,37,8,28,36,0.97,41,8
49,Drew Callin (C/RW),Bentley University,37,10,25,35,0.95,22,12
50,Jimmy Schuldt (D),St. Cloud State University,39,10,25,35,0.90,18,24
51,Dalton MacAfee (D),Army (U.S. Military Academy),39,10,25,35,0.90,36,-3
52,Adam Rockwood (C),Northern Michigan University,38,7,28,35,0.92,6,5
53,Philip Beaulieu (D),Northern Michigan University,38,6,29,35,0.92,26,16
54,Johnny Walker (RW),Arizona State University,32,23,11,34,1.06,34,8
55,Mason Morelli (LW/C),University of Nebraska-Omaha,36,19,15,34,0.94,12,-16
56,Connor Ford (C),Bowling Green State University,40,17,17,34,0.85,16,9
