ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Bobby Brink (RW),University of Denver,41,14,43,57,1.39,44,27
2,Nathan Smith (C),Minnesota State University (Mankato),38,19,31,50,1.32,43,22
3,Bobby Trivigno (LW),UMass,37,20,29,49,1.32,28,22
4,Julian Napravnik (RW),Minnesota State University (Mankato),40,18,31,49,1.23,10,32
5,Owen Sillinger (C/LW),Bemidji State University,39,17,30,47,1.21,41,10
6,Carter Savoie (LW),University of Denver,39,23,22,45,1.15,37,21
7,Cole Guttman (C/RW),University of Denver,41,19,26,45,1.10,26,20
8,Drew Worrad (C),Western Michigan University,39,9,36,45,1.15,20,10
9,Brian Halonen (LW/RW),Michigan Tech,37,21,23,44,1.19,49,21
10,Louis Boudon (C),Lake Superior State University,36,15,29,44,1.22,31,11
11,Hank Crone (RW/LW),Northern Michigan University,32,13,31,44,1.38,22,7
12,Brendan Furry (LW/RW),Minnesota State University (Mankato),44,13,31,44,1.00,20,30
13,A.J. Vanderbeck (RW),Northern Michigan University,36,24,19,43,1.19,18,8
14,Matty Beniers (C),University of Michigan,37,20,23,43,1.16,16,29
15,Brett Stapley (C),University of Denver,41,18,25,43,1.05,54,22
16,Brendan Brisson (LW/RW),University of Michigan,38,21,21,42,1.11,32,17
17,Colin Theisen (C),Arizona State University,35,19,23,42,1.20,8,10
18,Alex Ierullo (LW),Bemidji State University,39,16,26,42,1.08,28,14
19,Ben Meyers (C/LW),University of Minnesota,34,17,24,41,1.21,18,16
20,Cade Borchardt (F),Minnesota State University (Mankato),44,15,26,41,0.93,18,34
21,Matt Kopperud (C),Arizona State University,34,22,18,40,1.18,28,-8
22,Trenton Bliss (LW/C),Michigan Tech,36,12,28,40,1.11,26,14
23,Ethen Frank (RW/C),Western Michigan University,38,26,13,39,1.03,34,15
24,Aidan McDonough (LW/RW),Northeastern University,38,25,14,39,1.03,44,13
25,Ture Linden (C),RPI (Rensselaer Polytech. Inst.),44,20,19,39,0.89,10,4
26,Taylor Ward (RW),University of Nebraska-Omaha,38,19,20,39,1.03,39,0
27,Luke Hughes (D),University of Michigan,41,17,22,39,0.95,10,26
28,Brett Berard (LW),Providence College,36,18,20,38,1.06,37,10
29,Lukas Sillinger (W/C),Bemidji State University,37,17,21,38,1.03,54,7
30,Mike Benning (D),University of Denver,41,15,23,38,0.93,14,32
31,Max Newton (C/RW),Merrimack College,35,14,24,38,1.09,16,1
32,Carter Mazur (LW),University of Denver,41,14,24,38,0.93,44,23
33,Riese Gaber (RW/LW),University of North Dakota,34,15,22,37,1.09,28,8
34,Josh Doan (RW/LW),Arizona State University,35,12,25,37,1.06,54,9
35,Thomas Bordeleau (C/LW),University of Michigan,37,12,25,37,1.00,35,18
36,Zach Metsa (D),Quinnipiac University,42,10,27,37,0.88,8,38
37,Kent Johnson (LW/C),University of Michigan,32,8,29,37,1.16,6,25
38,Matt Coronato (RW/LW),Harvard University,34,18,18,36,1.06,14,11
