ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
39,Kevin Fitzgerald (C),St. Cloud State University,37,17,19,36,0.97,22,12
40,Ronnie Attard (D),Western Michigan University,39,13,23,36,0.92,24,20
41,Massimo Rizzo (C),University of Denver,39,12,24,36,0.92,48,18
42,Andre Ghantous (RW/LW),Northern Michigan University,37,10,26,36,0.97,57,4
43,Miroslav Mucha (RW),Lake Superior State University,37,10,25,35,0.95,8,5
44,Nick Poisson (F),Providence College,37,10,25,35,0.95,22,8
45,Cameron Wright (RW),University of Denver,41,23,11,34,0.83,12,19
46,Ryan Sandelin (RW/C),Minnesota State University (Mankato),41,21,13,34,0.83,28,32
47,Georgii Merkulov (C/W),Ohio State University,36,20,14,34,0.94,10,18
48,Blake Bennett (LW/RW),American International College,37,20,14,34,0.92,20,10
49,Wyatt Bongiovanni (C/LW),Quinnipiac University,42,16,18,34,0.81,45,27
50,Jack McBain (C/LW),Boston College,24,19,14,33,1.38,14,13
51,Alexander Campbell (LW/C),Clarkson University,37,16,17,33,0.89,2,7
52,Matthew Knies (LW/RW),University of Minnesota,33,15,18,33,1.00,31,15
53,Scott Morrow (D),UMass,37,13,20,33,0.89,10,10
54,Blake McLaughlin (LW/C),University of Minnesota,39,13,20,33,0.85,35,8
55,Oliver Chau (C),Quinnipiac University,42,13,20,33,0.79,24,19
56,Jáchym Kondelík (C/W),University of Connecticut,36,12,21,33,0.92,16,11
57,Mathieu Gosselin (RW/LW),Clarkson University,37,11,22,33,0.89,37,13
58,Nick Abruzzese (LW/C),Harvard University,28,9,24,33,1.18,8,14
59,Tyler Weiss (LW/C),University of Nebraska-Omaha,36,8,25,33,0.92,20,2
60,Marc McLaughlin (C/RW),Boston College,33,21,11,32,0.97,22,10
61,Colton Young (LW),Colgate University,38,15,17,32,0.84,24,4
62,Ryan Tverberg (C/RW),University of Connecticut,36,14,18,32,0.89,16,10
63,Ethan De Jong (RW/LW),Quinnipiac University,42,11,21,32,0.76,24,23
64,Brannon McManus (C/RW),University of Nebraska-Omaha,34,9,23,32,0.94,4,-1
65,Michael Joyaux (D),Western Michigan University,39,8,24,32,0.82,25,-3
66,Henry Thrun (D),Harvard University,35,7,25,32,0.91,10,9
67,Owen Power (D),University of Michigan,33,3,29,32,0.97,12,27
68,Zach Tsekos (C),Clarkson University,35,15,16,31,0.89,21,8
69,Billy Jerry (C/RW),Long Island University,34,14,17,31,0.91,10,2
70,Alex Laferriere (RW/LW),Harvard University,35,14,17,31,0.89,12,13
71,Justin Young (C),American International College,36,12,19,31,0.86,16,18
72,Colin Bilek (RW),Army (U.S. Military Academy),34,11,20,31,0.91,37,-10
73,Neil Shea (LW),Sacred Heart University,37,11,20,31,0.84,10,15
74,Alex Young (C/W),Colgate University,39,10,21,31,0.79,51,-1
75,Jake Livingstone (D),Minnesota State University (Mankato),44,9,22,31,0.70,32,27
76,Nick Perbix (D),St. Cloud State University,31,6,25,31,1.00,14,3
77,Brandon Scanlin (D),University of Nebraska-Omaha,38,6,25,31,0.82,31,-13
78,Domenick Fensore (D),Boston University,35,5,26,31,0.89,8,7
79,Ryan Ufko (D),UMass,37,5,26,31,0.84,12,4
80,Wilmer Skoog (C),Boston University,35,15,15,30,0.86,20,3
81,Jami Krannila (C),St. Cloud State University,37,15,15,30,0.81,40,6
82,Carter Wilkie (RW),RIT (Rochester Inst. of Tech.),38,13,17,30,0.79,37,4
83,Ottoville Leppänen (F),RPI (Rensselaer Polytech. Inst.),42,9,21,30,0.71,31,1
84,Taylor Schneider (LW),Bowling Green State University,37,8,22,30,0.81,20,-2
85,Jackson LaCombe (D),University of Minnesota,39,3,27,30,0.77,12,23
86,Will Gavin (LW/C),Air Force Academy,35,16,13,29,0.83,73,-2
87,Kevin Wall (RW),Penn State University,38,16,13,29,0.76,32,5
88,Kobe Roth (F),University of Minnesota-Duluth,42,16,13,29,0.69,2,-3
89,Nick Blankenburg (D),University of Michigan,38,14,15,29,0.76,22,17
90,Matt Stienburg (C),Cornell University,28,13,16,29,1.04,30,11
91,Chris Dodero (C/LW),American International College,36,13,16,29,0.81,6,6
92,Christopher Theodore (LW),American International College,35,10,19,29,0.83,6,12
93,Mackie Samoskevich (RW/C),University of Michigan,40,10,19,29,0.73,12,10
94,Ayrton Martino (LW),Clarkson University,37,7,22,29,0.78,8,5
95,Brandon Estes (D),Union College,37,7,22,29,0.78,10,-7
96,Zak Galambos (D),American International College,36,5,24,29,0.81,49,1
97,Mason Lohrei (D),Ohio State University,31,4,25,29,0.94,20,16
98,Sean Behrens (D),University of Denver,37,3,26,29,0.78,12,9
99,Blake Biondi (C/RW),University of Minnesota-Duluth,42,17,11,28,0.67,16,15
100,Andre Lee (LW/C),UMass-Lowell,34,16,12,28,0.82,50,12
101,Max Ellis (RW),University of Notre Dame,39,16,12,28,0.72,14,12
102,Reggie Lutz (RW),Minnesota State University (Mankato),37,15,13,28,0.76,16,11
103,Anthony Romano (C/RW),Clarkson University,37,15,13,28,0.76,18,7
104,Connor MacEachern (C),Penn State University,36,14,14,28,0.78,16,9
105,Jake Stella (LW),American International College,37,12,16,28,0.76,12,10
106,Tommy Parrottino (F),Michigan Tech,37,11,17,28,0.76,8,12
107,Zachary Okabe (RW),St. Cloud State University,37,11,17,28,0.76,14,1
108,Sean Farrell (C/LW),Harvard University,24,10,18,28,1.17,11,6
109,Jake Wise (C/LW),Ohio State University,35,10,18,28,0.80,2,15
110,Matthew Verboon (RW/C),Colgate University,40,10,18,28,0.70,6,9
111,Carl Berglund (C/LW),UMass-Lowell,33,9,19,28,0.85,8,9
112,Trevor Cosgrove (D),Northern Michigan University,37,9,19,28,0.76,26,5
113,Steven Jandric (LW),Merrimack College,34,8,20,28,0.82,10,-3
114,Josh Passolt (LW),Western Michigan University,38,8,20,28,0.74,20,-4
115,Derek Daschke (D),Miami University (Ohio),36,4,24,28,0.78,8,-18
116,Connor Ford (C),University of North Dakota,37,4,24,28,0.76,8,2
117,Michael Colella (F),Northern Michigan University,37,15,12,27,0.73,10,1
118,Will Calverley (C),RIT (Rochester Inst. of Tech.),38,15,12,27,0.71,12,2
119,Sammy Walker (C/RW),University of Minnesota,39,14,13,27,0.69,20,14
120,Josh McKechney (F),Colgate University,40,14,13,27,0.68,21,8
121,Michael Lombardi (C/LW),Quinnipiac University,42,14,13,27,0.64,10,30
122,Carson Brière (C/RW),Mercyhurst University,31,13,14,27,0.87,20,4
123,Parker Ford (C/RW),Providence College,38,13,14,27,0.71,31,6
124,Josh Lopina (C/RW),UMass,27,12,15,27,1.00,8,21
125,Sam Colangelo (RW/C),Northeastern University,29,12,15,27,0.93,18,8
126,Braeden Tuck (F),Sacred Heart University,35,12,15,27,0.77,2,8
127,Easton Brodzinski (RW/LW),St. Cloud State University,36,12,15,27,0.75,72,2
128,Austin Heidemann (F),Mercyhurst University,38,12,15,27,0.71,18,-6
129,Filip Forsmark (LW/RW),Merrimack College,33,11,16,27,0.82,35,8
130,Tyler Ward (LW),University of New Hampshire,34,11,16,27,0.79,4,-10
131,Liam Walsh (LW),Merrimack College,34,10,17,27,0.79,41,1
132,Ryder Rolston (W/C),University of Notre Dame,38,10,17,27,0.71,24,8
133,Drew Bavaro (D),Bentley University,36,9,18,27,0.75,26,-11
134,Dante Sheriff (RW),Mercyhurst University,33,8,19,27,0.82,43,5
135,Simon Kjellberg (D),RPI (Rensselaer Polytech. Inst.),43,8,19,27,0.63,16,-5
136,Spencer Stastney (D),University of Notre Dame,39,7,20,27,0.69,8,18
137,Nick Leivermann (D),University of Notre Dame,34,6,21,27,0.79,8,16
138,Ben Newhouse (D),Northern Michigan University,37,5,22,27,0.73,4,8
139,Jacob Bengtsson (D),Lake Superior State University,36,3,24,27,0.75,63,5
140,Jason Polin (RW),Western Michigan University,39,16,10,26,0.67,4,6
141,Ryan Kirwan (LW/RW),Penn State University,36,13,13,26,0.72,8,3
142,Brian Rigali (F),American International College,32,12,14,26,0.81,8,5
143,Bryce Brodzinski (RW),University of Minnesota,39,12,14,26,0.67,10,6
144,Landon Slaggert (LW/C),University of Notre Dame,40,12,14,26,0.65,39,9
145,Keaton Mastrodonato (RW/C),Canisius College,30,11,15,26,0.87,20,6
146,Michael Pastujov (LW),University of Michigan,42,11,15,26,0.62,6,15
147,Ryan Leibold (F),College of the Holy Cross,35,10,16,26,0.74,24,3
148,Cole Gallant (C),Western Michigan University,39,9,17,26,0.67,2,15
149,Jake Sanderson (D),University of North Dakota,23,8,18,26,1.13,6,5
150,Austen Swankler (C),Bowling Green State University,36,8,18,26,0.72,14,-8
151,Elias Rosén (D),Bemidji State University,38,7,19,26,0.68,18,0
152,Koby Bender (RW/C),University of Minnesota-Duluth,42,7,19,26,0.62,14,-2
153,Brandon Kruse (LW),Boston College,38,3,23,26,0.68,18,-4
154,Akito Hirose (D),Minnesota State University (Mankato),38,2,24,26,0.68,8,28
155,Garrett Wait (LW),UMass,32,13,12,25,0.78,12,16
156,Graham Slaggert (C/LW),University of Notre Dame,39,12,13,25,0.64,27,9
157,Willie Reim (F),Air Force Academy,32,11,14,25,0.78,16,1
158,Robert Mastrosimone (LW/C),Boston University,34,11,14,25,0.74,28,5
159,Patrick Moynihan (RW),Providence College,38,11,14,25,0.66,24,0
160,Alex Barber (F),Bowling Green State University,32,10,15,25,0.78,32,-9
161,Lynden Breen (C/LW),University of Maine,33,9,16,25,0.76,10,-10
162,Filip Fornåå Svensson (C/RW),University of Alaska-Fairbanks,34,9,16,25,0.74,12,-2
163,Sam Morton (C/LW),Minnesota State University (Mankato),38,9,16,25,0.66,12,26
164,Casey Dornbach (C/W),Harvard University,34,8,17,25,0.74,8,0
165,Cam Thiesing (C),Ohio State University,37,8,17,25,0.68,53,21
166,Gunnarwolfe Fontaine (LW/C),Northeastern University,39,8,17,25,0.64,20,5
167,Jakub Lacka (LW),RPI (Rensselaer Polytech. Inst.),42,8,17,25,0.60,16,0
168,Tyler Welsh (C/RW),Long Island University,27,7,18,25,0.93,26,-8
169,Quinn Olson (LW/C),University of Minnesota-Duluth,42,6,19,25,0.60,41,5
170,Drew Helleson (D),Boston College,32,4,21,25,0.78,30,-9
171,Brandon Koch (D),Air Force Academy,36,3,22,25,0.69,22,3
172,Jack Jacome (RW/LW),Clarkson University,32,2,23,25,0.78,22,0
173,Trevor Janicke (RW/C),University of Notre Dame,40,15,9,24,0.60,14,5
174,Jackson Pierson (C),University of New Hampshire,34,12,12,24,0.71,8,-9
175,Noah Cates (LW),University of Minnesota-Duluth,37,11,13,24,0.65,19,4
176,Nolan Walker (C),St. Cloud State University,37,11,13,24,0.65,26,-9
177,Austin Magera (C),Sacred Heart University,30,10,14,24,0.80,25,0
178,Brady Risk (RW/LW),University of Alaska-Fairbanks,31,10,14,24,0.77,27,0
179,Elijiah Barriga (C),American International College,37,9,15,24,0.65,16,6
180,Jack Becker (C/RW),Arizona State University,35,8,16,24,0.69,12,-2
181,P.J. Fletcher (C/RW),Miami University (Ohio),35,8,16,24,0.69,14,-3
182,Jake Schmaltz (LW/C),University of North Dakota,39,8,16,24,0.62,10,7
183,Declan Carlile (D),Merrimack College,35,7,17,24,0.69,8,14
184,Clay Cosentino (F),Air Force Academy,36,7,17,24,0.67,18,2
185,Nikita Nesterenko (C/LW),Boston College,37,7,17,24,0.65,50,7
186,Jack St. Ivany (D),Boston College,35,4,20,24,0.69,6,8
187,Jesse Tucker (C),Michigan State University,36,2,22,24,0.67,12,-7
188,Nathan Burke (C/LW),Bowling Green State University,37,16,7,23,0.62,14,-10
189,Rylee St. Onge (LW),Mercyhurst University,36,15,8,23,0.64,37,1
190,Ben Berard (LW),Cornell University,26,14,9,23,0.88,6,11
191,Logan Pietila (RW/C),Michigan Tech,34,13,10,23,0.68,2,11
192,Ty Smilanic (C),Quinnipiac University,41,13,10,23,0.56,34,16
193,Max Kouznetsov (LW/C),Canisius College,32,12,11,23,0.72,20,6
194,Vladislav Firstov (LW),University of Connecticut,35,12,11,23,0.66,18,10
195,Lee Lapid (C),Canisius College,33,11,12,23,0.70,29,6
196,Cole Kodsi (LW),Bentley University,33,10,13,23,0.70,10,2
197,Alex Jefferies (LW),Merrimack College,33,10,13,23,0.70,10,-7
198,Lucas Condotta (C),UMass-Lowell,33,10,13,23,0.70,25,4
199,Veeti Miettinen (RW),St. Cloud State University,37,10,13,23,0.62,0,1
200,T.J. Friedmann (W/C),Quinnipiac University,41,10,13,23,0.56,14,21
201,Maxim Andreev (C/LW),Cornell University,22,9,14,23,1.05,23,17
202,Chayse Primeau (W/C),University of Nebraska-Omaha,30,9,14,23,0.77,18,1
203,Sean Chisholm (C/LW),Dartmouth College,31,9,14,23,0.74,27,1
204,Justin Michaelian (F),Ferris State University,35,8,15,23,0.66,12,-10
205,Matt Barry (F),Miami University (Ohio),36,8,15,23,0.64,20,-20
206,Cameron Berg (C/LW),University of Nebraska-Omaha,37,8,15,23,0.62,14,4
207,Matt Gosiewski (C),Bentley University,32,7,16,23,0.72,6,-9
208,Maxwell Crozier (D),Providence College,32,7,16,23,0.72,16,9
209,Ryan Naumovski (F),Niagara University,36,7,16,23,0.64,2,-13
210,Lucas Sowder (LW),Minnesota State University (Mankato),37,7,16,23,0.62,4,9
211,Ben Copeland (C),Penn State University,33,6,17,23,0.70,10,-11
212,Sam Malinski (D),Cornell University,32,5,18,23,0.72,26,20
213,Colin Swoyer (D),Michigan Tech,36,5,18,23,0.64,22,11
214,Patrick Giles (C/RW),Boston College,37,15,7,22,0.59,26,3
215,Brandon Puricelli (RW),Lake Superior State University,24,13,9,22,0.92,10,-3
216,Sam Hentges (C/LW),St. Cloud State University,20,12,10,22,1.10,19,8
217,Ondřej Pavel (C/LW),Minnesota State University (Mankato),44,12,10,22,0.50,24,19
218,Jeremy Davidson (RW),Michigan State University,32,11,11,22,0.69,24,-2
219,Nathan Horn (F),Air Force Academy,33,11,11,22,0.67,19,1
220,Collin Graf (RW/C),Union College,37,11,11,22,0.59,10,-2
221,Jay O'Brien (C),Boston University,24,10,12,22,0.92,38,2
222,Corey Andonovski (RW/LW),Princeton University,31,10,12,22,0.71,34,-12
223,Matthew Barbolini (C/LW),Miami University (Ohio),35,10,12,22,0.63,32,-13
224,Mathieu De St. Phalle (RW/LW),University of Wisconsin,36,10,12,22,0.61,8,-10
225,David Keefer (RW),Northern Michigan University,36,10,12,22,0.61,18,1
226,Ethan Somoza (LW),Bemidji State University,38,10,12,22,0.58,8,-16
227,Max Sasson (C/W),Western Michigan University,37,9,13,22,0.59,18,4
228,Colby Ambrosio (C/RW),Boston College,38,9,13,22,0.58,8,7
229,Ryan Brushett (C),UMass-Lowell,35,8,14,22,0.63,4,0
230,Casey Gilling (C),University of Minnesota-Duluth,40,8,14,22,0.55,14,-8
231,Justin Hryckowian (C/LW),Northeastern University,27,7,15,22,0.81,14,1
232,Lukas Kälble (D),Clarkson University,32,7,15,22,0.69,16,6
233,Corson Ceulemans (D),University of Wisconsin,34,7,15,22,0.65,33,-12
234,Hampus Eriksson (C/W),Northern Michigan University,33,6,16,22,0.67,18,7
235,Ben Schoen (C),Penn State University,37,6,16,22,0.59,39,8
236,Mitchell Martan (LW),Canisius College,31,5,17,22,0.71,31,9
237,Noah Beck (D),Clarkson University,37,5,17,22,0.59,24,8
238,Tim Lovell (D),Arizona State University,34,4,18,22,0.65,28,-6
239,Nick Hale (D),College of the Holy Cross,35,4,18,22,0.63,20,-10
240,Hunter McKown (C/RW),Colorado College,35,13,8,21,0.60,29,-10
241,Ondrej Psenicka (RW),Cornell University,32,12,9,21,0.66,18,21
242,Matt Crasa (C/RW),UMass-Lowell,35,12,9,21,0.60,12,6
243,Austin Alger (F),Canisius College,33,11,10,21,0.64,18,-2
244,Ashton Calder (F),University of North Dakota,34,11,10,21,0.62,14,3
245,Ryan Steele (F),Sacred Heart University,34,10,11,21,0.62,29,-1
246,Kevin Conley (LW/C),University of Nebraska-Omaha,37,10,11,21,0.57,77,-1
247,Anthony Firriolo (D),Army (U.S. Military Academy),35,9,12,21,0.60,26,-15
248,Jake Hamacher (LW),RIT (Rochester Inst. of Tech.),37,9,12,21,0.57,19,-6
249,Albin Nilsson (C),Niagara University,32,8,13,21,0.66,16,-12
250,Matteo Costantini (C/LW),University of North Dakota,35,8,13,21,0.60,4,12
251,Marc Gatcomb (C/RW),University of Connecticut,36,8,13,21,0.58,14,6
252,Ty Glover (LW/C),Western Michigan University,39,8,13,21,0.54,48,2
253,Ryan Barrow (RW),University of Denver,41,8,13,21,0.51,12,19
254,Filip Engarås (C/RW),University of New Hampshire,33,7,14,21,0.64,16,-6
255,Gabriel Seger (LW/C),Union College,34,7,14,21,0.62,21,-2
256,Marshall Warren (D),Boston College,37,6,15,21,0.57,12,-3
257,Logan Britt (D),Sacred Heart University,37,3,18,21,0.57,30,6
258,Jimmy Dowd (D),Penn State University,37,3,18,21,0.57,32,-10
259,Erik Middendorf (LW),Michigan State University,36,12,8,20,0.56,24,-20
260,Didrik Henbrant (RW/C),University of Alaska-Fairbanks,34,11,9,20,0.59,37,-2
261,Ben Brar (LW),Merrimack College,35,11,9,20,0.57,20,3
262,Judd Caulfield (RW/LW),University of North Dakota,39,11,9,20,0.51,10,7
263,Zach Dubinsky (F),RPI (Rensselaer Polytech. Inst.),44,10,10,20,0.45,24,-5
264,Logan Jenuwine (F),Lake Superior State University,27,9,11,20,0.74,4,6
265,Trevor Kuntar (C/LW),Boston College,36,9,11,20,0.56,33,2
266,Jack Randl (LW),University of Nebraska-Omaha,38,9,11,20,0.53,26,-3
267,Daniel Haider (F),Army (U.S. Military Academy),30,8,12,20,0.67,6,8
268,Jack Malone (RW/C),Cornell University,32,8,12,20,0.63,26,2
269,Reid Stefanson (C/LW),UMass-Lowell,34,8,12,20,0.59,8,-1
270,Josh Nixon (RW),Lake Superior State University,37,8,12,20,0.54,16,-3
271,Dylan Anhorn (D),Union College,29,7,13,20,0.69,6,-1
272,Spencer Cox (D/C),Long Island University,34,7,13,20,0.59,47,-9
273,Dylan Pitera (F),Bentley University,35,7,13,20,0.57,29,4
274,Ryan Mahshie (F),RPI (Rensselaer Polytech. Inst.),38,7,13,20,0.53,4,-6
275,Ty Jackson (C),Northeastern University,28,6,14,20,0.71,10,19
276,Jonathan Bendorf (LW),Mercyhurst University,36,6,14,20,0.56,4,1
277,Grant Gabriele (D),Ohio State University,37,5,15,20,0.54,12,12
278,Jordan Harris (D),Northeastern University,39,5,15,20,0.51,14,11
279,Tanner Palocsik (D),Dartmouth College,32,4,16,20,0.63,10,-18
280,Brendan Less (D),Quinnipiac University,39,4,16,20,0.51,12,31
281,Ryan Siedem (D),Harvard University,34,3,17,20,0.59,10,16
282,Skyler Brind'Amour (C/LW),Quinnipiac University,41,3,17,20,0.49,18,18
283,Justin Addamo (C/RW),RPI (Rensselaer Polytech. Inst.),42,14,5,19,0.45,43,-9
284,Liam Robertson (C),Union College,35,13,6,19,0.54,18,-10
285,Griffin Lunn (F),Colgate University,32,12,7,19,0.59,14,3
286,Kobe Walker (RW),RIT (Rochester Inst. of Tech.),29,11,8,19,0.66,12,1
287,Ryan Cox (F),Niagara University,36,11,8,19,0.53,18,-8
288,John Farinacci (C/RW),Harvard University,29,10,9,19,0.66,12,12
289,Donavan Houle (C/RW),University of Maine,32,10,9,19,0.59,44,-2
290,Coale Norris (LW),Bowling Green State University,33,10,9,19,0.58,26,-6
291,Matt Lombardozzi (D),Bentley University,35,10,9,19,0.54,62,-15
292,Bradley Marek (LW),Ferris State University,36,10,9,19,0.53,12,-12
293,Micah Miller (RW/C),St. Cloud State University,37,10,9,19,0.51,6,18
294,Riley Duran (C/RW),Providence College,38,10,9,19,0.50,18,9
295,Dylan Duke (LW/C),University of Michigan,41,10,9,19,0.46,20,7
296,Chase Gresock (F),Miami University (Ohio),21,9,10,19,0.90,6,-2
297,Chaz Lucius (C),University of Minnesota,24,9,10,19,0.79,23,5
298,Ian Murphy (RW/C),Princeton University,25,9,10,19,0.76,42,0
299,Louis Jamernik (RW),University of North Dakota,37,9,10,19,0.51,32,0
300,Jesse Lansdell (LW),University of Notre Dame,36,8,11,19,0.53,33,3
301,Cam Burke (C),University of Notre Dame,38,8,11,19,0.50,4,2
302,Mitch Lewandowski (LW),Michigan State University,21,7,12,19,0.90,12,7
303,Harrison Roy (F),Lake Superior State University,29,7,12,19,0.66,8,-1
304,Dallas Tulik (F),Ferris State University,29,7,12,19,0.66,32,1
305,Quinn Preston (F),Ohio State University,31,7,12,19,0.61,55,13
306,Brock Caufield (RW),University of Wisconsin,37,7,12,19,0.51,14,-15
307,Samuel Brennan (D),Air Force Academy,34,6,13,19,0.56,38,-17
308,Kaden Pickering (RW),St. Lawrence University,36,6,13,19,0.53,30,-2
309,Justin Misiak (C),Michigan Tech,33,5,14,19,0.58,12,4
310,Parker Brown (F),Air Force Academy,34,5,14,19,0.56,21,3
311,Garrett Pyke (D),University of Alaska-Fairbanks,34,4,15,19,0.56,46,2
312,T.J. Walsh (LW),RPI (Rensselaer Polytech. Inst.),36,4,15,19,0.53,4,-6
313,Antti Virtanen (D),University of Alaska-Fairbanks,30,3,16,19,0.63,28,6
314,Jack Devine (RW),University of Denver,36,3,16,19,0.53,16,12
315,Eric Martin (F),Bemidji State University,39,3,16,19,0.49,8,-8
316,Ryan Johnson (D),University of Minnesota,39,3,16,19,0.49,14,5
317,Zach Uens (D),Merrimack College,34,2,17,19,0.56,28,8
318,Wyatt Kaiser (D),University of Minnesota-Duluth,34,2,17,19,0.56,46,-2
319,Nick Anderson (D),Colgate University,35,1,18,19,0.54,23,-6
320,Gabriel Chicoine (D),Bowling Green State University,37,1,18,19,0.51,24,0
321,Tyler Kirkup (C/LW),Bemidji State University,39,12,6,18,0.46,39,-4
322,Mark Gallant (F),Dartmouth College,28,11,7,18,0.64,20,-9
323,Jack Ricketts (C),College of the Holy Cross,35,10,8,18,0.51,28,-2
324,Joey Cipollone (C),Quinnipiac University,41,10,8,18,0.44,8,15
325,Anton Rubtsov (F),University of Alaska-Fairbanks,24,9,9,18,0.75,16,13
326,Reed Lebster (RW),UMass,36,9,9,18,0.50,23,4
327,Braiden Dorfman (F),Dartmouth College,31,8,10,18,0.58,34,-7
328,Shane Ott (F),Niagara University,36,8,10,18,0.50,8,-2
329,Justin Paul (LW),St. Lawrence University,37,8,10,18,0.49,26,-16
330,Kohen Olischefski (RW),Providence College,38,8,10,18,0.47,0,7
331,Alex Ambrosio (F),Canisius College,35,7,11,18,0.51,24,4
332,Matthew Guerra (F),College of the Holy Cross,36,7,11,18,0.50,45,-11
333,Jamie Engelbert (C),Providence College,38,7,11,18,0.47,14,3
334,Cal Kiefiuk (F),UMass,30,6,12,18,0.60,24,2
335,Brenden Locke (C),Cornell University,32,6,12,18,0.56,16,1
336,Logan Will (F),Colorado College,32,6,12,18,0.56,16,-8
337,Kyle Betts (C),Cornell University,32,6,12,18,0.56,34,6
338,Danny Dzhaniyev (F),Penn State University,36,6,12,18,0.50,6,-2
339,Stan Cooley (C),Colorado College,36,6,12,18,0.50,22,-11
340,Mitchell Digby (D),Air Force Academy,36,6,12,18,0.50,33,-8
341,Dominic James (C/LW),University of Minnesota-Duluth,39,6,12,18,0.46,12,11
342,Hudson Schandor (C),University of Connecticut,28,5,13,18,0.64,12,4
343,Rhett Pitlick (LW/RW),University of Minnesota,30,5,13,18,0.60,12,20
344,Grant Silianoff (RW),University of Notre Dame,32,5,13,18,0.56,8,9
345,Spencer Meier (D),St. Cloud State University,36,5,13,18,0.50,6,-3
346,Kyler Kupka (F),St. Cloud State University,37,5,13,18,0.49,6,12
347,Dan Willett (D),RIT (Rochester Inst. of Tech.),38,5,13,18,0.47,24,-16
348,Luis Lindner (D/F),American International College,28,4,14,18,0.64,8,19
349,Thomas Farrell (D),Army (U.S. Military Academy),35,4,14,18,0.51,48,-8
350,John Spetz (D),University of Connecticut,36,4,14,18,0.50,14,5
351,Shai Buium (D),University of Denver,39,3,15,18,0.46,12,20
352,Luke Santerno (F),Clarkson University,31,12,5,17,0.55,18,4
353,Eric Butte (F),Army (U.S. Military Academy),35,11,6,17,0.49,10,-8
354,Justin Jallen (F),Brown University,30,10,7,17,0.57,6,-9
355,John Jaworski (F),Sacred Heart University,37,9,8,17,0.46,13,-8
356,Jakov Novak (LW/C),Northeastern University,39,8,9,17,0.44,28,3
357,Desi Burgart (F),Quinnipiac University,42,8,9,17,0.40,6,11
358,David Silye (C/RW),Minnesota State University (Mankato),43,8,9,17,0.40,18,19
359,Matt Brown (LW/RW),Boston University,24,7,10,17,0.71,4,-3
360,Collin Rutherford (C),Bentley University,34,7,10,17,0.50,2,-6
361,Lucas Thorne (C),College of the Holy Cross,35,7,10,17,0.49,6,-2
362,Joey Baez (F),Army (U.S. Military Academy),35,7,10,17,0.49,8,1
