ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Adam Fantilli (C),University of Michigan,36,30,35,65,1.81,67,31
2,Logan Cooley (C/LW),University of Minnesota,39,22,38,60,1.54,42,38
3,Collin Graf (RW/C),Quinnipiac University,41,21,38,59,1.44,4,31
4,Sean Farrell (C/LW),Harvard University,34,20,33,53,1.56,12,21
5,Jimmy Snuggerud (RW),University of Minnesota,40,21,29,50,1.25,42,35
6,Ryan McAllister (C),Western Michigan University,39,13,36,49,1.26,14,21
7,Lane Hutson (D),Boston University,39,15,33,48,1.23,26,25
8,Luke Hughes (D),University of Michigan,39,10,38,48,1.23,26,24
9,Jason Polin (RW),Western Michigan University,39,30,17,47,1.21,13,26
10,Matt Brown (LW/RW),Boston University,39,16,31,47,1.21,6,15
11,Massimo Rizzo (C),University of Denver,38,17,29,46,1.21,14,24
12,Austen Swankler (C),Bowling Green State University,35,19,25,44,1.26,43,13
13,Frank Ireland (F),Stonehill College,25,17,27,44,1.76,38,17
14,Mackie Samoskevich (RW/C),University of Michigan,39,20,23,43,1.10,28,5
15,Sam Lipkin (LW/C),Quinnipiac University,39,14,29,43,1.10,14,33
16,Alex Laferriere (RW/LW),Harvard University,34,21,21,42,1.24,20,13
17,Matthew Knies (LW/RW),University of Minnesota,40,21,21,42,1.05,29,31
18,Jackson Blake (RW/C),University of North Dakota,39,16,26,42,1.08,16,-1
19,Max Sasson (C/W),Western Michigan University,38,15,27,42,1.11,18,20
20,Robert Mastrosimone (LW/C),Arizona State University,38,11,31,42,1.11,31,4
21,Alex Jefferies (LW),Merrimack College,38,14,27,41,1.08,16,9
22,Stephen Halliday (C),Ohio State University,40,9,32,41,1.03,19,7
23,Jami Krannila (C),St. Cloud State University,41,21,19,40,0.98,43,23
24,Ethan De Jong (RW/LW),Quinnipiac University,41,19,21,40,0.98,8,25
25,Carter Wilkie (RW),RIT (Rochester Inst. of Tech.),39,14,26,40,1.03,78,9
26,David Silye (C/RW),Minnesota State University (Mankato),39,23,16,39,1.00,25,2
27,Alex Young (C/W),Colgate University,40,21,18,39,0.98,37,1
28,Rutger McGroarty (C/W),University of Michigan,39,18,21,39,1.00,18,15
29,Jake Wise (C/LW),Ohio State University,40,12,27,39,0.98,10,5
30,Grant Cruikshank (C/LW),St. Cloud State University,41,23,15,38,0.93,16,5
31,Aidan McDonough (LW/RW),Northeastern University,34,20,18,38,1.12,14,14
32,Jacob Quillan (C/LW),Quinnipiac University,41,19,19,38,0.93,12,37
33,Josh Doan (RW/LW),Arizona State University,39,16,22,38,0.97,18,-2
34,Andre Ghantous (RW/LW),Northern Michigan University,38,13,25,38,1.00,32,4
35,Gavin Brindley (RW/LW),University of Michigan,41,12,26,38,0.93,22,21
36,Ayrton Martino (LW),Clarkson University,37,9,29,38,1.03,30,14
37,Carter Mazur (LW),University of Denver,40,22,15,37,0.93,32,19
38,Riese Gaber (RW/LW),University of North Dakota,39,20,17,37,0.95,31,-4
39,Anthony Vincent (RW/C),Long Island University,36,17,20,37,1.03,78,0
40,Cutter Gauthier (LW/C),Boston College,32,16,21,37,1.16,37,2
41,Zach Metsa (D),Quinnipiac University,40,9,28,37,0.93,12,34
42,Lynden Breen (C/LW),University of Maine,36,21,15,36,1.00,22,10
