ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
43,Matt Coronato (RW/LW),Harvard University,34,20,16,36,1.06,14,24
44,Zachary Okabe (RW),St. Cloud State University,41,18,18,36,0.88,24,16
45,Keaton Mastrodonato (RW/C),Canisius College,42,16,20,36,0.86,30,-4
46,Justin Hryckowian (C/LW),Northeastern University,35,15,21,36,1.03,26,21
47,T.J. Hughes (F),University of Michigan,39,13,23,36,0.92,10,6
48,Veeti Miettinen (RW),St. Cloud State University,41,12,24,36,0.88,0,9
49,Blake Bennett (LW/RW),American International College,38,22,13,35,0.92,35,0
50,Carter Rapalje (F),Stonehill College,23,20,15,35,1.52,0,13
51,Ryan Miotto (F),Canisius College,42,17,18,35,0.83,29,6
52,Matthew Verboon (RW/C),Colgate University,40,16,19,35,0.88,23,-3
53,Jackson LaCombe (D),University of Minnesota,37,9,26,35,0.95,13,12
54,Jake Livingstone (D),Minnesota State University (Mankato),39,8,27,35,0.90,30,10
55,Jack Randl (LW),University of Nebraska-Omaha,37,18,16,34,0.92,22,13
56,Adam Goodsir (F),Long Island University,35,15,19,34,0.97,64,-11
57,Nikita Nesterenko (C/LW),Boston College,36,13,21,34,0.94,18,6
58,Mike Benning (D),University of Denver,39,13,21,34,0.87,38,24
59,Casey Dornbach (C/W),University of Denver,40,13,21,34,0.85,29,11
60,Cruz Lucius (RW),University of Wisconsin,34,11,23,34,1.00,18,-7
61,Matthew Wood (LW/C),University of Connecticut,35,11,23,34,0.97,4,7
62,Nicolas Müller (C/RW),Michigan State University,38,9,25,34,0.89,16,4
63,Mathieu Gosselin (RW/LW),Clarkson University,37,14,19,33,0.89,23,7
64,Max Itagaki (F),Army (U.S. Military Academy),37,4,29,33,0.89,28,-13
65,Chris Jandric (D),University of North Dakota,39,4,29,33,0.85,30,16
66,Dylan Duke (LW/C),University of Michigan,41,18,14,32,0.78,43,10
67,Eric Esposito (LW),Mercyhurst University,35,17,15,32,0.91,14,-1
68,Jack Ricketts (C),College of the Holy Cross,41,16,16,32,0.78,32,-1
69,Gianfranco Cassaro (D),RIT (Rochester Inst. of Tech.),39,14,18,32,0.82,42,19
70,Skyler Brind'Amour (C/LW),Quinnipiac University,41,14,18,32,0.78,27,25
71,A.J. Vanderbeck (RW),Northern Michigan University,35,13,19,32,0.91,33,-5
72,Luke Grainger (RW/C),Western Michigan University,38,12,20,32,0.84,12,18
73,Hudson Schandor (C),University of Connecticut,35,11,21,32,0.91,8,10
74,Artem Shlaine (C),Northern Michigan University,38,11,21,32,0.84,18,6
75,Dean Schwenninger (C),Stonehill College,23,10,22,32,1.39,52,10
76,Aidan Thompson (C/LW),University of Denver,32,10,22,32,1.00,4,15
77,Jeremy Wilmer (LW),Boston University,37,9,23,32,0.86,16,4
78,Jay O'Brien (C),Boston University,39,8,24,32,0.82,42,-1
79,Cade Mason (D),Long Island University,26,7,25,32,1.23,8,8
80,Mason Lohrei (D),Ohio State University,40,4,28,32,0.80,26,-3
81,Aiden Hansen-Bukata (D),RIT (Rochester Inst. of Tech.),37,2,30,32,0.86,24,19
82,Bryce Brodzinski (RW),University of Minnesota,40,19,12,31,0.78,12,15
83,Kevin Wall (RW),Penn State University,39,17,14,31,0.79,16,20
84,Wilmer Skoog (C),Boston University,37,16,15,31,0.84,28,13
85,Jack Devine (RW),University of Denver,38,14,17,31,0.82,19,18
86,Lleyton Roed (LW),Bemidji State University,36,13,18,31,0.86,6,-1
87,Ryland Mosley (LW/RW),Michigan Tech,39,12,19,31,0.79,13,5
88,Chase Gresock (F),Bowling Green State University,36,11,20,31,0.86,12,4
89,Jordan Biro (C),American International College,38,11,20,31,0.82,2,-3
90,Casey Carreau (C),Niagara University,40,10,21,31,0.78,16,2
91,Scott Morrow (D),UMass,35,9,22,31,0.89,16,-3
92,Domenick Fensore (D),Boston University,37,9,22,31,0.84,30,13
93,Ryan Greene (C),Boston University,38,9,22,31,0.82,20,18
94,Henry Thrun (D),Harvard University,33,7,24,31,0.94,14,20
95,Ryan Tverberg (C/RW),University of Connecticut,35,15,15,30,0.86,34,0
96,Neil Shea (LW),Sacred Heart University,37,14,16,30,0.81,12,1
97,David Gagnon (LW),Lindenwood University,30,13,17,30,1.00,16,-6
98,Mathieu De St. Phalle (RW/LW),University of Wisconsin,36,13,17,30,0.83,20,-11
99,Ryan O'Hara (LW),Bowling Green State University,36,11,19,30,0.83,25,9
100,Gunnarwolfe Fontaine (LW/C),Northeastern University,35,10,20,30,0.86,8,2
101,Daniel Russell (C),Michigan State University,38,8,22,30,0.79,29,8
102,Gabriel Seger (LW/C),Cornell University,30,7,23,30,1.00,19,5
103,Nathan Burke (C/LW),Bowling Green State University,36,17,12,29,0.81,12,7
104,Christian Fitzgerald (F),Minnesota State University (Mankato),38,16,13,29,0.76,16,9
105,Ian Murphy (RW/C),Princeton University,31,15,14,29,0.94,14,1
106,Matt Copponi (C),Merrimack College,37,14,15,29,0.78,30,8
107,Ryan Sandelin (RW/C),Minnesota State University (Mankato),38,14,15,29,0.76,33,3
108,Hunter Johannes (LW),Lindenwood University,28,13,16,29,1.04,87,12
109,Trevor Kuntar (C/LW),Boston College,34,13,16,29,0.85,36,5
110,Ture Linden (C),Penn State University,39,11,18,29,0.74,11,7
111,Zak Galambos (D),Western Michigan University,39,11,18,29,0.74,34,30
112,Andre Gasseau (C/LW),Boston College,36,10,19,29,0.81,14,6
113,Seamus Casey (D),University of Michigan,37,8,21,29,0.78,9,16
114,Mike Koster (D),University of Minnesota,40,6,23,29,0.73,8,13
115,Anthony Firriolo (D),Army (U.S. Military Academy),36,5,24,29,0.81,18,-10
116,Nick Anderson (D),Colgate University,40,3,26,29,0.73,39,7
117,Ben Steeves (LW),University of Minnesota-Duluth,35,21,7,28,0.80,36,-11
118,Joey Baez (F),Army (U.S. Military Academy),37,21,7,28,0.76,12,-15
119,Hunter McKown (C/RW),Colorado College,38,21,7,28,0.74,30,-19
120,Quinn Hutson (RW),Boston University,39,15,13,28,0.72,24,14
121,Ryan Cox (F),Niagara University,40,14,14,28,0.70,38,-7
122,Joe Miller (C),Harvard University,33,13,15,28,0.85,6,27
123,Cody Laskosky (C),RIT (Rochester Inst. of Tech.),37,13,15,28,0.76,83,18
124,Ben Berard (LW),Cornell University,34,11,17,28,0.82,8,3
125,John Keranen (F),Army (U.S. Military Academy),36,11,17,28,0.78,40,-9
126,Colton Young (LW),Colgate University,40,11,17,28,0.70,35,3
127,Jonny Sorenson (F),University of Alaska-Fairbanks,34,10,18,28,0.82,19,14
128,Dominic James (C/LW),University of Minnesota-Duluth,35,10,18,28,0.80,20,-6
129,Shane Ott (F),Niagara University,40,10,18,28,0.70,6,-7
130,Tristan Broz (C/LW),University of Denver,40,10,18,28,0.70,35,17
131,Payton Matsui (F),University of Alaska-Fairbanks,34,9,19,28,0.82,6,13
132,Brendan Furry (LW/RW),Minnesota State University (Mankato),39,9,19,28,0.72,15,9
133,Austin Magera (C),Sacred Heart University,37,8,20,28,0.76,26,6
134,Elias Rosén (D),Bemidji State University,36,4,24,28,0.78,18,1
135,Kyle Kukkonen (C/RW),Michigan Tech,39,18,9,27,0.69,18,1
136,Justin Pearson (LW),University of Connecticut,35,13,14,27,0.77,29,1
137,Joey Larson (RW/LW),Northern Michigan University,36,13,14,27,0.75,14,-1
138,Carl Berglund (C/LW),UMass-Lowell,36,12,15,27,0.75,12,7
139,Connor MacEachern (C),Penn State University,39,12,15,27,0.69,30,10
140,Tate Singleton (C),Ohio State University,40,11,16,27,0.68,50,12
141,Luc Salem (D),St. Lawrence University,36,10,17,27,0.75,28,12
142,Karsen Dorwart (LW/C),Michigan State University,38,10,17,27,0.71,8,10
143,Jaxon Nelson (C/RW),University of Minnesota,40,10,17,27,0.68,10,10
144,Ross Mitton (RW/LW),Colgate University,40,9,18,27,0.68,10,1
145,Patriks Marcinkevics (LW),Long Island University,24,6,21,27,1.13,23,5
146,Tyler Weiss (LW/C),University of Nebraska-Omaha,37,6,21,27,0.73,26,6
147,Brock Faber (D),University of Minnesota,38,4,23,27,0.71,12,29
148,Akito Hirose (D),Minnesota State University (Mankato),38,4,23,27,0.71,18,10
149,Mack Byers (LW),University of St. Thomas,36,18,8,26,0.72,6,4
150,Alexander Campbell (LW/C),Clarkson University,34,14,12,26,0.76,8,1
151,Ben Brar (LW),Merrimack College,38,14,12,26,0.68,39,10
152,Parker Ford (C/RW),Providence College,37,12,14,26,0.70,22,18
153,Willie Reim (F),Air Force Academy,36,11,15,26,0.72,34,-8
154,Kristóf Papp (C),Northern Michigan University,38,11,15,26,0.68,21,-4
155,Alex DiPaolo (LW),Colgate University,40,11,15,26,0.65,24,0
156,Kenny Connors (C),UMass,32,9,17,26,0.81,8,0
157,Ben Poisson (F),University of Maine,36,9,17,26,0.72,27,7
158,Ryan Naumovski (F),Niagara University,40,9,17,26,0.65,10,-2
159,Sam Malinski (D),Cornell University,34,8,18,26,0.76,29,10
160,Jonny Tychonick (D),University of Nebraska-Omaha,35,8,18,26,0.74,24,8
161,Liam McLinskey (RW/LW),College of the Holy Cross,40,21,4,25,0.63,22,0
162,David Keefer (RW),Northern Michigan University,38,15,10,25,0.66,8,-8
163,Matt Miller (RW),University of Nebraska-Omaha,34,13,12,25,0.74,32,11
164,Ty Mueller (C),University of Nebraska-Omaha,34,12,13,25,0.74,4,9
165,Rhett Pitlick (LW/RW),University of Minnesota,40,11,14,25,0.63,18,17
166,Matthew Barbolini (C/LW),Miami University (Ohio),34,10,15,25,0.74,42,-11
167,Kyler Kupka (F),St. Cloud State University,35,10,15,25,0.71,10,-1
168,Ottoville Leppänen (F),Merrimack College,38,6,19,25,0.66,10,6
169,Dylan Anhorn (D),St. Cloud State University,23,5,20,25,1.09,12,15
170,Andy Carroll (D),Minnesota State University (Mankato),39,5,20,25,0.64,6,4
171,David Melaragni (D),Canisius College,41,4,21,25,0.61,24,1
172,Ricky Lyle (LW),Army (U.S. Military Academy),37,13,11,24,0.65,43,1
173,Jagger Joshua (LW/RW),Michigan State University,37,13,11,24,0.65,92,0
174,Carter Randklev (F),Niagara University,38,13,11,24,0.63,16,-3
175,Liam Gorman (C),Princeton University,32,12,12,24,0.75,33,2
176,Liam Devlin (F),University of New Hampshire,35,12,12,24,0.69,18,-13
177,Kevin Lombardi (RW/LW),Sacred Heart University,36,12,12,24,0.67,23,6
178,Taylor Schneider (LW),Bowling Green State University,36,11,13,24,0.67,12,3
179,Louis Boudon (C),Lake Superior State University,36,10,14,24,0.67,18,-6
180,Brett Berard (LW),Providence College,36,10,14,24,0.67,35,5
181,Brett Abdelnour (LW),Army (U.S. Military Academy),37,10,14,24,0.65,20,-10
182,Cameron Berg (C/LW),University of Nebraska-Omaha,37,10,14,24,0.65,38,-5
183,Dustin Manz (C/RW),American International College,39,10,14,24,0.62,17,-2
184,Albin Nilsson (C),Niagara University,40,10,14,24,0.60,49,5
185,Sam Colangelo (RW/C),Northeastern University,35,9,15,24,0.69,12,-4
186,Connor McMenamin (LW),Penn State University,37,9,15,24,0.65,14,6
187,Ryan Ufko (D),UMass,32,8,16,24,0.75,25,-12
188,Marcus Joughin (F),Sacred Heart University,35,8,16,24,0.69,12,-1
189,Quinn Olson (LW/C),University of Minnesota-Duluth,37,7,17,24,0.65,32,-4
190,Brandon Koch (D),Air Force Academy,36,6,18,24,0.67,36,-7
191,Cole Gallant (C),Western Michigan University,39,6,18,24,0.62,4,17
192,Maxwell Crozier (D),Providence College,37,3,21,24,0.65,33,10
193,Jack Peart (D),St. Cloud State University,39,3,21,24,0.62,24,14
194,Andrew Lucas (D),University of Connecticut,35,2,22,24,0.69,6,3
195,William Tripp (D),Stonehill College,25,1,23,24,0.96,14,17
196,Brady Risk (RW/LW),University of Alaska-Fairbanks,33,13,10,23,0.70,22,10
197,Kobe Walker (RW),RIT (Rochester Inst. of Tech.),31,12,11,23,0.74,6,6
198,Brock Caufield (RW),University of Wisconsin,36,11,12,23,0.64,4,-12
199,Carter King (C/LW),University of Denver,38,11,12,23,0.61,6,3
200,Mason Nevers (C),University of Minnesota,40,10,13,23,0.58,2,15
201,Devin Kaplan (RW),Boston University,40,10,13,23,0.58,49,15
202,Andy Willis (F),Lindenwood University,26,8,15,23,0.88,12,8
203,Corson Ceulemans (D),University of Wisconsin,33,8,15,23,0.70,38,-5
204,Chayse Primeau (W/C),University of Notre Dame,37,8,15,23,0.62,18,-1
205,Adam Ingram (C),St. Cloud State University,41,8,15,23,0.56,20,0
206,Luke Rowe (D),Air Force Academy,33,7,16,23,0.70,37,-10
207,Cameron Lund (C/W),Northeastern University,35,7,16,23,0.66,16,1
208,Alex Barber (F),Bowling Green State University,36,7,16,23,0.64,34,-1
209,Matthew Guerra (F),College of the Holy Cross,41,7,16,23,0.56,28,-10
210,Brian Kramer (D),American International College,35,6,17,23,0.66,38,3
211,Noah Beck (D),Clarkson University,37,6,17,23,0.62,18,9
212,Ty Jackson (C),Arizona State University,38,6,17,23,0.61,17,-10
213,Carter Berger (D),Western Michigan University,33,5,18,23,0.70,16,14
214,Wyatt Kaiser (D),University of Minnesota-Duluth,35,5,18,23,0.66,48,5
215,John Prokop (D),Union College,35,4,19,23,0.66,20,-9
216,Jacob Bengtsson (D),Lake Superior State University,36,1,22,23,0.64,26,-7
217,Ryan Mahshie (F),RPI (Rensselaer Polytech. Inst.),31,15,7,22,0.71,6,0
218,Ross Armour (C/RW),Bemidji State University,32,14,8,22,0.69,30,1
219,Joseph Dunlap (RW/C),Ohio State University,40,13,9,22,0.55,41,3
220,Max Helgeson (F),University of Alaska-Anchorage,28,11,11,22,0.79,18,-2
221,Nick Cardelli (C/RW),American International College,31,11,11,22,0.71,12,14
222,Chase Dubois (F),University of Alaska-Fairbanks,34,11,11,22,0.65,6,9
223,Will Gavin (LW/C),Air Force Academy,35,11,11,22,0.63,27,-15
224,Noah Laba (C),Colorado College,35,11,11,22,0.63,48,-18
225,Todd Goehring (F),Sacred Heart University,37,11,11,22,0.59,6,-17
226,Logan Pietila (RW/C),Michigan Tech,39,11,11,22,0.56,10,7
227,T.J. Friedmann (W/C),Quinnipiac University,41,11,11,22,0.54,22,15
228,Jakob Lee (C),RPI (Rensselaer Polytech. Inst.),28,10,12,22,0.79,61,-1
229,Michael Lombardi (C/LW),Quinnipiac University,41,10,12,22,0.54,16,9
230,Jacob Schmidt-Svejstrup (RW),Clarkson University,37,9,13,22,0.59,56,11
231,Jason Pineo (C),Niagara University,40,9,13,22,0.55,33,-7
232,Reed Lebster (RW),UMass,30,8,14,22,0.73,6,-7
233,Nicholas Niemo (F),Bentley University,32,8,14,22,0.69,33,7
234,Cristophe Tellier (LW/C),Quinnipiac University,37,8,14,22,0.59,6,9
235,Trevor Janicke (RW/C),University of Notre Dame,37,8,14,22,0.59,12,1
236,Julius Janhonen (C),American International College,38,8,14,22,0.58,24,1
237,Dylan Wendt (RW/C),Western Michigan University,39,8,14,22,0.56,4,2
238,Sutter Muzzatti (F),RPI (Rensselaer Polytech. Inst.),35,7,15,22,0.63,42,-3
239,Maxim Andreev (C/LW),Cornell University,31,6,16,22,0.71,24,11
240,Eamon Powell (D),Boston College,36,5,17,22,0.61,16,7
241,Tanner Palocsik (D),Dartmouth College,30,4,18,22,0.73,22,-13
242,Joshua Eernisse (F),University of St. Thomas,36,14,7,21,0.58,54,-3
243,Davis Burnside (F),Ohio State University,40,14,7,21,0.53,26,6
244,Jason Brancheau (F),Ferris State University,35,13,8,21,0.60,14,-3
245,Dylan Jackson (RW),Arizona State University,37,12,9,21,0.57,27,-10
246,Colby Ambrosio (C/RW),Boston College,36,10,11,21,0.58,16,-2
247,Luc Laylin (F),University of St. Thomas,36,10,11,21,0.58,29,-12
248,Jeremy Davidson (RW),Michigan State University,38,10,11,21,0.55,20,0
249,Dalton Bancroft (RW/LW),Cornell University,33,9,12,21,0.64,19,9
250,Lukas Sillinger (W/C),Arizona State University,33,9,12,21,0.64,20,-9
251,Cole McWard (D),Ohio State University,39,9,12,21,0.54,8,-5
252,Travis Treloar (C),Ohio State University,35,8,13,21,0.60,14,-12
253,Randy Hernández (RW),Canisius College,40,8,13,21,0.53,6,-4
254,Cal Kiefiuk (F),UMass,31,7,14,21,0.68,29,-8
255,Pito Walton (D),Princeton University,32,7,14,21,0.66,12,-9
256,Alexander Malinowski (LW/RW),American International College,34,7,14,21,0.62,8,3
257,Lucas Wahlin (RW/LW),University of St. Thomas,26,6,15,21,0.81,20,-7
258,Ryan Bottrill (F),Brown University,30,6,15,21,0.70,12,-5
259,Stepan Pokorny (F),Ferris State University,35,6,15,21,0.60,28,-2
260,Clay Cosentino (F),Air Force Academy,36,6,15,21,0.58,10,-19
261,Nate Hanley (C),Union College,35,5,16,21,0.60,2,-5
262,Luke Mittelstadt (D),University of Minnesota,38,5,16,21,0.55,6,22
263,Will Zmolek (D),Bemidji State University,36,4,17,21,0.58,24,2
264,Shai Buium (D),University of Denver,38,4,17,21,0.55,18,8
265,Sean Behrens (D),University of Denver,31,3,18,21,0.68,29,11
266,Ty Gallagher (D),Boston University,40,3,18,21,0.53,24,21
267,Cam Thiesing (C),Ohio State University,40,15,5,20,0.50,58,-1
268,Cy LeClerc (F),University of New Hampshire,35,13,7,20,0.57,6,-13
269,Chase Stevenson (F),University of New Hampshire,35,12,8,20,0.57,28,-3
270,Riley Wallack (F),Long Island University,35,11,9,20,0.57,20,4
271,Nick Bowman (F),Canisius College,35,11,9,20,0.57,27,1
272,Bennett Schimek (F),Providence College,37,11,9,20,0.54,12,7
273,Tyler Mahan (LW),RIT (Rochester Inst. of Tech.),39,11,9,20,0.51,16,14
274,Austin Heidemann (F),RPI (Rensselaer Polytech. Inst.),34,10,10,20,0.59,6,-12
275,Chase Bradley (LW/C),University of Connecticut,35,10,10,20,0.57,61,6
276,Nick Poisson (F),Providence College,37,10,10,20,0.54,17,10
277,Nick DeSantis (F),Cornell University,30,9,11,20,0.67,12,9
278,Nolan Renwick (RW/LW),University of Maine,36,9,11,20,0.56,16,2
279,Luke Tuch (LW),Boston University,40,9,11,20,0.50,21,5
280,Riley Duran (C/RW),Providence College,29,8,12,20,0.69,33,3
281,Ryder Rolston (W/C),University of Notre Dame,27,7,13,20,0.74,4,-4
282,Kyle Jeffers (C/RW),Lindenwood University,28,7,13,20,0.71,26,-8
283,Parker Saretsky (F),Michigan Tech,39,7,13,20,0.51,8,11
284,Christophe Fillion (F),Quinnipiac University,41,7,13,20,0.49,16,21
285,Ben Almquist (F),University of Alaska-Anchorage,28,6,14,20,0.71,8,-10
286,Ryan Finnegan (F),Lindenwood University,29,6,14,20,0.69,6,-8
287,Nick Leivermann (D),University of Notre Dame,29,6,14,20,0.69,18,5
288,Thomas Farrell (D),Army (U.S. Military Academy),37,6,14,20,0.54,18,-18
289,Stan Cooley (C),Colorado College,38,6,14,20,0.53,18,-8
290,John Farinacci (C/RW),Harvard University,19,5,15,20,1.05,2,7
291,Nick Bochen (D),Bentley University,34,5,15,20,0.59,14,-13
292,Braeden Tuck (F),Sacred Heart University,37,5,15,20,0.54,4,-3
293,Will Calverley (C),Merrimack College,38,5,15,20,0.53,27,4
294,Cade Borchardt (F),Minnesota State University (Mankato),39,5,15,20,0.51,12,-3
295,Christian Berger (D),Penn State University,39,5,15,20,0.51,16,8
296,Lucas Vanroboys (C/RW),Bentley University,32,4,16,20,0.63,65,-9
297,Jayden Lee (D),Quinnipiac University,41,4,16,20,0.49,6,29
298,Conner Hutchison (D),Sacred Heart University,34,3,17,20,0.59,6,-18
299,Jon McDonald (D),UMass-Lowell,35,3,17,20,0.57,14,4
300,Ryan O'Neill (F),University of St. Thomas,36,3,17,20,0.56,8,-4
301,Jackson Decker (D),Canisius College,41,3,17,20,0.49,14,-2
302,Zach Vinnell (D/LW),Bowling Green State University,36,1,19,20,0.56,10,-5
303,Anthony Callin (RW/D),Clarkson University,35,11,8,19,0.54,8,-2
304,Ryan Steele (F),Sacred Heart University,26,10,9,19,0.73,10,0
305,Matt Choupani (C),Northeastern University,35,10,9,19,0.54,25,17
306,Judd Caulfield (RW/LW),University of North Dakota,39,10,9,19,0.49,12,8
307,Tyler Watkins (F),Union College,35,9,10,19,0.54,10,-10
308,Donavan Houle (C/RW),University of Maine,36,9,10,19,0.53,16,1
309,Isak Walther (RW),University of Vermont,36,9,10,19,0.53,24,-2
310,Brian Chambers (RW),UMass-Lowell,28,8,11,19,0.68,12,3
311,Brett Rylance (C/W),American International College,33,8,11,19,0.58,8,12
312,Luke Loheit (RW),University of Minnesota-Duluth,35,8,11,19,0.54,53,-5
313,Travis Mitchell (D),Cornell University,34,6,13,19,0.56,20,17
314,Xander Lamppa (F),Penn State University,37,6,13,19,0.51,20,5
315,Drew Bavaro (D),University of Notre Dame,37,6,13,19,0.51,31,-9
316,Jack Perbix (RW/D),Western Michigan University,39,6,13,19,0.49,18,6
317,Brendan Gorman (C),Princeton University,31,5,14,19,0.61,6,-8
318,Caleb Moretz (RW/C),RIT (Rochester Inst. of Tech.),31,5,14,19,0.61,14,4
319,Alex Peterson (F),College of the Holy Cross,38,5,14,19,0.50,37,-1
320,Steven Agriogianis (RW),Mercyhurst University,23,4,15,19,0.83,2,3
321,Nash Nienhuis (D),Michigan State University,32,4,15,19,0.59,31,1
322,Garrett Pyke (D),University of Alaska-Fairbanks,34,4,15,19,0.56,40,14
323,Jimmy Dowd (D),Penn State University,38,4,15,19,0.50,36,10
324,Colton Huard (D),University of New Hampshire,35,3,16,19,0.54,6,-17
325,Lukas Gustafsson (D),Boston College,35,3,16,19,0.54,19,4
326,Ian Moore (D),Harvard University,34,1,18,19,0.56,12,20
327,Jack Cronin (RW),Princeton University,32,12,6,18,0.56,24,-2
328,Glebs Prohorenkovs (F),Niagara University,35,12,6,18,0.51,28,10
329,Mickey Burns (LW),Mercyhurst University,36,11,7,18,0.50,22,0
330,Gavin Hain (C/LW),University of North Dakota,36,11,7,18,0.50,45,-10
331,Jacob Pivonka (C),University of Nebraska-Omaha,37,10,8,18,0.49,16,4
332,Tanner Andrew (C),RIT (Rochester Inst. of Tech.),38,10,8,18,0.47,39,4
333,Cameron Buhl (F),St. Lawrence University,35,9,9,18,0.51,18,-9
334,Nick Capone (RW),University of Connecticut,35,9,9,18,0.51,34,2
335,Mitchell Martan (LW),Bemidji State University,33,8,10,18,0.55,8,2
336,Ryan Taylor (F),Clarkson University,34,8,10,18,0.53,0,-6
337,Tyler Kleven (D),University of North Dakota,35,8,10,18,0.51,84,2
338,Sam Stevens (C/LW),Boston University,40,8,10,18,0.45,26,18
339,Kyle Penney (C),Cornell University,33,7,11,18,0.55,4,9
340,Ethan Frisch (D),University of North Dakota,36,7,11,18,0.50,14,-4
341,Hunter Sansbury (D),Sacred Heart University,37,7,11,18,0.49,23,3
342,Michael Colella (F),Northern Michigan University,37,7,11,18,0.49,25,7
343,Demetrios Koumontzis (LW/D),Arizona State University,37,7,11,18,0.49,29,-8
344,Devin Phillips (F),College of the Holy Cross,38,7,11,18,0.47,22,0
345,Tim Washe (C/LW),Western Michigan University,39,7,11,18,0.46,54,7
346,Elijah Gonsalves (RW/C),RIT (Rochester Inst. of Tech.),39,7,11,18,0.46,55,6
347,Alex Frye (C),Northern Michigan University,38,6,12,18,0.47,16,1
348,Max Kouznetsov (LW/C),Canisius College,42,6,12,18,0.43,25,-11
349,Andrei Buyalsky (C),University of Vermont,34,5,13,18,0.53,6,-2
350,Dylan Peterson (C/RW),Boston University,39,5,13,18,0.46,26,8
351,Jacob Guévin (D),University of Nebraska-Omaha,36,4,14,18,0.50,6,1
352,Tanner Kelly (F),Michigan State University,38,4,14,18,0.47,25,3
353,Ryan Johnson (D),University of Minnesota,40,4,14,18,0.45,8,22
354,Alec Cicero (F),College of the Holy Cross,40,4,14,18,0.45,30,-3
355,Tim Lovell (D),Arizona State University,31,3,15,18,0.58,41,-3
356,Brett Thorne (D),Michigan Tech,34,3,15,18,0.53,34,13
357,Brett Callahan (D),American International College,35,2,16,18,0.51,10,16
358,Josh Zary (F),Long Island University,28,12,5,17,0.61,0,-2
359,Ryan Alexander (C/LW),Arizona State University,35,11,6,17,0.49,20,1
360,Olivier Gauthier (LW),Niagara University,40,11,6,17,0.43,10,1
361,Brendan Nehmer (F),Stonehill College,23,10,7,17,0.74,35,4
362,Tristan Ashbrook (C/RW),Michigan Tech,37,10,7,17,0.46,14,3
363,Ashton Calder (F),Penn State University,38,10,7,17,0.45,27,-1
364,Samu Salminen (C/LW),University of Connecticut,27,9,8,17,0.63,14,4
